L1,L1名,对比,a,b,n_a,n_b,咨询/求建议_a%,咨询/求建议_b%,咨询/求建议_差pp,事件与进度_a%,事件与进度_b%,事件与进度_差pp,问原因_a%,问原因_b%,问原因_差pp,实体绑定_a%,实体绑定_b%,实体绑定_差pp,时效_a%,时效_b%,时效_差pp,是非核实_a%,是非核实_b%,是非核实_差pp,问句_a%,问句_b%,问句_差pp,第一人称_a%,第一人称_b%,第一人称_差pp
RESOLVE_BARE_ENTITY,解析裸非可报价名称,界面·头部层,2026搜索,助手头部1k,414,73,0.0,0.0,"+0.0 [-0.9, +5.0]",0.5,2.7,"+2.3 [-0.1, +9.0]",0.0,0.0,"+0.0 [-0.9, +5.0]",42.8,37.0,"-5.8 [-17.0, +6.6]",0.0,0.0,"+0.0 [-0.9, +5.0]",0.0,0.0,"+0.0 [-0.9, +5.0]",0.0,0.0,"+0.0 [-0.9, +5.0]",0.7,0.0,"-0.7 [-2.1, +4.3]"
RESOLVE_BARE_ENTITY,解析裸非可报价名称,深度·搜索内,2026搜索,2026搜索随机1w,414,411,0.0,0.2,"+0.2 [-0.7, +1.4]",0.5,2.4,"+1.9 [+0.3, +4.0]*",0.0,0.0,"+0.0 [-0.9, +0.9]",42.8,34.5,"-8.2 [-14.7, -1.6]*",0.0,1.2,"+1.2 [+0.1, +2.8]*",0.0,0.0,"+0.0 [-0.9, +0.9]",0.0,4.1,"+4.1 [+2.3, +6.5]*",0.7,0.0,"-0.7 [-2.1, +0.3]"
RESOLVE_BARE_ENTITY,解析裸非可报价名称,时间·头部层,2025搜索,2026搜索,725,414,0.0,0.0,"+0.0 [-0.5, +0.9]",0.6,0.5,"-0.1 [-1.0, +1.2]",0.0,0.0,"+0.0 [-0.5, +0.9]",36.8,42.8,"+5.9 [+0.0, +11.8]*",0.0,0.0,"+0.0 [-0.5, +0.9]",0.0,0.0,"+0.0 [-0.5, +0.9]",0.8,0.0,"-0.8 [-1.8, +0.2]",0.4,0.7,"+0.3 [-0.6, +1.7]"
RESOLVE_BARE_ENTITY,解析裸非可报价名称,时间·随机层,2025搜索随机1w,2026搜索随机1w,472,411,0.2,0.2,"+0.0 [-1.0, +1.2]",2.8,2.4,"-0.3 [-2.5, +2.0]",0.0,0.0,"+0.0 [-0.8, +0.9]",34.7,34.5,"-0.2 [-6.4, +6.1]",0.0,1.2,"+1.2 [+0.2, +2.8]*",0.0,0.0,"+0.0 [-0.8, +0.9]",2.1,4.1,"+2.0 [-0.3, +4.6]",0.2,0.0,"-0.2 [-1.2, +0.7]"
RESOLVE_BARE_ENTITY,解析裸非可报价名称,输入方式·头部层,助手头部1k,助手语音头部1k,73,93,0.0,0.0,"+0.0 [-5.0, +4.0]",2.7,0.0,"-2.7 [-9.5, +1.7]",0.0,0.0,"+0.0 [-5.0, +4.0]",37.0,44.1,"+7.1 [-7.9, +21.4]",0.0,0.0,"+0.0 [-5.0, +4.0]",0.0,0.0,"+0.0 [-5.0, +4.0]",0.0,0.0,"+0.0 [-5.0, +4.0]",0.0,0.0,"+0.0 [-5.0, +4.0]"
OTHER_INTENT,其他非金融意图或无明确意图,界面·头部层,2026搜索,助手头部1k,97,59,0.0,0.0,"+0.0 [-3.8, +6.1]",0.0,0.0,"+0.0 [-3.8, +6.1]",0.0,1.7,"+1.7 [-2.4, +9.0]",9.3,5.1,"-4.2 [-12.3, +5.6]",47.4,47.5,"+0.0 [-15.6, +15.8]",1.0,3.4,"+2.4 [-2.8, +10.6]",5.2,33.9,"+28.7 [+16.2, +41.8]*",0.0,1.7,"+1.7 [-2.4, +9.0]"
OTHER_INTENT,其他非金融意图或无明确意图,界面·随机层,2026搜索随机1w,助手随机1k,529,100,1.9,3.0,"+1.1 [-1.4, +6.6]",3.0,5.0,"+2.0 [-1.4, +8.3]",2.1,3.0,"+0.9 [-1.6, +6.4]",32.7,17.0,"-15.7 [-23.1, -6.3]*",5.7,19.0,"+13.3 [+6.4, +22.3]*",6.0,14.0,"+8.0 [+2.0, +16.3]*",34.0,47.0,"+13.0 [+2.6, +23.4]*",2.3,17.0,"+14.7 [+8.4, +23.3]*"
OTHER_INTENT,其他非金融意图或无明确意图,深度·搜索内,2026搜索,2026搜索随机1w,97,529,0.0,1.9,"+1.9 [-2.0, +3.4]",0.0,3.0,"+3.0 [-1.0, +4.9]",0.0,2.1,"+2.1 [-1.8, +3.7]",9.3,32.7,"+23.4 [+15.1, +29.4]*",47.4,5.7,"-41.8 [-51.7, -31.8]*",1.0,6.0,"+5.0 [+0.1, +7.5]*",5.2,34.0,"+28.9 [+21.4, +33.9]*",0.0,2.3,"+2.3 [-1.7, +3.9]"
OTHER_INTENT,其他非金融意图或无明确意图,深度·助手内,助手头部1k,助手随机1k,59,100,0.0,3.0,"+3.0 [-3.4, +8.5]",0.0,5.0,"+5.0 [-1.7, +11.2]",1.7,3.0,"+1.3 [-6.3, +6.9]",5.1,17.0,"+11.9 [+1.2, +21.1]*",47.5,19.0,"-28.5 [-42.5, -13.4]*",3.4,14.0,"+10.6 [+0.8, +19.1]*",33.9,47.0,"+13.1 [-2.8, +27.6]",1.7,17.0,"+15.3 [+5.8, +24.0]*"
OTHER_INTENT,其他非金融意图或无明确意图,时间·头部层,2025搜索,2026搜索,204,97,0.5,0.0,"-0.5 [-2.7, +3.3]",1.0,0.0,"-1.0 [-3.5, +2.9]",0.5,0.0,"-0.5 [-2.7, +3.3]",5.4,9.3,"+3.9 [-2.0, +11.7]",35.8,47.4,"+11.6 [-0.2, +23.3]",0.5,1.0,"+0.5 [-1.8, +5.1]",11.8,5.2,"-6.6 [-12.5, +0.8]",1.5,0.0,"-1.5 [-4.2, +2.5]"
OTHER_INTENT,其他非金融意图或无明确意图,时间·随机层,2025搜索随机1w,2026搜索随机1w,616,529,1.5,1.9,"+0.4 [-1.1, +2.1]",3.4,3.0,"-0.4 [-2.5, +1.8]",1.5,2.1,"+0.6 [-1.0, +2.4]",30.0,32.7,"+2.7 [-2.7, +8.1]",4.7,5.7,"+1.0 [-1.6, +3.7]",6.0,6.0,"+0.0 [-2.7, +2.9]",34.1,34.0,"-0.1 [-5.5, +5.4]",1.6,2.3,"+0.6 [-1.0, +2.5]"
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,深度·搜索内,2026搜索,2026搜索随机1w,331,907,0.0,0.0,"+0.0 [-1.1, +0.4]",0.0,0.2,"+0.2 [-0.9, +0.8]",0.3,0.1,"-0.2 [-1.6, +0.4]",71.3,77.6,"+6.3 [+0.9, +12.0]*",0.6,1.2,"+0.6 [-1.1, +1.7]",0.0,3.4,"+3.4 [+1.9, +4.8]*",26.6,22.7,"-3.9 [-9.5, +1.4]",0.0,0.0,"+0.0 [-1.1, +0.4]"
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,时间·头部层,2025搜索,2026搜索,576,331,0.0,0.0,"+0.0 [-0.7, +1.1]",0.0,0.0,"+0.0 [-0.7, +1.1]",0.2,0.3,"+0.1 [-0.7, +1.5]",74.7,71.3,"-3.4 [-9.5, +2.6]",0.9,0.6,"-0.3 [-1.5, +1.4]",0.2,0.0,"-0.2 [-1.0, +1.0]",26.0,26.6,"+0.5 [-5.3, +6.6]",0.0,0.0,"+0.0 [-0.7, +1.1]"
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,时间·随机层,2025搜索随机1w,2026搜索随机1w,1103,907,0.1,0.0,"-0.1 [-0.5, +0.3]",0.2,0.2,"+0.0 [-0.5, +0.6]",0.1,0.1,"+0.0 [-0.4, +0.5]",80.7,77.6,"-3.1 [-6.7, +0.5]",0.7,1.2,"+0.5 [-0.4, +1.5]",3.6,3.4,"-0.2 [-1.8, +1.5]",22.4,22.7,"+0.3 [-3.3, +4.0]",0.3,0.0,"-0.3 [-0.8, +0.2]"
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,界面·随机层,2026搜索随机1w,助手随机1k,1071,139,1.2,4.3,"+3.1 [+0.6, +7.9]*",5.6,7.2,"+1.6 [-2.0, +7.3]",3.1,1.4,"-1.6 [-3.2, +2.1]",37.3,27.3,"-10.0 [-17.3, -1.6]*",0.9,0.7,"-0.2 [-1.2, +3.1]",10.5,7.9,"-2.5 [-6.5, +3.4]",63.3,71.9,"+8.6 [+0.2, +16.0]*",0.1,2.2,"+2.1 [+0.6, +6.1]*"
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,深度·搜索内,2026搜索,2026搜索随机1w,154,1071,0.6,1.2,"+0.6 [-2.4, +1.6]",5.8,5.6,"-0.2 [-5.3, +2.9]",1.9,3.1,"+1.1 [-2.6, +2.9]",27.9,37.3,"+9.4 [+1.4, +16.5]*",1.9,0.9,"-1.0 [-4.7, +0.5]",3.9,10.5,"+6.6 [+1.9, +9.4]*",63.0,63.3,"+0.3 [-7.5, +8.7]",0.0,0.1,"+0.1 [-2.3, +0.5]"
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,时间·头部层,2025搜索,2026搜索,266,154,0.0,0.6,"+0.6 [-0.9, +3.6]",3.8,5.8,"+2.1 [-2.0, +7.3]",2.6,1.9,"-0.7 [-3.7, +3.2]",24.1,27.9,"+3.9 [-4.6, +12.8]",2.3,1.9,"-0.3 [-3.2, +3.5]",4.1,3.9,"-0.2 [-4.0, +4.5]",69.5,63.0,"-6.6 [-16.0, +2.7]",0.0,0.0,"+0.0 [-1.4, +2.4]"
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,时间·随机层,2025搜索随机1w,2026搜索随机1w,1037,1071,2.1,1.2,"-0.9 [-2.1, +0.2]",3.3,5.6,"+2.3 [+0.6, +4.1]*",3.6,3.1,"-0.5 [-2.1, +1.1]",33.2,37.3,"+4.2 [+0.1, +8.2]*",0.6,0.9,"+0.4 [-0.4, +1.2]",9.8,10.5,"+0.6 [-2.0, +3.2]",61.7,63.3,"+1.6 [-2.5, +5.7]",0.6,0.1,"-0.5 [-1.2, +0.0]"
RATE_CALC,查询利率、费率、限额并试算利息/还款,界面·随机层,2026搜索随机1w,助手随机1k,822,98,0.7,2.0,"+1.3 [-0.4, +6.4]",1.0,2.0,"+1.1 [-0.7, +6.2]",0.0,0.0,"+0.0 [-0.5, +3.8]",34.9,28.6,"-6.3 [-15.0, +3.8]",3.3,3.1,"-0.2 [-2.7, +5.4]",5.7,4.1,"-1.6 [-4.7, +4.5]",68.6,86.7,"+18.1 [+9.4, +24.4]*",0.4,1.0,"+0.7 [-0.4, +5.2]"
RATE_CALC,查询利率、费率、限额并试算利息/还款,深度·搜索内,2026搜索,2026搜索随机1w,84,822,0.0,0.7,"+0.7 [-3.7, +1.6]",2.4,1.0,"-1.4 [-7.3, +0.6]",0.0,0.0,"+0.0 [-4.4, +0.5]",32.1,34.9,"+2.8 [-8.3, +12.4]",11.9,3.3,"-8.6 [-17.3, -3.1]*",2.4,5.7,"+3.3 [-2.7, +5.8]",51.2,68.6,"+17.4 [+6.5, +28.4]*",0.0,0.4,"+0.4 [-4.0, +1.1]"
RATE_CALC,查询利率、费率、限额并试算利息/还款,时间·头部层,2025搜索,2026搜索,233,84,0.0,0.0,"+0.0 [-1.6, +4.4]",1.7,2.4,"+0.7 [-2.5, +6.6]",0.0,0.0,"+0.0 [-1.6, +4.4]",29.2,32.1,"+3.0 [-7.9, +14.9]",21.5,11.9,"-9.6 [-17.4, +0.3]",4.7,2.4,"-2.3 [-6.3, +3.9]",51.1,51.2,"+0.1 [-12.2, +12.3]",0.0,0.0,"+0.0 [-1.6, +4.4]"
RATE_CALC,查询利率、费率、限额并试算利息/还款,时间·随机层,2025搜索随机1w,2026搜索随机1w,1012,822,0.3,0.7,"+0.4 [-0.3, +1.3]",1.0,1.0,"-0.0 [-1.0, +1.0]",0.0,0.0,"+0.0 [-0.4, +0.5]",30.9,34.9,"+4.0 [-0.3, +8.3]",4.0,3.3,"-0.7 [-2.4, +1.1]",7.4,5.7,"-1.7 [-4.0, +0.6]",69.2,68.6,"-0.6 [-4.8, +3.7]",0.2,0.4,"+0.2 [-0.4, +0.9]"
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,界面·随机层,2026搜索随机1w,助手随机1k,900,76,4.6,9.2,"+4.7 [-0.3, +13.3]",2.4,5.3,"+2.8 [-0.6, +10.4]",0.1,0.0,"-0.1 [-0.6, +4.7]",47.4,32.9,"-14.5 [-24.6, -2.9]*",1.9,9.2,"+7.3 [+2.5, +16.0]*",87.7,84.2,"-3.5 [-13.5, +3.5]",93.9,89.5,"-4.4 [-13.4, +1.0]",1.6,9.2,"+7.7 [+2.9, +16.3]*"
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,时间·随机层,2025搜索随机1w,2026搜索随机1w,1088,900,3.2,4.6,"+1.3 [-0.4, +3.1]",1.6,2.4,"+0.9 [-0.4, +2.2]",0.3,0.1,"-0.2 [-0.7, +0.4]",46.4,47.4,"+1.0 [-3.4, +5.4]",1.4,1.9,"+0.5 [-0.6, +1.7]",90.0,87.7,"-2.3 [-5.2, +0.5]",94.4,93.9,"-0.5 [-2.6, +1.6]",2.6,1.6,"-1.0 [-2.3, +0.3]"
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,界面·随机层,2026搜索随机1w,助手随机1k,954,83,1.7,0.0,"-1.7 [-2.7, +2.8]",1.6,6.0,"+4.5 [+0.9, +11.8]*",0.4,1.2,"+0.8 [-0.4, +6.1]",45.6,38.6,"-7.0 [-17.3, +4.2]",0.3,2.4,"+2.1 [+0.2, +8.1]*",4.6,7.2,"+2.6 [-1.5, +10.4]",72.5,77.1,"+4.6 [-5.9, +12.8]",2.2,8.4,"+6.2 [+1.8, +14.2]*"
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,深度·搜索内,2026搜索,2026搜索随机1w,84,954,0.0,1.7,"+1.7 [-2.7, +2.7]",0.0,1.6,"+1.6 [-2.8, +2.6]",0.0,0.4,"+0.4 [-4.0, +1.1]",33.3,45.6,"+12.3 [+1.2, +22.0]*",0.0,0.3,"+0.3 [-4.1, +0.9]",3.6,4.6,"+1.0 [-5.5, +3.8]",81.0,72.5,"-8.4 [-16.0, +1.6]",0.0,2.2,"+2.2 [-2.2, +3.3]"
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,时间·头部层,2025搜索,2026搜索,225,84,0.0,0.0,"+0.0 [-1.7, +4.4]",0.4,0.0,"-0.4 [-2.5, +3.9]",0.0,0.0,"+0.0 [-1.7, +4.4]",30.7,33.3,"+2.7 [-8.5, +14.7]",0.0,0.0,"+0.0 [-1.7, +4.4]",1.3,3.6,"+2.2 [-1.2, +8.7]",72.9,81.0,"+8.1 [-3.0, +17.4]",0.0,0.0,"+0.0 [-1.7, +4.4]"
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,时间·随机层,2025搜索随机1w,2026搜索随机1w,1231,954,1.9,1.7,"-0.2 [-1.3, +1.0]",0.9,1.6,"+0.7 [-0.3, +1.8]",0.4,0.4,"+0.0 [-0.6, +0.7]",45.1,45.6,"+0.5 [-3.7, +4.7]",0.5,0.3,"-0.2 [-0.8, +0.5]",5.5,4.6,"-0.9 [-2.7, +1.0]",70.9,72.5,"+1.6 [-2.2, +5.4]",1.5,2.2,"+0.7 [-0.5, +1.9]"
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,时间·随机层,2025搜索随机1w,2026搜索随机1w,153,100,9.2,10.0,"+0.8 [-6.3, +9.1]",1.3,0.0,"-1.3 [-4.6, +2.5]",0.0,1.0,"+1.0 [-1.6, +5.4]",20.3,20.0,"-0.3 [-10.0, +10.2]",0.7,1.0,"+0.3 [-2.7, +4.8]",68.0,66.0,"-2.0 [-13.9, +9.6]",86.3,84.0,"-2.3 [-11.9, +6.4]",2.0,1.0,"-1.0 [-4.7, +3.7]"
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,深度·搜索内,2026搜索,2026搜索随机1w,40,118,0.0,0.0,"+0.0 [-8.8, +3.2]",27.5,11.0,"-16.5 [-32.5, -3.2]*",0.0,0.8,"+0.8 [-7.9, +4.6]",60.0,66.1,"+6.1 [-10.2, +23.4]",0.0,0.8,"+0.8 [-7.9, +4.6]",0.0,5.1,"+5.1 [-4.1, +10.7]",25.0,50.0,"+25.0 [+7.4, +39.0]*",0.0,0.8,"+0.8 [-7.9, +4.6]"
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,时间·随机层,2025搜索随机1w,2026搜索随机1w,78,118,1.3,0.0,"-1.3 [-6.9, +2.0]",10.3,11.0,"+0.8 [-9.0, +9.3]",0.0,0.8,"+0.8 [-3.9, +4.6]",74.4,66.1,"-8.3 [-20.5, +5.0]",1.3,0.8,"-0.4 [-6.1, +3.5]",1.3,5.1,"+3.8 [-2.5, +9.5]",32.1,50.0,"+17.9 [+3.8, +30.8]*",0.0,0.8,"+0.8 [-3.9, +4.6]"
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,界面·头部层,2026搜索,助手头部1k,54,62,18.5,41.9,"+23.4 [+6.6, +38.2]*",9.3,21.0,"+11.7 [-1.8, +24.5]",0.0,0.0,"+0.0 [-6.6, +5.8]",51.9,46.8,"-5.1 [-22.5, +12.8]",0.0,17.7,"+17.7 [+7.7, +29.0]*",18.5,50.0,"+31.5 [+14.2, +46.0]*",55.6,69.4,"+13.8 [-3.7, +30.4]",0.0,4.8,"+4.8 [-2.5, +13.3]"
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,界面·随机层,2026搜索随机1w,助手随机1k,421,160,24.9,38.1,"+13.2 [+4.8, +21.8]*",9.7,7.5,"-2.2 [-6.7, +3.5]",2.1,0.6,"-1.5 [-3.5, +1.5]",54.6,50.0,"-4.6 [-13.6, +4.4]",8.8,13.1,"+4.3 [-1.0, +10.9]",33.0,33.1,"+0.1 [-8.1, +8.9]",66.7,68.8,"+2.0 [-6.7, +10.1]",0.2,7.5,"+7.3 [+3.9, +12.4]*"
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,深度·搜索内,2026搜索,2026搜索随机1w,54,421,18.5,24.9,"+6.4 [-6.5, +15.6]",9.3,9.7,"+0.5 [-10.5, +6.6]",0.0,2.1,"+2.1 [-4.6, +4.0]",51.9,54.6,"+2.8 [-10.8, +16.6]",0.0,8.8,"+8.8 [+1.7, +11.9]*",18.5,33.0,"+14.5 [+1.4, +23.9]*",55.6,66.7,"+11.2 [-2.1, +25.1]",0.0,0.2,"+0.2 [-6.4, +1.3]"
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,深度·助手内,助手头部1k,助手随机1k,62,160,41.9,38.1,"-3.8 [-18.1, +10.0]",21.0,7.5,"-13.5 [-25.6, -3.7]*",0.0,0.6,"+0.6 [-5.2, +3.5]",46.8,50.0,"+3.2 [-11.2, +17.3]",17.7,13.1,"-4.6 [-16.7, +5.1]",50.0,33.1,"-16.9 [-30.7, -2.6]*",69.4,68.8,"-0.6 [-13.2, +13.4]",4.8,7.5,"+2.7 [-6.4, +8.7]"
