意图,意图名,叶,叶名,意图内行数,占该意图%,叶总行数,该意图占叶%,叶主导意图,主导占叶%,cos_意图内vs叶其余,cos_同叶基线,cos差,意图内中心例子,叶其余中心例子
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,54,建设银行网点与服务查询,190,6.1,345,55.1,查询机构联系方式、网点信息及号码归属,55.1,0.949,0.995,-0.046,建设银行郸城县支行,中国建设银行
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,21,保险公司电话查询,181,5.9,272,66.5,查询机构联系方式、网点信息及号码归属,66.5,0.726,0.993,-0.267,平安保险车险电话,平安保险
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,53,中国银行服务信息查询,148,4.8,407,36.4,查询机构联系方式、网点信息及号码归属,36.4,0.929,0.995,-0.066,中国银行土门支行,中国银行
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,47,查询办理信用卡业务,94,3.0,561,16.8,获取银行/支付业务办理步骤与所需资料,20.1,0.862,0.994,-0.131,爱银行信用卡电话,信用卡没还完去查信用吗
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,17,查询保险公司信息,83,2.7,539,15.4,解析裸非可报价名称,18.6,0.902,0.991,-0.089,威宁人民保险公司电话,中华保险公司是大公司还是小公司
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,16,查询人寿保险相关业务信息,54,1.7,209,25.8,查询机构联系方式、网点信息及号码归属,25.8,0.918,0.989,-0.071,中国人寿保险电话,中国人寿保险
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,72,金融代码查询,52,1.7,445,11.7,查询可报价品种实时行情与价格,51.7,0.855,0.981,-0.126,6217 0013 4001 0164 716开户行,301418
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,48,银行卡业务查询与办理指导,25,0.8,1069,2.3,获取银行/支付业务办理步骤与所需资料,35.9,0.853,0.975,-0.122,6230开头是什么银行卡,办银行卡立马拿到卡吗
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,64,查询金融业务数值与代码,22,0.7,296,7.4,查询利率、费率、限额并试算利息/还款,51.0,0.726,0.97,-0.243,工行良乡西路支行的行号是多少,伊利股息率是多少?
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,18,查询保险相关业务,20,0.6,658,3.0,解析裸非可报价名称,21.6,0.905,0.969,-0.064,保险留电话入口,保险靠不靠谱
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,15,查询借款平台正规性,19,0.6,345,5.5,核验机构平台与金融信息来源的真伪资质,49.0,0.874,0.969,-0.095,汇付支付是哪个平台,哪个借款平台比较正规
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,14,个人征信报告查询与影响咨询,16,0.5,381,4.2,解释金融术语与交易/业务规则,22.3,0.901,0.972,-0.072,衡阳市打征信报告地点有几个,个人征信报告查询
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,32,证券股票信息查询,10,0.3,479,2.1,解析裸非可报价名称,36.5,0.856,0.952,-0.096,华泰证券营业部地址,证券股票
DEBT_DISTRESS,处理逾期催收与还款困境,14,个人征信报告查询与影响咨询,31,23.1,381,8.1,解释金融术语与交易/业务规则,22.3,0.874,0.984,-0.111,网贷逾期上征信影响政审吗,个人征信报告查询
DEBT_DISTRESS,处理逾期催收与还款困境,8,查询贷款信息,18,13.4,845,2.1,对“是不是/是A还是B”给出裁决结论,25.1,0.882,0.961,-0.079,农担公司担保的贷款还不上怎么办,有车贷款还能在银行申请经营贷款吗
DEBT_DISTRESS,处理逾期催收与还款困境,9,贷款提前还款查询,17,12.7,314,5.4,获取银行/支付业务办理步骤与所需资料,26.8,0.879,0.966,-0.087,解约后还会收到还款短信吗,还贷款提前还款划算吗
DEBT_DISTRESS,处理逾期催收与还款困境,15,查询借款平台正规性,15,11.2,345,4.3,核验机构平台与金融信息来源的真伪资质,49.0,0.798,0.964,-0.166,国投信托是哪个平台还款的,哪个借款平台比较正规
DEBT_DISTRESS,处理逾期催收与还款困境,12,金融业务操作与问题处理方法查询,14,10.4,805,1.7,获取银行/支付业务办理步骤与所需资料,56.6,0.846,0.94,-0.093,网贷仲裁后没钱还怎么办,陌生人转钱到我银行怎么办
DEBT_DISTRESS,处理逾期催收与还款困境,13,花呗操作查询,14,10.4,299,4.7,获取银行/支付业务办理步骤与所需资料,27.1,0.852,0.952,-0.1,花呗逾期十天会怎么,花呗停催
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,30,股票行情与选股建议查询,88,31.9,2240,3.9,查询可报价品种实时行情与价格,24.6,0.806,0.984,-0.179,六氟化钨概念股票龙头股,a股上市第一天涨幅最大的股票
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,25,查询股票信息,34,12.3,5023,0.7,查询可报价品种实时行情与价格,95.5,0.848,0.98,-0.131,天龙集团的股票代码,哔哩哔哩股票
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,17,查询保险公司信息,26,9.4,539,4.8,解析裸非可报价名称,18.6,0.746,0.975,-0.229,磷化铟龙头上市公司,中华保险公司是大公司还是小公司
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,22,查询科技股与科创板信息,15,5.4,418,3.6,查询可报价品种实时行情与价格,30.9,0.873,0.938,-0.065,吉鑫科技是什么板块,科创板股票自
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,0,股票代码查询,13,4.7,1717,0.8,查询可报价品种实时行情与价格,87.5,0.824,0.967,-0.143,002538主营什么,600281
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,31,查询财经门户与市场行情,13,4.7,1464,0.9,查询可报价品种实时行情与价格,32.1,0.646,0.896,-0.25,关于CPU的ETF,东方财富网官方首页财经
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,64,查询金融业务数值与代码,11,4.0,296,3.7,查询利率、费率、限额并试算利息/还款,51.0,0.679,0.943,-0.263,宇树科技的股票代码是多少,伊利股息率是多少?
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,72,金融代码查询,10,3.6,445,2.2,查询可报价品种实时行情与价格,51.7,0.872,0.922,-0.05,018530是消費板塊,301458
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,15,查询借款平台正规性,169,42.2,345,49.0,核验机构平台与金融信息来源的真伪资质,49.0,0.87,0.993,-0.123,极融借款是正规平台吗,宝鸡私人放贷平台
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,8,查询贷款信息,35,8.8,845,4.1,对“是不是/是A还是B”给出裁决结论,25.1,0.869,0.98,-0.11,众安贷是正规贷款吗,有车贷款还能在银行申请经营贷款吗
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,10,查询转账与账户业务可行性,32,8.0,1087,2.9,对“是不是/是A还是B”给出裁决结论,36.4,0.703,0.965,-0.262,利信惠普发的短信是真的吗,有现金可以给其它人转账吗
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,17,查询保险公司信息,21,5.2,539,3.9,解析裸非可报价名称,18.6,0.86,0.969,-0.109,众安行保险公司是正规的吗,中华保险公司是大公司还是小公司
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,18,查询保险相关业务,17,4.2,658,2.6,解析裸非可报价名称,21.6,0.893,0.961,-0.068,平安保险保险吗可靠吗,保险购买
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,49,银行信息查询,16,4.0,1941,0.8,查询机构联系方式、网点信息及号码归属,45.1,0.774,0.944,-0.17,网商银行是正规银行吗,工商银行在
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,44,支付宝相关操作查询,15,3.8,778,1.9,获取银行/支付业务办理步骤与所需资料,53.5,0.883,0.97,-0.086,支付宝大病险是真的吗,淘宝用支付宝登录
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,19,车险购买与理赔咨询,10,2.5,491,2.0,对“是不是/是A还是B”给出裁决结论,33.8,0.795,0.938,-0.143,安盛天平车险怎么样,车险司机责任险要买吗
FX_CONVERT,查询汇率并换算外币金额,35,货币兑换金额换算查询,1216,37.8,1249,97.4,查询汇率并换算外币金额,97.4,0.79,0.999,-0.209,韩币1万等于多少人民币,换手率大于8
FX_CONVERT,查询汇率并换算外币金额,33,查询人民币兑外币汇率,1176,36.5,1227,95.8,查询汇率并换算外币金额,95.8,0.722,0.999,-0.276,人民币汇率兑美元,中行外牌汇价
FX_CONVERT,查询汇率并换算外币金额,39,货币兑换查询,251,7.8,257,97.7,查询汇率并换算外币金额,97.7,,,,人民币美币兑换,
FX_CONVERT,查询汇率并换算外币金额,34,查询美元兑日元汇率,211,6.6,248,85.1,查询汇率并换算外币金额,85.1,0.885,0.993,-0.108,日元兑美元,金价美元
FX_CONVERT,查询汇率并换算外币金额,36,人民币及货币信息查询,192,6.0,425,45.2,查询汇率并换算外币金额,45.2,0.843,0.993,-0.15,老式人民币,虚拟币
FX_CONVERT,查询汇率并换算外币金额,6,查询股票代码与指数信息,29,0.9,420,6.9,查询可报价品种实时行情与价格,79.8,0.79,0.987,-0.197,日元10000元,000006
FX_CONVERT,查询汇率并换算外币金额,71,查询价格与金额,29,0.9,503,5.8,查询利率、费率、限额并试算利息/还款,43.3,0.898,0.974,-0.076,两元纸币值多少钱一张,多肉币能卖多少钱
FX_CONVERT,查询汇率并换算外币金额,53,中国银行服务信息查询,18,0.6,407,4.4,查询机构联系方式、网点信息及号码归属,36.4,0.814,0.971,-0.157,中国银行汇率外汇牌价表,中国银行系统
FX_CONVERT,查询汇率并换算外币金额,64,查询金融业务数值与代码,18,0.6,296,6.1,查询利率、费率、限额并试算利息/还款,51.0,0.858,0.964,-0.106,韩币5月汇率是多少,伊利股息率是多少?
FX_CONVERT,查询汇率并换算外币金额,72,金融代码查询,17,0.5,445,3.8,查询可报价品种实时行情与价格,51.7,0.838,0.952,-0.114,3875澳元,301458
FX_CONVERT,查询汇率并换算外币金额,66,金融行情数据查询,15,0.5,481,3.1,查询个股与公司层面的消息、公告与进度,30.1,0.877,0.958,-0.081,2026年6月29日汇率,硫酸价格2025年与2026年对比行情
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,12,金融业务操作与问题处理方法查询,456,16.8,805,56.6,获取银行/支付业务办理步骤与所需资料,56.6,0.941,0.996,-0.054,水电费去银行怎么交,筹码够不够干净怎么看
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,44,支付宝相关操作查询,416,15.4,778,53.5,获取银行/支付业务办理步骤与所需资料,53.5,0.949,0.998,-0.049,支付宝已解约后怎么恢复,淘宝用支付宝登录
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,48,银行卡业务查询与办理指导,384,14.2,1069,35.9,获取银行/支付业务办理步骤与所需资料,35.9,0.936,0.997,-0.061,怎么设置银行卡不被银行划扣呢,办银行卡立马拿到卡吗
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,49,银行信息查询,175,6.5,1941,9.0,查询机构联系方式、网点信息及号码归属,45.1,0.913,0.994,-0.081,工商银行银行卡行号怎么查,浙商银行
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,8,查询贷款信息,152,5.6,845,18.0,对“是不是/是A还是B”给出裁决结论,25.1,0.937,0.994,-0.057,助学贷款怎么申请,贷款的途径
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,43,支付方式使用与设置查询,132,4.9,366,36.1,获取银行/支付业务办理步骤与所需资料,36.1,0.907,0.992,-0.085,微信滴滴打车怎么去掉免密支付,qq支付微信二维码付款吗
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,47,查询办理信用卡业务,113,4.2,561,20.1,获取银行/支付业务办理步骤与所需资料,20.1,0.948,0.994,-0.046,信用卡还多了钱怎么弄出来,交行信用卡过期了
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,10,查询转账与账户业务可行性,107,4.0,1087,9.8,对“是不是/是A还是B”给出裁决结论,36.4,0.904,0.987,-0.083,公户如何转账到私户,有现金可以给其它人转账吗
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,9,贷款提前还款查询,84,3.1,314,26.8,获取银行/支付业务办理步骤与所需资料,26.8,0.941,0.99,-0.049,怎么向银行申请提前还款,还贷款提前还款划算吗
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,13,花呗操作查询,81,3.0,299,27.1,获取银行/支付业务办理步骤与所需资料,27.1,0.869,0.989,-0.12,怎样关闭花呗,花呗停催
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,14,个人征信报告查询与影响咨询,80,3.0,381,21.0,解释金融术语与交易/业务规则,22.3,0.927,0.993,-0.066,个人征信报告查询,征信有贷后管理是上征信了吗
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,18,查询保险相关业务,75,2.8,658,11.4,解析裸非可报价名称,21.6,0.903,0.99,-0.088,保险到底该怎么买,保险靠不靠谱
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,19,车险购买与理赔咨询,58,2.1,491,11.8,对“是不是/是A还是B”给出裁决结论,33.8,0.894,0.987,-0.093,车买的什么保险怎么查,车险司机责任险要买吗
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,50,农业银行及农村信用社服务信息查询,55,2.0,632,8.7,查询机构联系方式、网点信息及号码归属,51.7,0.914,0.987,-0.073,农业银行怎么看几类卡,附近的农业银行
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,54,建设银行网点与服务查询,51,1.9,345,14.8,查询机构联系方式、网点信息及号码归属,55.1,0.917,0.991,-0.074,建设银行怎么查银联号,中国建设银行
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,53,中国银行服务信息查询,37,1.4,407,9.1,查询机构联系方式、网点信息及号码归属,36.4,0.909,0.985,-0.076,中国银行对帐怎么操作流程,中国银行系统
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,52,下载安装金融类App,35,1.3,544,6.4,打开目标页面或获取官方应用入口,71.9,0.881,0.986,-0.104,银行app怎么导出账单,币安App下载
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,32,证券股票信息查询,34,1.3,479,7.1,解析裸非可报价名称,36.5,0.887,0.987,-0.1,证券开户后转入资金的注意事项,证券股票
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,70,查询定期存款利率,28,1.0,350,8.0,查询利率、费率、限额并试算利息/还款,39.4,0.904,0.978,-0.074,怎样在手机银行存款定期存款,银行定期存款利率是多少
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,30,股票行情与选股建议查询,18,0.7,2240,0.8,查询可报价品种实时行情与价格,24.6,0.772,0.934,-0.162,深康佳退市后股票如何交易,a股上市第一天涨幅最大的股票
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,17,查询保险公司信息,16,0.6,539,3.0,解析裸非可报价名称,18.6,0.876,0.961,-0.085,车辆自燃保险公司怎么赔付,中华保险公司是大公司还是小公司
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,16,查询人寿保险相关业务信息,15,0.6,209,7.2,查询机构联系方式、网点信息及号码归属,25.8,0.885,0.971,-0.086,中国人寿保险查询保单,中国人寿保险
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,20,查询交强险保费、赔偿与投保规定,14,0.5,122,11.5,查询利率、费率、限额并试算利息/还款,31.1,0.924,0.982,-0.058,交强险网上怎么买,今年交强险多少
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,31,查询财经门户与市场行情,12,0.4,1464,0.8,查询可报价品种实时行情与价格,32.1,0.79,0.882,-0.092,东方财富客户经理怎么查看,东方财富网官方首页财经
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,15,查询借款平台正规性,11,0.4,345,3.2,核验机构平台与金融信息来源的真伪资质,49.0,0.856,0.954,-0.098,怎么把平台的钱提出来,哪个借款平台比较正规
