外层,外层名,快照,source,n,内层,内层名,条数,占比%,95CI低%,95CI高%
TXN_ISSUE,排查账户与交易异常,2025搜索,2025search,36,TXN_ISSUE__3,TXN_ISSUE__3,12,33.33,20.21,49.67
TXN_ISSUE,排查账户与交易异常,2025搜索,2025search,36,TXN_ISSUE__2,TXN_ISSUE__2,9,25.0,13.75,41.07
TXN_ISSUE,排查账户与交易异常,2025搜索,2025search,36,TXN_ISSUE__1,TXN_ISSUE__1,7,19.44,9.75,35.03
TXN_ISSUE,排查账户与交易异常,2025搜索,2025search,36,TXN_ISSUE__5,TXN_ISSUE__5,5,13.89,6.08,28.66
TXN_ISSUE,排查账户与交易异常,2025搜索,2025search,36,TXN_ISSUE__4,TXN_ISSUE__4,3,8.33,2.87,21.83
COMPARISON_DECISION,比较两个金融对象并给出取舍,2025搜索,2025search,25,COMPARISON_DECISION__1,COMPARISON_DECISION__1,25,100.0,86.68,100.0
DEBT_DISTRESS,处理逾期催收与还款困境,2025搜索,2025search,15,DEBT_DISTRESS__1,DEBT_DISTRESS__1,15,100.0,79.61,100.0
STATUS_DECODE,解读粘贴的提示与界面状态,2025搜索,2025search,2,STATUS_DECODE__1,STATUS_DECODE__1,2,100.0,34.24,100.0
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2025搜索,2025search,40,NEWS_EVENT__2,NEWS_EVENT__2,16,40.0,26.35,55.4
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2025搜索,2025search,40,NEWS_EVENT__4,NEWS_EVENT__4,10,25.0,14.19,40.19
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2025搜索,2025search,40,NEWS_EVENT__1,NEWS_EVENT__1,9,22.5,12.32,37.5
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2025搜索,2025search,40,NEWS_EVENT__5,NEWS_EVENT__5,4,10.0,3.96,23.05
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2025搜索,2025search,40,NEWS_EVENT__3,NEWS_EVENT__3,1,2.5,0.44,12.88
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,2025搜索,2025search,7,MARKET_MOVEMENT_EXPLAIN__1,MARKET_MOVEMENT_EXPLAIN__1,7,100.0,64.57,100.0
SEEK_CREDIT_WORKAROUND,寻找绕征信借款或评估征信修复,2025搜索,2025search,8,SEEK_CREDIT_WORKAROUND__1,SEEK_CREDIT_WORKAROUND__1,8,100.0,67.56,100.0
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索随机1w,2025search_rand,1049,QUOTE_LOOKUP__2,QUOTE_LOOKUP__2,601,57.29,54.28,60.25
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索随机1w,2025search_rand,1049,QUOTE_LOOKUP__1,QUOTE_LOOKUP__1,313,29.84,27.15,32.68
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索随机1w,2025search_rand,1049,QUOTE_LOOKUP__3,QUOTE_LOOKUP__3,135,12.87,10.98,15.03
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索随机1w,2025search_rand,1231,HOWTO_OPERATE__6,HOWTO_OPERATE__6,371,30.14,27.64,32.76
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索随机1w,2025search_rand,1231,HOWTO_OPERATE__2,HOWTO_OPERATE__2,233,18.93,16.84,21.21
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索随机1w,2025search_rand,1231,HOWTO_OPERATE__4,HOWTO_OPERATE__4,197,16.0,14.06,18.16
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索随机1w,2025search_rand,1231,HOWTO_OPERATE__1,HOWTO_OPERATE__1,179,14.54,12.68,16.62
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索随机1w,2025search_rand,1231,HOWTO_OPERATE__5,HOWTO_OPERATE__5,146,11.86,10.17,13.79
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索随机1w,2025search_rand,1231,HOWTO_OPERATE__3,HOWTO_OPERATE__3,105,8.53,7.1,10.22
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索随机1w,2025search_rand,472,RESOLVE_BARE_ENTITY__2,RESOLVE_BARE_ENTITY__2,136,28.81,24.91,33.06
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索随机1w,2025search_rand,472,RESOLVE_BARE_ENTITY__3,RESOLVE_BARE_ENTITY__3,112,23.73,20.11,27.77
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索随机1w,2025search_rand,472,RESOLVE_BARE_ENTITY__5,RESOLVE_BARE_ENTITY__5,72,15.25,12.29,18.78
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索随机1w,2025search_rand,472,RESOLVE_BARE_ENTITY__1,RESOLVE_BARE_ENTITY__1,67,14.19,11.33,17.63
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索随机1w,2025search_rand,472,RESOLVE_BARE_ENTITY__6,RESOLVE_BARE_ENTITY__6,64,13.56,10.76,16.94
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索随机1w,2025search_rand,472,RESOLVE_BARE_ENTITY__4,RESOLVE_BARE_ENTITY__4,21,4.45,2.93,6.71
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索随机1w,2025search_rand,1088,VERDICT_QUESTION__2,VERDICT_QUESTION__2,783,71.97,69.22,74.56
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索随机1w,2025search_rand,1088,VERDICT_QUESTION__1,VERDICT_QUESTION__1,305,28.03,25.44,30.78
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2025搜索随机1w,2025search_rand,153,ENTITY_VERIFY__2,ENTITY_VERIFY__2,108,70.59,62.94,77.23
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2025搜索随机1w,2025search_rand,153,ENTITY_VERIFY__1,ENTITY_VERIFY__1,45,29.41,22.77,37.06
RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索随机1w,2025search_rand,1012,RATE_CALC__1,RATE_CALC__1,535,52.87,49.79,55.92
RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索随机1w,2025search_rand,1012,RATE_CALC__2,RATE_CALC__2,477,47.13,44.08,50.21
STATUS_DECODE,解读粘贴的提示与界面状态,2025搜索随机1w,2025search_rand,24,STATUS_DECODE__1,STATUS_DECODE__1,24,100.0,86.2,100.0
TXN_ISSUE,排查账户与交易异常,2025搜索随机1w,2025search_rand,518,TXN_ISSUE__3,TXN_ISSUE__3,179,34.56,30.59,38.75
TXN_ISSUE,排查账户与交易异常,2025搜索随机1w,2025search_rand,518,TXN_ISSUE__5,TXN_ISSUE__5,122,23.55,20.1,27.39
TXN_ISSUE,排查账户与交易异常,2025搜索随机1w,2025search_rand,518,TXN_ISSUE__1,TXN_ISSUE__1,103,19.88,16.67,23.54
TXN_ISSUE,排查账户与交易异常,2025搜索随机1w,2025search_rand,518,TXN_ISSUE__4,TXN_ISSUE__4,78,15.06,12.24,18.39
TXN_ISSUE,排查账户与交易异常,2025搜索随机1w,2025search_rand,518,TXN_ISSUE__2,TXN_ISSUE__2,36,6.95,5.06,9.47
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索随机1w,2025search_rand,1103,CONTACT_BRANCH_LOOKUP__3,CONTACT_BRANCH_LOOKUP__3,716,64.91,62.05,67.67
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索随机1w,2025search_rand,1103,CONTACT_BRANCH_LOOKUP__4,CONTACT_BRANCH_LOOKUP__4,181,16.41,14.34,18.71
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索随机1w,2025search_rand,1103,CONTACT_BRANCH_LOOKUP__2,CONTACT_BRANCH_LOOKUP__2,106,9.61,8.01,11.49
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索随机1w,2025search_rand,1103,CONTACT_BRANCH_LOOKUP__5,CONTACT_BRANCH_LOOKUP__5,71,6.44,5.13,8.04
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索随机1w,2025search_rand,1103,CONTACT_BRANCH_LOOKUP__1,CONTACT_BRANCH_LOOKUP__1,29,2.63,1.84,3.75
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索随机1w,2025search_rand,338,PAGE_NAV__1,PAGE_NAV__1,197,58.28,52.96,63.42
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索随机1w,2025search_rand,338,PAGE_NAV__2,PAGE_NAV__2,141,41.72,36.58,47.04
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,2025搜索随机1w,2025search_rand,78,ENTITY_IDENTITY_CHECK__1,ENTITY_IDENTITY_CHECK__1,78,100.0,95.31,100.0
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索随机1w,2025search_rand,616,OTHER_INTENT__3,OTHER_INTENT__3,188,30.52,27.01,34.27
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索随机1w,2025search_rand,616,OTHER_INTENT__4,OTHER_INTENT__4,163,26.46,23.13,30.08
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索随机1w,2025search_rand,616,OTHER_INTENT__1,OTHER_INTENT__1,144,23.38,20.21,26.88
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索随机1w,2025search_rand,616,OTHER_INTENT__5,OTHER_INTENT__5,99,16.07,13.38,19.18
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索随机1w,2025search_rand,616,OTHER_INTENT__2,OTHER_INTENT__2,22,3.57,2.37,5.35
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索随机1w,2025search_rand,1037,CONCEPT_EXPLAIN__3,CONCEPT_EXPLAIN__3,506,48.79,45.76,51.84
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索随机1w,2025search_rand,1037,CONCEPT_EXPLAIN__2,CONCEPT_EXPLAIN__2,419,40.41,37.46,43.42
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索随机1w,2025search_rand,1037,CONCEPT_EXPLAIN__1,CONCEPT_EXPLAIN__1,112,10.8,9.05,12.84
FX_CONVERT,查询汇率并换算外币金额,2025搜索随机1w,2025search_rand,584,FX_CONVERT__2,FX_CONVERT__2,374,64.04,60.07,67.83
FX_CONVERT,查询汇率并换算外币金额,2025搜索随机1w,2025search_rand,584,FX_CONVERT__1,FX_CONVERT__1,210,35.96,32.17,39.93
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2025搜索随机1w,2025search_rand,273,NEWS_EVENT__1,NEWS_EVENT__1,108,39.56,33.94,45.47
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2025搜索随机1w,2025search_rand,273,NEWS_EVENT__5,NEWS_EVENT__5,49,17.95,13.85,22.94
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2025搜索随机1w,2025search_rand,273,NEWS_EVENT__3,NEWS_EVENT__3,46,16.85,12.88,21.74
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2025搜索随机1w,2025search_rand,273,NEWS_EVENT__2,NEWS_EVENT__2,42,15.38,11.59,20.14
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2025搜索随机1w,2025search_rand,273,NEWS_EVENT__4,NEWS_EVENT__4,28,10.26,7.19,14.42
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2025搜索随机1w,2025search_rand,186,INVEST_ADVICE__2,INVEST_ADVICE__2,90,48.39,41.31,55.53
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2025搜索随机1w,2025search_rand,186,INVEST_ADVICE__1,INVEST_ADVICE__1,66,35.48,28.96,42.59
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2025搜索随机1w,2025search_rand,186,INVEST_ADVICE__3,INVEST_ADVICE__3,19,10.22,6.64,15.4
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2025搜索随机1w,2025search_rand,186,INVEST_ADVICE__4,INVEST_ADVICE__4,11,5.91,3.33,10.28
DEBT_DISTRESS,处理逾期催收与还款困境,2025搜索随机1w,2025search_rand,71,DEBT_DISTRESS__1,DEBT_DISTRESS__1,71,100.0,94.87,100.0
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,2025搜索随机1w,2025search_rand,56,MARKET_MOVEMENT_EXPLAIN__1,MARKET_MOVEMENT_EXPLAIN__1,56,100.0,93.58,100.0
COMPARISON_DECISION,比较两个金融对象并给出取舍,2025搜索随机1w,2025search_rand,100,COMPARISON_DECISION__1,COMPARISON_DECISION__1,100,100.0,96.3,100.0
SEEK_CREDIT_WORKAROUND,寻找绕征信借款或评估征信修复,2025搜索随机1w,2025search_rand,11,SEEK_CREDIT_WORKAROUND__1,SEEK_CREDIT_WORKAROUND__1,11,100.0,74.12,100.0
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2026搜索,2026search,6282,QUOTE_LOOKUP__2,QUOTE_LOOKUP__2,3891,61.94,60.73,63.13
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2026搜索,2026search,6282,QUOTE_LOOKUP__1,QUOTE_LOOKUP__1,1234,19.64,18.68,20.64
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2026搜索,2026search,6282,QUOTE_LOOKUP__3,QUOTE_LOOKUP__3,1157,18.42,17.48,19.4
PAGE_NAV,打开目标页面或获取官方应用入口,2026搜索,2026search,1591,PAGE_NAV__2,PAGE_NAV__2,1411,88.69,87.04,90.15
PAGE_NAV,打开目标页面或获取官方应用入口,2026搜索,2026search,1591,PAGE_NAV__1,PAGE_NAV__1,180,11.31,9.85,12.96
FX_CONVERT,查询汇率并换算外币金额,2026搜索,2026search,717,FX_CONVERT__1,FX_CONVERT__1,584,81.45,78.44,84.13
FX_CONVERT,查询汇率并换算外币金额,2026搜索,2026search,717,FX_CONVERT__2,FX_CONVERT__2,133,18.55,15.87,21.56
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2026搜索,2026search,414,RESOLVE_BARE_ENTITY__5,RESOLVE_BARE_ENTITY__5,116,28.02,23.91,32.53
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2026搜索,2026search,414,RESOLVE_BARE_ENTITY__2,RESOLVE_BARE_ENTITY__2,85,20.53,16.92,24.68
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2026搜索,2026search,414,RESOLVE_BARE_ENTITY__3,RESOLVE_BARE_ENTITY__3,79,19.08,15.59,23.14
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2026搜索,2026search,414,RESOLVE_BARE_ENTITY__4,RESOLVE_BARE_ENTITY__4,57,13.77,10.78,17.42
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2026搜索,2026search,414,RESOLVE_BARE_ENTITY__6,RESOLVE_BARE_ENTITY__6,45,10.87,8.22,14.24
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2026搜索,2026search,414,RESOLVE_BARE_ENTITY__1,RESOLVE_BARE_ENTITY__1,32,7.73,5.53,10.71
OTHER_INTENT,其他非金融意图或无明确意图,2026搜索,2026search,97,OTHER_INTENT__2,OTHER_INTENT__2,51,52.58,42.73,62.23
OTHER_INTENT,其他非金融意图或无明确意图,2026搜索,2026search,97,OTHER_INTENT__4,OTHER_INTENT__4,26,26.8,19.0,36.38
OTHER_INTENT,其他非金融意图或无明确意图,2026搜索,2026search,97,OTHER_INTENT__5,OTHER_INTENT__5,9,9.28,4.96,16.7
OTHER_INTENT,其他非金融意图或无明确意图,2026搜索,2026search,97,OTHER_INTENT__3,OTHER_INTENT__3,7,7.22,3.54,14.15
OTHER_INTENT,其他非金融意图或无明确意图,2026搜索,2026search,97,OTHER_INTENT__1,OTHER_INTENT__1,4,4.12,1.62,10.13
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2026搜索,2026search,331,CONTACT_BRANCH_LOOKUP__4,CONTACT_BRANCH_LOOKUP__4,160,48.34,43.0,53.71
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2026搜索,2026search,331,CONTACT_BRANCH_LOOKUP__1,CONTACT_BRANCH_LOOKUP__1,98,29.61,24.95,34.74
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2026搜索,2026search,331,CONTACT_BRANCH_LOOKUP__2,CONTACT_BRANCH_LOOKUP__2,48,14.5,11.12,18.7
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2026搜索,2026search,331,CONTACT_BRANCH_LOOKUP__3,CONTACT_BRANCH_LOOKUP__3,15,4.53,2.77,7.34
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2026搜索,2026search,331,CONTACT_BRANCH_LOOKUP__5,CONTACT_BRANCH_LOOKUP__5,10,3.02,1.65,5.47
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2026搜索,2026search,84,HOWTO_OPERATE__2,HOWTO_OPERATE__2,28,33.33,24.18,43.95
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2026搜索,2026search,84,HOWTO_OPERATE__6,HOWTO_OPERATE__6,18,21.43,14.01,31.35
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2026搜索,2026search,84,HOWTO_OPERATE__5,HOWTO_OPERATE__5,13,15.48,9.27,24.7
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2026搜索,2026search,84,HOWTO_OPERATE__4,HOWTO_OPERATE__4,11,13.1,7.47,21.95
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2026搜索,2026search,84,HOWTO_OPERATE__1,HOWTO_OPERATE__1,7,8.33,4.1,16.22
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2026搜索,2026search,84,HOWTO_OPERATE__3,HOWTO_OPERATE__3,7,8.33,4.1,16.22
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2026搜索,2026search,154,CONCEPT_EXPLAIN__2,CONCEPT_EXPLAIN__2,98,63.64,55.79,70.82
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2026搜索,2026search,154,CONCEPT_EXPLAIN__3,CONCEPT_EXPLAIN__3,46,29.87,23.2,37.52
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2026搜索,2026search,154,CONCEPT_EXPLAIN__1,CONCEPT_EXPLAIN__1,10,6.49,3.57,11.54
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2026搜索,2026search,61,NEWS_EVENT__1,NEWS_EVENT__1,27,44.26,32.51,56.7
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2026搜索,2026search,61,NEWS_EVENT__2,NEWS_EVENT__2,27,44.26,32.51,56.7
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2026搜索,2026search,61,NEWS_EVENT__5,NEWS_EVENT__5,5,8.2,3.55,17.79
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2026搜索,2026search,61,NEWS_EVENT__3,NEWS_EVENT__3,1,1.64,0.29,8.72
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2026搜索,2026search,61,NEWS_EVENT__4,NEWS_EVENT__4,1,1.64,0.29,8.72
RATE_CALC,查询利率、费率、限额并试算利息/还款,2026搜索,2026search,84,RATE_CALC__2,RATE_CALC__2,53,63.1,52.42,72.63
RATE_CALC,查询利率、费率、限额并试算利息/还款,2026搜索,2026search,84,RATE_CALC__1,RATE_CALC__1,31,36.9,27.37,47.58
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2026搜索,2026search,33,ENTITY_VERIFY__1,ENTITY_VERIFY__1,23,69.7,52.66,82.62
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2026搜索,2026search,33,ENTITY_VERIFY__2,ENTITY_VERIFY__2,10,30.3,17.38,47.34
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2026搜索,2026search,27,VERDICT_QUESTION__2,VERDICT_QUESTION__2,15,55.56,37.31,72.41
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2026搜索,2026search,27,VERDICT_QUESTION__1,VERDICT_QUESTION__1,12,44.44,27.59,62.69
