外层,外层名,快照,n,内层个数,有效内层数(exp熵),覆盖80%所需内层数,首位内层,首位占比%
STATUS_DECODE,解读粘贴的提示与界面状态,2025搜索随机1w,24,12,8.18,8,查询金融术语含义,37.5
TXN_ISSUE,排查账户与交易异常,2025搜索随机1w,518,33,13.86,9,银行卡业务查询与办理指导,16.6
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索随机1w,1103,37,8.96,6,银行信息查询,39.08
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索随机1w,338,38,15.41,13,下载安装金融类App,25.15
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,2025搜索随机1w,78,17,12.48,9,股票行情与选股建议查询,19.23
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索随机1w,616,52,30.28,20,查询保险相关业务,9.9
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索随机1w,1037,50,22.29,18,查询金融术语含义,21.6
FX_CONVERT,查询汇率并换算外币金额,2025搜索随机1w,584,20,4.57,3,货币兑换金额换算查询,54.62
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2025搜索随机1w,273,43,15.98,13,股票行情与选股建议查询,26.74
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2025搜索随机1w,186,32,11.56,10,股票行情与选股建议查询,41.4
DEBT_DISTRESS,处理逾期催收与还款困境,2025搜索随机1w,71,15,9.81,6,个人征信报告查询与影响咨询,21.13
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,2025搜索随机1w,56,18,8.4,8,股票行情与选股建议查询,46.43
COMPARISON_DECISION,比较两个金融对象并给出取舍,2025搜索随机1w,100,26,18.28,12,银行信息查询,14.0
SEEK_CREDIT_WORKAROUND,寻找绕征信借款或评估征信修复,2025搜索随机1w,11,4,2.81,2,个人征信报告查询与影响咨询,63.64
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2026搜索,6282,45,12.87,11,查询股票信息,35.64
PAGE_NAV,打开目标页面或获取官方应用入口,2026搜索,1591,31,4.15,4,证券股吧查询,67.94
FX_CONVERT,查询汇率并换算外币金额,2026搜索,717,9,3.79,3,查询人民币兑外币汇率,52.02
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2026搜索,414,39,16.04,13,查询财经门户与市场行情,25.36
OTHER_INTENT,其他非金融意图或无明确意图,2026搜索,97,22,6.89,7,蚂蚁庄园今日答案查询,52.58
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2026搜索,331,17,5.83,4,银行客服电话查询,38.07
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2026搜索,84,18,11.14,7,支付宝相关操作查询,22.62
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2026搜索,154,23,9.08,7,查询金融术语含义,40.91
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2026搜索,61,14,7.45,6,股票行情与选股建议查询,40.98
RATE_CALC,查询利率、费率、限额并试算利息/还款,2026搜索,84,18,10.84,8,利率查询与计算,23.81
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2026搜索,33,6,2.29,2,查询借款平台正规性,78.79
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2026搜索,27,14,10.99,9,股票行情与选股建议查询,22.22
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2026搜索,54,14,4.68,4,股票行情与选股建议查询,62.96
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,2026搜索,40,12,5.77,4,股票行情与选股建议查询,47.5
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,2026搜索,5,2,1.65,1,股票行情与选股建议查询,80.0
TXN_ISSUE,排查账户与交易异常,2026搜索,17,5,4.54,4,银行卡业务查询与办理指导,29.41
COMPARISON_DECISION,比较两个金融对象并给出取舍,2026搜索,6,5,4.76,4,查询定期存款利率,33.33
DEBT_DISTRESS,处理逾期催收与还款困境,2026搜索,2,1,1.0,1,查询借款平台正规性,100.0
RATE_CALC,查询利率、费率、限额并试算利息/还款,2026搜索随机1w,822,46,16.91,12,计算存贷款利息,25.3
FX_CONVERT,查询汇率并换算外币金额,2026搜索随机1w,627,25,5.98,4,货币兑换金额换算查询,47.53
PAGE_NAV,打开目标页面或获取官方应用入口,2026搜索随机1w,320,38,14.88,13,证券股吧查询,25.31
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2026搜索随机1w,1667,52,22.69,15,查询股票信息,15.24
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2026搜索随机1w,954,46,16.62,11,金融业务操作与问题处理方法查询,17.09
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2026搜索随机1w,1071,51,18.55,17,查询金融术语含义,25.77
TXN_ISSUE,排查账户与交易异常,2026搜索随机1w,417,29,14.21,9,查询转账与账户业务可行性,18.23
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2026搜索随机1w,907,34,9.48,6,银行信息查询,37.16
OTHER_INTENT,其他非金融意图或无明确意图,2026搜索随机1w,529,53,31.29,22,查询财经门户与市场行情,8.88
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2026搜索随机1w,421,37,12.41,11,股票行情与选股建议查询,41.33
COMPARISON_DECISION,比较两个金融对象并给出取舍,2026搜索随机1w,111,32,22.47,15,银行信息查询,10.81
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2026搜索随机1w,900,45,20.94,14,查询转账与账户业务可行性,16.89
STATUS_DECODE,解读粘贴的提示与界面状态,2026搜索随机1w,22,11,8.66,7,银行信息查询,22.73
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2026搜索随机1w,459,41,15.56,12,股票行情与选股建议查询,26.36
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2026搜索随机1w,411,47,22.1,15,查询财经门户与市场行情,17.52
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2026搜索随机1w,100,27,14.31,12,查询借款平台正规性,30.0
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,2026搜索随机1w,99,24,6.51,8,股票行情与选股建议查询,59.6
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,2026搜索随机1w,118,19,11.57,9,股票行情与选股建议查询,28.81
SEEK_CREDIT_WORKAROUND,寻找绕征信借款或评估征信修复,2026搜索随机1w,4,2,1.75,2,个人征信报告查询与影响咨询,75.0
DEBT_DISTRESS,处理逾期催收与还款困境,2026搜索随机1w,41,10,7.49,5,个人征信报告查询与影响咨询,29.27
QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手头部1k,456,28,13.25,10,查询股票信息,26.97
RATE_CALC,查询利率、费率、限额并试算利息/还款,助手头部1k,29,12,8.37,7,农业银行及农村信用社服务信息查询,34.48
FX_CONVERT,查询汇率并换算外币金额,助手头部1k,84,7,3.72,3,查询人民币兑外币汇率,51.19
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手头部1k,16,7,4.76,4,股票行情与选股建议查询,50.0
TXN_ISSUE,排查账户与交易异常,助手头部1k,44,7,4.29,3,银行信息查询,50.0
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,助手头部1k,62,10,5.05,4,股票行情与选股建议查询,51.61
OTHER_INTENT,其他非金融意图或无明确意图,助手头部1k,59,13,5.37,4,蚂蚁庄园今日答案查询,54.24
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手头部1k,18,8,6.52,5,银行客服电话查询,27.78
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,助手头部1k,8,7,6.73,6,银行信息查询,25.0
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手头部1k,20,9,7.13,5,查询金融术语含义,30.0
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,助手头部1k,4,1,1.0,1,股票行情与选股建议查询,100.0
RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手头部1k,73,23,16.09,11,银行信息查询,15.07
COMPARISON_DECISION,比较两个金融对象并给出取舍,助手头部1k,12,7,5.47,5,计算存贷款利息,41.67
PAGE_NAV,打开目标页面或获取官方应用入口,助手头部1k,30,6,3.32,2,下载安装金融类App,60.0
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手头部1k,20,11,9.21,7,金融业务操作与问题处理方法查询,25.0
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,助手头部1k,7,4,3.17,3,查询借款平台正规性,57.14
DEBT_DISTRESS,处理逾期催收与还款困境,助手头部1k,3,2,1.89,2,银行信息查询,66.67
STATUS_DECODE,解读粘贴的提示与界面状态,助手头部1k,3,2,1.89,2,查询金融术语含义,66.67
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,助手头部1k,1,1,1.0,1,查询股份公司及股票信息,100.0
SEEK_CREDIT_WORKAROUND,寻找绕征信借款或评估征信修复,助手头部1k,1,1,1.0,1,查询300开头股票代码与行情,100.0
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,助手随机1k,160,32,9.84,10,股票行情与选股建议查询,48.75
QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手随机1k,79,19,12.56,10,金融行情数据查询,20.25
RATE_CALC,查询利率、费率、限额并试算利息/还款,助手随机1k,98,19,12.07,8,计算存贷款利息,18.37
OTHER_INTENT,其他非金融意图或无明确意图,助手随机1k,100,34,22.14,18,股票行情与选股建议查询,22.0
FX_CONVERT,查询汇率并换算外币金额,助手随机1k,22,5,3.62,3,货币兑换金额换算查询,40.91
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,助手随机1k,76,25,15.13,11,查询转账与账户业务可行性,27.63
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手随机1k,79,22,10.13,8,股票行情与选股建议查询,32.91
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手随机1k,139,33,17.86,17,股票行情与选股建议查询,30.22
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,助手随机1k,27,8,3.55,3,股票行情与选股建议查询,66.67
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手随机1k,83,25,17.48,12,金融业务操作与问题处理方法查询,15.66
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手随机1k,34,12,7.32,6,银行信息查询,38.24
PAGE_NAV,打开目标页面或获取官方应用入口,助手随机1k,12,4,2.67,2,下载安装金融类App,66.67
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,助手随机1k,5,5,5.0,4,查询金融术语含义,20.0
RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手随机1k,17,11,9.8,8,查询财经门户与市场行情,17.65
TXN_ISSUE,排查账户与交易异常,助手随机1k,22,10,6.96,6,查询转账与账户业务可行性,40.91
COMPARISON_DECISION,比较两个金融对象并给出取舍,助手随机1k,21,12,9.63,8,银行信息查询,23.81
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,助手随机1k,9,7,6.61,6,查询保险公司信息,22.22
DEBT_DISTRESS,处理逾期催收与还款困境,助手随机1k,1,1,1.0,1,查询保险公司信息,100.0
SEEK_CREDIT_WORKAROUND,寻找绕征信借款或评估征信修复,助手随机1k,2,2,2.0,2,查询借款平台正规性,50.0
STATUS_DECODE,解读粘贴的提示与界面状态,助手随机1k,1,1,1.0,1,银行卡业务查询与办理指导,100.0
QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手语音头部1k,700,33,15.2,12,查询股票信息,28.86
RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手语音头部1k,93,30,18.01,14,银行信息查询,20.43
PAGE_NAV,打开目标页面或获取官方应用入口,助手语音头部1k,21,7,4.8,4,证券股吧查询,47.62
FX_CONVERT,查询汇率并换算外币金额,助手语音头部1k,74,8,4.1,3,查询人民币兑外币汇率,52.7
OTHER_INTENT,其他非金融意图或无明确意图,助手语音头部1k,16,9,6.26,6,蚂蚁庄园今日答案查询,43.75
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手语音头部1k,46,8,5.38,4,银行客服电话查询,43.48
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,助手语音头部1k,6,4,3.46,3,股票行情与选股建议查询,50.0
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手语音头部1k,8,6,5.66,5,计算存贷款利息,25.0
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,助手语音头部1k,7,5,4.37,4,股票行情与选股建议查询,42.86
COMPARISON_DECISION,比较两个金融对象并给出取舍,助手语音头部1k,1,1,1.0,1,金融行情数据查询,100.0
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手语音头部1k,9,4,2.73,3,股票行情与选股建议查询,66.67
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手语音头部1k,7,4,3.17,3,支付宝相关操作查询,57.14
RATE_CALC,查询利率、费率、限额并试算利息/还款,助手语音头部1k,10,3,2.45,2,计算存贷款利息,60.0
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,助手语音头部1k,1,1,1.0,1,查询金融术语含义,100.0
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,助手语音头部1k,1,1,1.0,1,查询股份股票及股吧信息,100.0
QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手语音1k,152,23,13.51,11,查询股票信息,26.32
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手语音1k,37,13,9.1,7,金融行情数据查询,27.03
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,助手语音1k,85,22,14.62,10,查询转账与账户业务可行性,16.47
FX_CONVERT,查询汇率并换算外币金额,助手语音1k,128,9,4.05,3,货币兑换金额换算查询,56.25
RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手语音1k,30,11,8.13,6,银行信息查询,30.0
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,助手语音1k,8,5,4.46,4,股票行情与选股建议查询,37.5
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手语音1k,104,24,13.78,9,金融业务操作与问题处理方法查询,19.23
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手语音1k,94,25,15.28,12,查询金融术语含义,20.21
OTHER_INTENT,其他非金融意图或无明确意图,助手语音1k,76,30,22.64,17,蚂蚁庄园今日答案查询,15.79
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手语音1k,75,13,8.28,5,银行信息查询,25.33
RATE_CALC,查询利率、费率、限额并试算利息/还款,助手语音1k,74,24,16.07,13,计算存贷款利息,21.62
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,助手语音1k,52,12,6.69,6,股票行情与选股建议查询,46.15
TXN_ISSUE,排查账户与交易异常,助手语音1k,41,17,13.83,10,银行卡业务查询与办理指导,17.07
COMPARISON_DECISION,比较两个金融对象并给出取舍,助手语音1k,12,7,6.0,5,查询转账与账户业务可行性,33.33
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,助手语音1k,9,4,3.16,3,股票行情与选股建议查询,55.56
PAGE_NAV,打开目标页面或获取官方应用入口,助手语音1k,16,7,5.27,4,证券股吧查询,43.75
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,助手语音1k,5,4,3.79,3,查询转账与账户业务可行性,40.0
SEEK_CREDIT_WORKAROUND,寻找绕征信借款或评估征信修复,助手语音1k,1,1,1.0,1,查询借款平台正规性,100.0
DEBT_DISTRESS,处理逾期催收与还款困境,助手语音1k,1,1,1.0,1,个人征信报告查询与影响咨询,100.0
