外层,外层名,对比,a,b,n_a,n_b,内层TVD,同源噪声上界,超出噪声,"差最大的三个内层(b-a, *=区间不含0)"
OTHER_INTENT,其他非金融意图或无明确意图,深度·搜索内,2026搜索,2026搜索随机1w,97,529,0.6058,0.3404,True,"蚂蚁庄园今日答案查询 -48.2pp [-58.0, -38.2]*；查询保险相关业务 +8.9pp [+4.5, +11.6]*；查询价格与金额 +5.6pp [+0.7, +8.2]*"
OTHER_INTENT,其他非金融意图或无明确意图,深度·助手内,助手头部1k,助手随机1k,59,100,0.7453,0.4176,True,"蚂蚁庄园今日答案查询 -52.2pp [-64.4, -38.7]*；股票行情与选股建议查询 +20.3pp [+10.2, +29.5]*；查询价格与金额 -9.6pp [-20.8, -0.8]*"
OTHER_INTENT,其他非金融意图或无明确意图,时间·头部层,2025搜索,2026搜索,204,97,0.1854,0.2336,False,"查询财经门户与市场行情 +7.1pp [-0.1, +15.9]；蚂蚁庄园今日答案查询 -3.8pp [-15.7, +8.0]；下载安装金融类App -2.8pp [-7.4, +3.3]"
OTHER_INTENT,其他非金融意图或无明确意图,时间·随机层,2025搜索随机1w,2026搜索随机1w,616,529,0.1645,0.1821,False,"股票行情与选股建议查询 +2.8pp [+0.1, +5.7]*；查询财经门户与市场行情 +2.4pp [-0.7, +5.6]；人民币及货币信息查询 -1.8pp [-4.2, +0.5]"
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,深度·搜索内,2026搜索,2026搜索随机1w,331,907,0.6686,0.1357,True,"银行信息查询 +32.0pp [+27.8, +35.7]*；银行客服电话查询 -27.4pp [-33.0, -21.9]*；查询电话号码归属 -26.1pp [-31.3, -21.2]*"
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,时间·头部层,2025搜索,2026搜索,576,331,0.1265,0.1142,True,"查询电话号码归属 +10.5pp [+4.7, +16.5]*；银行客服电话查询 -4.3pp [-10.8, +2.4]；银行信息查询 -3.7pp [-6.9, -0.1]*"
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,时间·随机层,2025搜索随机1w,2026搜索随机1w,1103,907,0.0726,0.0963,False,"银行信息查询 -1.9pp [-6.2, +2.4]；金融代码查询 -1.8pp [-3.1, -0.5]*；银行客服电话查询 +1.4pp [-1.3, +4.0]"
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,界面·随机层,2026搜索随机1w,助手随机1k,1071,139,0.3503,0.2484,True,"查询金融术语含义 -17.9pp [-22.2, -11.6]*；股票行情与选股建议查询 +11.4pp [+3.9, +19.7]*；查询金融业务数值与代码 +3.5pp [+1.0, +8.3]*"
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,深度·搜索内,2026搜索,2026搜索随机1w,154,1071,0.3026,0.2249,True,"查询金融术语含义 -15.1pp [-23.4, -7.2]*；股指行情查询 -5.8pp [-11.2, -2.4]*；查询转账与账户业务可行性 +3.6pp [+1.0, +4.9]*"
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,时间·头部层,2025搜索,2026搜索,266,154,0.2286,0.2085,True,"股指行情查询 +5.2pp [+0.9, +10.7]*；查询金融术语含义 -4.2pp [-13.8, +5.6]；计算存贷款利息 -4.0pp [-7.5, -0.0]*"
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,时间·随机层,2025搜索随机1w,2026搜索随机1w,1037,1071,0.1632,0.1202,True,"股票行情与选股建议查询 +4.5pp [+1.3, +7.7]*；查询金融术语含义 +4.2pp [+0.5, +7.8]*；查询贷款信息 -3.1pp [-4.7, -1.5]*"
RATE_CALC,查询利率、费率、限额并试算利息/还款,界面·随机层,2026搜索随机1w,助手随机1k,822,98,0.273,0.2699,True,"查询金融业务数值与代码 +8.0pp [+2.1, +16.4]*；计算存贷款利息 -6.9pp [-14.1, +2.3]；贷款月供计算 +5.6pp [+0.1, +13.6]*"
RATE_CALC,查询利率、费率、限额并试算利息/还款,深度·搜索内,2026搜索,2026搜索随机1w,84,822,0.4151,0.2859,True,"利率查询与计算 -17.4pp [-27.6, -9.3]*；查询定期存款利率 -10.1pp [-19.4, -3.7]*；计算存贷款利息 +8.6pp [-1.2, +15.8]"
RATE_CALC,查询利率、费率、限额并试算利息/还款,时间·头部层,2025搜索,2026搜索,233,84,0.199,0.2547,False,"利率查询与计算 -9.2pp [-19.3, +2.4]；查询定期存款利率 +6.5pp [-1.1, +16.2]；计算存贷款利息 -2.6pp [-11.2, +7.8]"
RATE_CALC,查询利率、费率、限额并试算利息/还款,时间·随机层,2025搜索随机1w,2026搜索随机1w,1012,822,0.1287,0.1152,True,"利率查询与计算 -5.2pp [-7.8, -2.6]*；查询价格与金额 +2.4pp [-0.3, +5.3]；金融行情数据查询 +2.2pp [+0.6, +3.9]*"
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,界面·随机层,2026搜索随机1w,助手随机1k,900,76,0.4116,0.3079,True,"查询转账与账户业务可行性 +10.7pp [+1.6, +21.9]*；银行卡业务查询与办理指导 -10.0pp [-12.1, -4.9]*；查询贷款信息 -5.5pp [-8.8, +1.7]"
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,时间·随机层,2025搜索随机1w,2026搜索随机1w,1088,900,0.1237,0.1174,True,"银行卡业务查询与办理指导 -2.8pp [-5.5, +0.1]；股票行情与选股建议查询 +2.1pp [+0.6, +3.7]*；车险购买与理赔咨询 -1.7pp [-4.0, +0.6]"
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,界面·随机层,2026搜索随机1w,助手随机1k,954,83,0.2492,0.2707,False,"支付宝相关操作查询 -8.6pp [-13.2, -0.6]*；查询转账与账户业务可行性 +5.3pp [+0.8, +13.3]*；查询贷款信息 +4.0pp [-0.5, +12.1]"
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,深度·搜索内,2026搜索,2026搜索随机1w,84,954,0.3035,0.2774,True,"支付宝相关操作查询 -6.8pp [-17.1, +1.2]；个人征信报告查询与影响咨询 -6.4pp [-14.4, -2.1]*；银行信息查询 +5.4pp [-0.7, +7.9]"
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,时间·头部层,2025搜索,2026搜索,225,84,0.1838,0.2664,False,"金融业务操作与问题处理方法查询 +3.3pp [-4.9, +13.5]；贷款提前还款查询 -2.8pp [-6.4, +2.8]；花呗操作查询 -2.6pp [-8.6, +5.6]"
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,时间·随机层,2025搜索随机1w,2026搜索随机1w,1231,954,0.0888,0.1061,False,"查询贷款信息 -2.1pp [-4.0, -0.2]*；支付宝相关操作查询 +1.8pp [-1.2, +4.8]；银行信息查询 +1.6pp [-0.6, +3.8]"
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,时间·随机层,2025搜索随机1w,2026搜索随机1w,153,100,0.2237,0.3088,False,"查询贷款信息 -2.8pp [-10.1, +5.6]；查询保险公司信息 +2.4pp [-3.4, +9.6]；查询保险相关业务 -2.2pp [-7.4, +3.8]"
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,深度·搜索内,2026搜索,2026搜索随机1w,40,118,0.375,0.3688,True,"股票行情与选股建议查询 -18.7pp [-35.4, -1.7]*；查询科技股与科创板信息 +6.8pp [-4.3, +13.7]；查询股票信息 -6.5pp [-21.1, +3.7]"
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,时间·随机层,2025搜索随机1w,2026搜索随机1w,78,118,0.3149,0.302,True,"股票行情与选股建议查询 +9.6pp [-2.9, +20.9]；查询股票信息 -9.5pp [-20.1, -0.0]*；证券股票信息查询 -7.3pp [-15.8, -1.0]*"
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,界面·头部层,2026搜索,助手头部1k,54,62,0.3011,0.2832,True,"查询金价 +14.3pp [+3.6, +25.5]*；股票行情与选股建议查询 -11.4pp [-28.2, +6.6]；查询价格与金额 -5.6pp [-15.1, +1.3]"
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,界面·随机层,2026搜索随机1w,助手随机1k,421,160,0.2401,0.2115,True,"股票行情与选股建议查询 +7.4pp [-1.6, +16.4]；查询股票信息 -4.9pp [-8.1, -0.6]*；查询价格走势图 +4.0pp [+0.8, +8.8]*"
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,深度·搜索内,2026搜索,2026搜索随机1w,54,421,0.3682,0.3218,True,"股票行情与选股建议查询 -21.6pp [-34.1, -7.5]*；查询黄金价格 -6.0pp [-16.2, -1.2]*；查询股票信息 +5.5pp [-2.7, +8.8]"
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,深度·助手内,助手头部1k,助手随机1k,62,160,0.2986,0.3199,False,"查询金价 -14.3pp [-25.4, -6.3]*；查询黄金价格 -6.8pp [-16.3, -1.2]*；金融行情数据查询 +3.8pp [-2.4, +7.9]"
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,时间·头部层,2025搜索,2026搜索,57,54,0.2602,0.3149,False,"查询黄金价格 +5.7pp [-3.1, +15.9]；查询价格与金额 +5.6pp [-1.7, +15.1]；查询转账与账户业务可行性 -5.3pp [-14.4, +2.2]"
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,时间·随机层,2025搜索随机1w,2026搜索随机1w,186,421,0.1698,0.2105,False,"查询保险公司信息 -3.2pp [-7.4, -0.3]*；股票代码查询 +2.6pp [-0.2, +4.7]；科技类股票信息查询 +2.3pp [-0.4, +4.4]"
TXN_ISSUE,排查账户与交易异常,时间·随机层,2025搜索随机1w,2026搜索随机1w,518,417,0.1062,0.1453,False,"查询转账与账户业务可行性 +2.6pp [-2.2, +7.5]；金融业务操作与问题处理方法查询 -1.8pp [-6.4, +2.9]；花呗操作查询 -1.7pp [-4.3, +0.9]"
COMPARISON_DECISION,比较两个金融对象并给出取舍,时间·随机层,2025搜索随机1w,2026搜索随机1w,100,111,0.2876,0.3715,False,"基金净值查询 +5.4pp [+0.7, +11.3]*；证券股票信息查询 +4.5pp [+0.0, +10.1]*；查询办理信用卡业务 -4.2pp [-10.8, +1.4]"
DEBT_DISTRESS,处理逾期催收与还款困境,时间·随机层,2025搜索随机1w,2026搜索随机1w,71,41,0.2171,0.3673,False,"个人征信报告查询与影响咨询 +8.1pp [-7.8, +25.3]；金融业务操作与问题处理方法查询 -5.4pp [-16.2, +8.1]；银行信息查询 -4.2pp [-11.7, +4.8]"
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,界面·随机层,2026搜索随机1w,助手随机1k,459,79,0.2652,0.2967,False,"股票行情与选股建议查询 +6.5pp [-3.7, +18.1]；查询财经门户与市场行情 -4.5pp [-8.3, +2.6]；金融行情数据查询 +4.4pp [-3.6, +14.8]"
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,深度·搜索内,2026搜索,2026搜索随机1w,61,459,0.4212,0.3191,True,"股票行情与选股建议查询 -14.6pp [-27.7, -2.4]*；金融行情数据查询 +11.3pp [+2.9, +15.6]*；查询市场行情 -10.2pp [-20.6, -4.2]*"
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,时间·头部层,2025搜索,2026搜索,40,61,0.3939,0.3855,True,"人民币及货币信息查询 -14.2pp [-28.9, -2.4]*；查询科技股与科创板信息 +12.3pp [-0.2, +23.4]；股票行情与选股建议查询 +11.0pp [-8.2, +28.3]"
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,时间·随机层,2025搜索随机1w,2026搜索随机1w,273,459,0.157,0.2033,False,"金融行情数据查询 -3.0pp [-8.7, +2.4]；查询科技股与科创板信息 +2.6pp [-1.7, +6.5]；基金净值查询 +2.5pp [+0.4, +4.4]*"
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,时间·随机层,2025搜索随机1w,2026搜索随机1w,56,99,0.3687,0.3577,True,"股票行情与选股建议查询 +13.2pp [-3.0, +28.6]；查询金价 -6.1pp [-16.0, +0.1]；支付宝相关操作查询 -5.4pp [-14.6, -0.2]*"
