sid,query,code
d003572,东部战区空军总院,JY
d003599,丝瓜水功效与作用,YS
d003718,两酸睾酮注射液给公猪的体用与功效,FYL
d003736,中医 咳嗽的诊断,ZY
d003796,中医过寒则痛,ZY
d003856,中山医院,JY
d003863,中山大学附属第一医院,JY
d003965,中生四霉素对番茄溃疡有效果吗,FYL
d003972,中美医院潘,JY
d004036,中药安乐片能没焦虑抑郁症吗,JS
d004161,临终前兆会不会心跳加快脉搏跳动很快全身热啊,QK
d004253,为什么一感冒就嗓子疼而且有痰吐不出来怎么回事,NK_HX
d004263,为什么上完厕所啦完事后一直一直的想拉又拉不出来呢,NK_XH
d004286,为什么会心脏衰竭中枢神经感染,NK_SJ
d004290,为什么会突然出现心口岔气的感觉,NK_XX
d004314,为什么吃了三天药嗓子越来越疼,EB
d004327,为什么听到大声就害怕发抖,JS
d004344,为什么大便不成形还粘马桶,NK_XH
d004381,为什么总是一个鼻子是堵的,EB
d004445,为什么有的寻麻疹不痒,PF
d004499,为什么绝经后宫颈偏硬？,FCK_FK
d004518,为什么脖子往后仰很舒服,WK_GK
d004615,主治医生和主任医生区别在哪,JY
d004649,乌斯玛草眉毛滋养液有效果吗,MR
d004664,乌洛托品溶液正确使用方法,PF
d004667,乌海市人民医院院长电话号码,JY
d004761,乙状结肠息肉冷切术,NK_XH
d004816,乙肝疫苗可以管几年,GR
d004845,乙肝表面抗体277.9意味着什么呢正常吗,GR
d004857,乙肝表面抗原>250.00是什么意思,GR
d004864,乙肝通过什么途径传染,GR
d004890,九价疫苗,FCK_FK
d004894,九价疫苗的作用与功效及副作用,FCK_FK
d004938,乳制品过敏最多能摄入多少乳类,NK_FS
d004956,乳头痒是怎么回事是什么原因,WK_PW
d004965,乳头边上长小疙瘩怎么回事,WK_PW
d004970,乳房上面有点痛是什么原因,WK_PW
d004984,乳房挤出液体怎么回事,WK_PW
d004987,乳房有时候疼一阵怎么回事,WK_PW
d005009,乳晕周围按起来酸疼,WK_PW
d005034,乳糖不耐受能喝豆浆吗？,NK_XH
d005089,乳腺术后积液怎么消除,WK_PW
d005130,"乳腺癌手术后后需要放疗,化疗,靶向治疗激素药,为什么要这么多的治疗,这算过度",ZL
d005149,乳腺癌潜伏期多长时间,ZL
d005209,乳腺肿瘤1cm严重吗,WK_PW
d005216,乳酸偏高,JC
d005256,二七精正中医诊所在郑州哪里?,JY
d005284,二妙丸的功效与作用,ZY
d005288,二尖瓣三尖瓣肺动脉瓣见微量反流束,NK_XX
d005378,二陈丸柴胡疏肝丸合用效果,ZY
d005447,五十多岁老太太突然流鼻血什么原因,EB
d005448,五十多岁能练普拉提大器械吗,YS
d005498,五岁小孩一说就哭怎么处理好,EK
d005555,五谷豆浆脂肪高吗,YS
d005602,交叉神经紊乱都有什么症状,NK_SJ
d005622,产前几天单边宫缩正常吗,FCK_CK
d005652,产后要喝生化汤吗,FCK_CK
d005695,"人一天晕乎乎的,浑身没劲,很疲惫,是怎么回事?",NK_SJ
d005710,人丹丸的功效与作用,ZY
d005749,人体大转子在哪个部位图片,WK_GK
d005770,人体的代谢废物有哪些?,YS
d005822,人参健脾汤加减气虚,ZY
d005827,人参养荣丸的功效与作用,ZY
d005841,人参枸杞雄精是治什么病的啊老板,YS
d005849,人参的功效和作用主治,ZY
d005896,人工荨麻诊的症状,PF
d005925,人民医院电话咨询24小时,JY
d005938,人流后 来过月经后子宫内膜厚怎么回事,FCK_FK
d005975,人流术qyo,FCK_FK
d006022,人经常吃黑芝麻好生的吃的好还是吃熟的好呢长期吃的话,YS
d006072,什么中药可以防螨虫感染,ZY
d006081,什么体质不能吃腰果,YS
d006220,什么病费钱,JY
d006345,他们只是咬木棍之后咬完就吐出来之后每次只会咬一点点之后精神和喂食也正常，这个需要干预吗？,FYL
d006351,他克莫司软膏可以治龟头炎吗,NANKE
d006361,他汀和盐酸氟桂利嗪甲钴胺一块吃吗,YP_GENERIC
d006367,他汀类降脂药最大的副作用是什么,NK_XX
d006414,仙人掌的功效与主治,ZY
d006467,以前很火的提升记忆力的药,YP_GENERIC
d006568,优质乳蛋白跟原生蛋白区别,YS
d006593,伟哥与什么药不能吃,NANKE
d006595,伟哥可以凉水服用吗,NANKE
d006685,但是我是视频。光放屁是怎么回事？,NK_XH
d006726,低头久了为什么会头晕浑身乏力,NK_SJ
d006730,低头时间长就头晕,NK_SJ
d006740,低密度胆固醇高能喝酸奶吗,NK_XX
d006760,低密度脂蛋白胆固醇高能吃水果吗,NK_XX
d006773,低烧多少度算低烧,QK
d006787,低血98对人体有影响吗?,QK
d006825,低血糖症状有哪些,NK_NF
d006855,住院饮食无法控制血糖,NK_NF
d006879,体外射精是什么意思,FCK_FK
d006909,体检报告窦性心动过缓是什么意思,NK_XX
d006911,体检时候Ca199值87，,ZL
d006932,体温36.7度正常吗,QK
d006965,体重指数,WFPD
d006972,"体重明显下降,食欲不振,都没有,都没有",NK_XH
d006974,体重秤内脏脂肪怎么测的,YS
d006999,佛山妇幼保健院地铁站,JY
d007071,例假干净了三四天又有深褐色的水流出来,FCK_FK
d007077,例假期间吃维生素c和b的好处,YS
d007081,例假来了五天了量很大正常吗,FCK_FK
d007131,依诺肝素钠注射功效与作用,NK_XX
d007165,便秘严重怎么调理 女性,NK_XH
d007186,便秘是什么原因引起的,NK_XH
d007193,便秘者应该不食或少食什么食品,NK_XH
d007200,便血停止后贫血多久能完全恢复,NK_XH
d007239,保和丸治疗脾胃湿热效果怎么样,ZY
d007300,修正消糜栓治疗什么妇科炎症,FCK_FK
d007368,做b超喝水后怎样来尿快,JC
d007412,做了胃肠镜息肉切除后如何饮食,NK_XH
d007422,做人流手术需要多少钱费用,JY
d007441,做增强CT多长时间出报告,JC
d007550,做时间长了脚腿麻木是什么原因引起的怎么治疗,WK_GK
d007598,"做的梦很乱很杂,",JS
d007612,做肠胃镜全麻多久能醒,NK_XH
d007636,做胃镜前可以吃西红柿吗,NK_XH
d007644,做胆囊b超多少钱,JY
d007728,健脑灵片的功能主治,JS
d007735,健脾丸配方组成,ZY
d007748,健身 心率97算正常么,YS
d007749,健身上瘾是不是好事,YS
d007767,健身碳水摄入量计算,YS
d007803,僵人综合征,NK_SJ
d007833,儿童做针管镜如何麻醉,EK
d007839,儿童切包皮手术几岁做最好,EK
d007850,儿童口腔溃疡可以吃鱼吗,EK
d007891,儿童拇外翻初期图片,EK
d007925,儿童睡着咳嗽厉害什么原因,EK
d007947,儿童腮腺炎怎么样会传染,EK
d007982,元刚凡雀多少钱一盒,YP_GENERIC
d008019,光伏下面做产车间对身体有危害吗,QK
d008064,克霉唑乳膏,PF
d008102,免疫系统有问题挂什么科,NK_FS
d008162,全子宫切除了可以补做前哨淋巴结清扫吗,FCK_FK
d008166,全明颗粒的功效和作用,YP_GENERIC
d008176,全蝎的功效作用与主治,ZY
d008184,全身体检挂什么科,QK
d008253,"八月12号来的月经,排卵期是多少号",FCK_FK
d008296,六位地黄丸作用功效,ZY
d008313,六周里胎心胎芽有多大,FCK_CK
d008390,兰索拉唑肠溶片饭前吃还是饭后吃,NK_XH
d008489,内分泌科属于什么科,JY
d008498,内庭穴位的准确位置,ZY
d008609,冠心病最怕什么刺激,NK_XX
d008620,冠状动脉和脑动脉粥样硬化吃什么药,NK_XX
d008640,冠脉ct和冠脉造影有什么区别,JC
d008789,凌晨闻到烟味怎么回事,EB
d008836,减肥期间吃馒头还是米饭容易胖,YS
d008915,凡士林的作用与用途有哪些,YP_GENERIC
d008927,凯莱英,WFPD
d008959,出现老年斑的原因,PF
d009054,刚割完包皮需要注意什么,WK_MN
d009064,刚吃饭能转呼啦圈吗,YS
d009132,"刨宫产引声带麻痹,3个月还没恢复",EB
d009160,利多卡因凝胶治疗早射使用办法,NANKE
d009168,利尿药不良反应有。,YP_GENERIC
d009218,别针孕妇什么时候带,FCK_CK
d009232,刮痧过后痒是什么原因,ZY
d009281,刺痛与钝痛的区别,QK
d009333,前列腺持续疼不缓解需要做b超吗,WK_MN
d009339,前列腺横泾正常值,WK_MN
d009390,前列腺穿刺后能喝热的红糖水吗,WK_MN
d009461,前襟打开特别大,FYL
d009469,剑河县妇幼保健院是几级医院,JY
d009487,剖腹产13天能吃驴肉吗,FCK_CK
d009538,副乳,WK_PW
d009745,包茎是什么样的症状图片,WK_MN
d009746,包菜的功效与作用,YS
d009764,"化疗后吃什么补营养最快卵巢癌化疗期间可以吃葱姜蒜,韭菜吗",ZL
d009765,化疗后四个月乳头痒痒,ZL
d009806,北五味子的功效与作用及用量是多少,ZY
d009848,"北京协和医院对糖尿病一行嗯,胰岛评估抗体检测是否权威。",JY
d009870,北京国春堂药店,JY
d009879,北京大学第六医院给青少年看心理问题怎么样,JY
d009896,北京市垂杨柳医院实习护士,FYL
d009908,北京永林中西医结合医院,JY
d009934,北京阜外医院邹玉宝大夫简介,JY
d010022,医生说插肺里的管子后，费用的平常每天的1倍，打个比方，一天要3000元的话，那就要6000,JY
d010026,医生说，𣎴得拆线，也没包石膏,WK_GK
d010044,医科大学附属医院昌吉分院,JY
d010047,医说说不用忌口尖锐湿疣是不是要忌口,PF_XB
d010066,医院几点上班,JY
d010162,十二指肠降段息肉体外位置,NK_XH
d010278,半个月的婴儿大便为绿色是怎么回事,EK
d010281,半夏,YP_GENERIC
d010316,半夜腰左侧里面疼,WK_MN
d010331,半月板不是软骨吗？为何氨糖没用,WK_GK
d010356,半月板韧带撕裂最佳治疗方法,WK_GK
d010358,半月查,WFPD
d010402,华西医院王丽春怎么样,JY
d010414,协和医院赵邦博,JY
d010450,单纯低密度脂蛋白偏高吃哪种降脂药,NK_XX
d010473,南京九价疫苗活动咨询电话是多少,JY
d010538,南瓜叶加大蒜子捣碎有,YS
d010566,南瓜籽油的功效与作用,YS
d010570,南瓜维山大米做成糊可以让婴儿长期吃吗,EK
d010707,卵巢早衰怎么治疗可以恢复卵巢功能,FCK_FK
d010741,厂里体检检查哪些项目？,JY
d010804,厥阴与少阳相表里,ZY
d010808,厦门大学第一附属医院,JY
d010863,去痛片的作用与功效,YP_GENERIC
d010950,双参黄芪固表颗粒的功效与作用,ZY
d011051,双流警官总医院是华西分院吗,JY
d011062,双相情感障碍,JS
d011080,双肺多发结节是什么意思严重吗,NK_HX
d011103,双腿抬高，张开，弯曲,WFPD
d011129,反复发烧喉咙疼是怎么回事,NK_HX
d011174,发烧了可以吃零食吗,NK_HX
d011427,口苦口臭吃什么药最好有效,NK_XH
d011433,口苦胃痛,NK_XH
d011435,口蘑的把能吃吗,YS
d011444,口香糖不小心咽下去怎么办,NK_XH
d011513,可定瑞舒伐他汀钙片的作用与功效,NK_XX
d011522,台湾什么糖尿病药一周吃一片是什么药,NK_NF
d011579,"右侧肘关节滑膜炎伴骨侵蚀,关节积液严重吗",WK_GK
d011619,右归丸的功效与作用和适用人群,ZY
d011717,右胸有刺痛感什么原因,NK_XX
d011739,右腿膝盖内侧像有一根筋扯着疼,WK_GK
d011759,右边耳朵背后疼怎么回事,EB
d011826,叶黄素滴眼液对眼睛有什么好处和作用,YK
d011875,吃上吗啡还能活多久乳腺癌骨转移,ZL
d011909,吃了一段时间治疗前列腺炎的药突然蛋子疼,NANKE
d011947,吃了变质食物想吐头晕恶心怎么办,JZ
d012006,吃了精神药发呆正常吗,JS
d012049,吃了避孕药月经最多推迟多久,FCK_FK
d012078,吃什么JJ才会变大,NANKE
d012095,吃什么可以提高新陈代谢,YS
d012146,吃什么食物补铁多,YS
d012196,吃南瓜烧心是怎么解决,NK_XH
d012232,吃地诺出血要查hcg吗,FCK_FK
d012250,吃多低烧会头疼吗,NK_HX
d012309,吃完火龙果尿尿都是粉色的,WK_MN
d012312,吃完盐酸多西环素多久可以躺下,YP_GENERIC
d012313,吃完盐酸拉贝洛尔能喝酒吗,NK_XX
d012354,吃完饭就胀气,NK_XH
d012361,吃完鸡蛋能吃弥猴桃吗,YS
d012374,吃布洛芬可以喝酒吗,YP_GENERIC
d012431,吃根香蕉就出汗正常吗,QK
d012437,吃桃子的好处和坏处,YS
d012453,吃氟康唑第二天能喝酒吗,YP_GENERIC
d012545,吃甲亢的药有哪些,NK_NF
d012600,吃红参对运动有好处吗,YS
d012610,吃维A酸片，体重会猛增吗,PF
d012618,吃维生素c尿液有泡沫吗?,NK_SN
d012628,吃羊肉胖吗,YS
d012636,吃胃药呢能做幽门螺杆菌检查吗,NK_XH
d012654,吃英太青后12小时能喝酒吗,YP_GENERIC
d012675,吃药用冷水会影响效果吗,YP_GENERIC
d012683,吃莲藕的好处是什么？,YS
d012723,吃谷维素发胖吗,YP_GENERIC
d012750,吃过饭喝冰水会怎么样,YS
d012760,吃避孕药后几天下面流血是月经吗,FCK_FK
d012797,"吃降尿酸药,以前痛的地方变软,是什么情况",NK_NF
d012805,吃雷贝多久后可以吃饭啊,NK_XH
d012855,吃鸡爪升血糖吗会升高吗,NK_NF
d012895,合肥明州康复医院地址在哪里,JY
d012949,同体1.620属于高吧,WFPD
d013073,后屁股缝里长痣代表什么,PF
d013081,后牙龈边有白斑且有溃疡软的是癌症吗,KQ
d013136,后脑勺疼是什么原因,NK_SJ
d013198,吡拉西坦片作用与功效,NK_SJ
d013316,呋塞米作用机制,YP_GENERIC
d013355,呼吸不畅感觉气堵塞就像憋气一样怎么办,NK_HX
d013377,呼吸道感染可以喝阿莫西林克拉维酸钾吗,NK_HX
d013425,咖啡多长时间了不在兴奋状态,YS
d013437,咨询一下我的手盖上面的那种亮光都没了有点像有条纹似的还有点像要爆皮那种感,PF
d013482,咳嗽厉害用阿奇还是红霉素好,NK_HX
d013494,咳嗽吃什么药,NK_HX
d013498,咳嗽咳出血是什么原因,NK_HX
d013520,咳嗽断断续续的老不好是怎么回事,NK_HX
d013525,咳嗽有清痰然后感觉咽喉有异物怎么回事早上睡醒会好很多,EB
d013584,咽喉发白,EB
d013615,咽炎会引起eb病毒iga偏高吗,EB
d013627,咽腭弓部位长息肉图片,EB
d013731,哪种维生素缺乏会导致脚气病,NK_NF
d013777,哺乳期胆囊炎可以吃火龙果吗,NK_XH
d013786,唇炎怎么治疗最好最快最有效,KQ
d013839,商落中心医院,JY
d013889,喉咙,WFPD
d013903,"喉咙吞口水有梗阻感,头疼,发冷",EB
d013912,喉咙很多痰是什么原因引起的,EB
d013942,喉咙痒跟支气管炎有关系没有,NK_HX
d013963,喉咙痰中带血是什么原因,NK_HX
d013967,喉咙老是感觉,WFPD
d013981,喉炎可以用罗汉果泡水喝吗,EB
d013986,喉癌的早期症状,ZL
d013994,喘气困难胸闷头晕有生命危险吗,NK_XX
d014020,喝中药忌口哪些食物,ZY
d014113,喝啤酒3小时候我吃了头孢地尼,YP_GENERIC
d014193,喝浓茶有什么坏处,YS
d014210,喝白米粥有什么好处和坏处,YS
d014281,喝酒了多久才能哺乳,FCK_CK
d014354,嗓子发炎吃巧克力蛋糕会加重吗,EB
d014363,嗓子哑了怎么办怎样快速恢复,EB
d014371,嗓子干痒老是咳嗽是什么原因吃什么药,EB
d014379,嗓子有异物感堵得慌是甲状腺结节吗,WK_PW
d014436,嗜酸性粒细胞百分,JC
d014574,嘴角烂嘴是什么原因导致的,KQ
d014588,噎住了什么意思,FYL
d014701,四川省第二中医医院怎么变成第一中医医院了,JY
d014767,四逆汤的组成配方,ZY
d014796,围绝经期会缺钙吗,FCK_FK
d014833,国际标准比值INR,JC
d014834,国际树兰医院,JY
d014875,土豆肾功能不全的人能吃吗,NK_SN
d014920,在实践中低密度脂蛋白胆固醇在哪个范围值最好,NK_XX
d014963,地他西尼胶囊睡前多久吃,JS
d014983,地奥司明片,YP_GENERIC
d015057,地锦草的药用价值有哪些,ZY
d015155,垂盆草的功效与作用,ZY
d015187,基孔雅热关节痛怎么缓解,GR
d015210,塞了定君生可以同房吗,FCK_FK
d015338,复合维生素b片和维生素b族片一样吗,YP_GENERIC
d015467,复方阿胶浆和d3钙片一起吃,YP_GENERIC
d015476,复方鸡内金片的功效与作用,ZY
d015482,复方黄连素片和盐酸小檗碱,YP_GENERIC
d015490,复旦大学附属中山医院,JY
d015493,复旦大学附属肿瘤医院,JY
d015565,夏天用暖宝宝敷膝盖好不好,YS
d015626,夏草的功效与主治功能,ZY
d015627,夏谷草泡水喝的作用与功效是什么,ZY
d015663,外阴上火用甲硝唑冲洗可以吗,FCK_FK
d015698,外面阴白斑图片大全,FCK_FK
d015809,多看手机会引起流眼泪吗?,YK
d015838,多西环素治疗前列腺炎吗?,NANKE
d015869,夜盲症是什么原因引起的哪些水果含有维生素A,YK
d015912,大便不成形像烂泥一样怎么回事,NK_XH
d016004,大元可汗膝盖贴有效果吗,YP_GENERIC
d016006,大兴协和妇幼医院怎么样,JY
d016032,"大姨妈一直提前是怎么回事?是不是压力大导致的,怎么调理比较好?",FCK_FK
d016038,大姨妈前几天同房会怀孕么,FCK_FK
d016069,大姨妈迟迟下不来只有一点点褐色,FCK_FK
d016074,大小便腿无力气是没有,NK_SJ
d016096,大拇脚趾麻木是啥原因,NK_SJ
d016114,大水牌维生素d2软胶囊,YP_GENERIC
d016117,大活络丸的功效,ZY
d016240,大腿软组织骨巨细胞瘤有几个肿块需要截肢吗,ZL
d016264,大血小板比率高,JC
d016275,大象体内有几个Tp53基因细胞,FYL
d016320,大黄的功效作用与主治,ZY
d016334,天医门导引术的真相,YS
d016357,天天泡脚对下肢水肿有好处吗,YS
d016359,天宗穴主要是什么作用,ZY
d016374,天气不热但孩子翻来复去的总感觉热睡不着这是什么火,EK
d016379,天气热不吹风扇自动冒汗好吗,YS
d016394,天津中医药大学第一附属医院骨伤科在几楼,JY
d016421,天津环湖医院主治什么病,JY
d016513,天麻素片的功效与作用,NK_SJ
d016582,太阳穴胀痛什么原因,NK_SJ
d016621,失眠治好成功案例,NK_SJ
d016695,头发白了要吃什么维生素,YS
d016736,头孢克肟可以治疗尿道感染吗,WK_MN
d016754,头孢克肟颗粒,YP_GENERIC
d016767,头孢和酒精会凝血吗,YP_GENERIC
d016893,头疼的厉害感觉快炸了吃什么药,NK_SJ
d016899,头痛,NK_SJ
d016943,头皮痒是干燥引起的吗,PF
d016969,头部受过猛烈撞击 后序多年偶发呕吐,WK_SJ
d017031,奥司他韦颗粒小儿用法用量,EK
d017034,奥州深海鱼油都有什么功效,YS
d017099,"女,46岁,突然血压偏高,并且低压达九十多,没有家族史",NK_XX
d017108,女人38岁还能生孩子吗？,FCK_SZ
d017178,女人左乳房上方疼图片,WK_PW
d017231,女人腋下长副乳的危害,WK_PW
d017258,女儿痨,FCK_FK
d017299,女孩子乳头疼是怎么回事一碰就疼,WK_PW
d017324,女性55岁低密度胆固醇4.88严重吗,NK_XX
d017336,女性三角毛毛区长了块白斑,PF
d017413,女性尿尿第一下是白色的,WK_MN
d017414,女性尿有灼热感是怎么回事,WK_MN
d017423,女性屁股抓挠有泥状物,PF
d017496,女性绝经更年期盗汗能献血吗,JY
d017524,女性自我安愈步骤有哪些,FCK_FK
d017611,女生睡梦中感觉下面有收缩,FCK_FK
d017647,女贞子的功效,ZY
d017692,如何东西吃多了会不会长结节呢,YS
d017707,如何判断牙疼是上火,KQ
d017717,如何判断自己是否来月经,FCK_FK
d017744,如何治疗大腿前侧神经痛,NK_SJ
d017748,如何用当归黄芪党参调理气血？,ZY
d017817,如果有长过青春痘那那个人长痘概率会有多少,PF
d017928,妊娠纹,FCK_CK
d017999,姨妈推迟两天下面有褐色的血,FCK_FK
d018011,姨妈来的第一天肚子痛怎么办,FCK_FK
d018088,婴儿洗澡耳朵进水轻轻拍二下有事吗,EK
d018123,嫉妒密度脂蛋白高怎么回事,NK_NF
d018125,子官壁增厚是什么原因月经好多年前没有来了,FCK_FK
d018153,子宫内膜厚是什么原因造成的,FCK_FK
d018173,子宫内膜息肉怎么回事,FCK_FK
d018180,子宫内膜有创伤怎么办,FCK_FK
d018187,子宫内膜脱落的血块干了能送去检验吗,JC
d018193,子宫内长了小颗粒医生说要手术严重吗,FCK_FK
d018197,子宫切除36天还出淡红色的,FCK_FK
d018201,子宫切除四个月可以看十一个月宝宝吗,FCK_FK
d018233,"子宫息肉是什么造成的,该怎样治疗呢",FCK_FK
d018277,子宫肌瘤的症状有哪些表现,FCK_FK
d018285,子宫脱垂的症状和表现,FCK_FK
d018293,子宫腺肌症目前最好的治疗方法,FCK_FK
d018315,孕10周➕为什么上小便肚子都感觉疼呢?,FCK_CK
d018340,孕4个月是几周到几周,FCK_CK
d018389,孕妇上小便肛门有鲜血正常吗,FCK_CK
d018441,孕妇尿酸胆汁高怎么办,FCK_CK
d018453,孕妇湿疹是因为体内湿热吗,FCK_CK
d018462,孕妇缺铁怎么补最快？,FCK_CK
d018517,孕晚期咳嗽嗓子疼怎么办,FCK_CK
d018522,孕晚期心率150正常吗,FCK_CK
d018646,孩子发烧后身上出现小红点,EK
d018647,孩子发烧怎么快速退烧,EK
d018673,孩子头痛频繁发作，需要做哪些检查,EK
d018676,孩子尿液尿渍发黄,EK
d018699,孩子抑郁认为心理治疗没用不肯治,EK
d018732,孩子留黄鼻涕咳嗽是什么原因,EK
d018893,安神颗粒饭前吃还是饭后吃,NK_SJ
d018956,宝坻区中医院是三甲医院还是二甲医院,JY
d018982,宝宝又咳嗽又发烧专门吃药可以吗,EK
d019049,宝宝生化了是怎么回事,FCK_FK
d019151,宫外孕的症状有哪些表现,FCK_FK
d019272,宫颈癌手术后小腹一直坠胀怎么回事,ZL
d019281,宫颈癌术后可以用腹围带吗,ZL
d019302,宫颈糜烂3度图片,FCK_FK
d019344,家里的小蜘蛛有毒吗,FYL
d019399,富马酸替诺福韦二吡呋酯片,WFPD
d019436,对乙酰氨基酚片是什么药,YP_GENERIC
d019464,寻常疣用什么药擦,PF
d019526,小便WBC一JJ50一55个,WK_MN
d019534,小便变黄要警惕四种病,WK_MN
d019537,小便大便都有血怎么回事,NK_XH
d019640,小孩5岁需要打破伤风吗,EK
d019647,小孩一点咳嗽用吃药吗,EK
d019667,小孩儿低头看手机驼背,EK
d019673,小孩几岁开始换哪些牙齿,EK
d019677,小孩刚生第一天为啥不睁眼睛,EK
d019693,小孩发烧了9天了吃阿奇霉素要吃几天,EK
d019764,小孩子咳嗽检查什么,EK
d019802,小孩感冒发烧了在家观察会不会太受罪,EK
d019819,小孩打针的图片 输液,FYL
d019827,"小孩摔伤了,有点淤血,现在发烧",EK
d019853,小孩物理降温的正确方法,EK
d019878,小孩突然脚痒又疼,EK
d019913,小孩跑步脚痛怎么跟老师说,FYL
d019944,小度小度。早上吃优甲乐3个小时可以吃红薯吗,NK_NF
d019962,小指骨头隐约疼怎么回事,WK_GK
d019995,小朋友怎么区分风寒风热感冒,ZY
d020081,小肚子按着硬硬的,NK_XH
d020084,小肚子称痛吃什么药,NK_XH
d020144,小腿中间某段发硬,WK_PW
d020222,小西绿手术,WFPD
d020235,小阴唇红肿痒吃甲硝唑片可以消肿吗,FCK_FK
d020295,少量气泡进入血管,JZ
d020302,尖锐湿疣,PF_XB
d020328,就去五天了,WFPD
d020428,尿意敏感度很强是咋回事,WK_MN
d020469,尿毒症正常值是多少,NK_SN
