key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,助手语音1k_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
INVESTMENT_DECISION_ADVICE__1,INVESTMENT_DECISION_ADVICE__1,,421,1.836,33,0.33,0.235,0.463,0.193,37,0.37,0.269,0.51,0.171,44,4.632,3.468,6.161,1.724,240,24.316,21.743,27.089,24.266,67,6.7,5.31,8.421,6.7,0.91,0.1798,0.0454,1.02,0.2016,0.0509,12.74,2.5231,0.6371,66.9,13.2462,3.3449,18.43,3.6498,0.9217,5,,,助手随机1k,2025搜索,23.986,73.67,36,28,5,1,6,A股个股推荐与走势预测,54.4,2026年交强险最低保费是多少 / 天原股份未来有上涨空间吗 / 震裕转02上市首日能赚多少
STOCK_FORUM_VISIT__4,STOCK_FORUM_VISIT__4,,389,1.696,159,1.59,1.363,1.855,0.563,230,2.3,2.024,2.613,0.99,0,0.0,0.0,0.403,0.0,0,0.0,0.0,0.388,0.0,0,0.0,0.0,0.383,0.0,40.88,0.9376,2.0438,59.12,1.3561,2.9562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,助手头部1k / 助手随机1k / 助手语音1k,,2026搜索,助手头部1k,2.3,inf,12,9,36,36,39,股票股吧查询,98.2,tcl科技股吧 / 中天科技股吧 / 深科技股吧
ACCOUNT_OPERATION_HOWTO__1,ACCOUNT_OPERATION_HOWTO__1,,357,1.557,121,1.21,1.014,1.444,0.454,52,0.52,0.397,0.681,0.187,23,2.421,1.619,3.607,1.866,59,5.978,4.662,7.634,5.095,102,10.2,8.474,12.231,10.2,5.95,0.7775,0.2977,2.56,0.3341,0.1279,11.91,1.5553,0.5955,29.4,3.8401,1.4702,50.17,6.5526,2.5087,5,,,助手语音1k,2026搜索,9.68,19.61,16,25,8,3,3,银行卡业务办理与异常处理,22.1,工商银行95588短信提醒怎么开通 / 农商银行解散了钱没到期怎么办 / 农商银行破产贷款怎么办
STOCK_FORUM_VISIT__5,STOCK_FORUM_VISIT__5,,297,1.295,111,1.11,0.923,1.335,0.449,186,1.86,1.613,2.144,0.749,0,0.0,0.0,0.403,0.0,0,0.0,0.0,0.388,0.0,0,0.0,0.0,0.383,0.0,37.38,0.8573,1.8688,62.62,1.4364,3.1312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,助手头部1k / 助手随机1k / 助手语音1k,,2026搜索,助手头部1k,1.86,inf,19,10,36,36,39,股票股吧查询,73.4,阳光电源股吧 / 信通电子股吧 / 华润新能源股吧
OFFICIAL_CHANNEL_LOOKUP__4,OFFICIAL_CHANNEL_LOOKUP__4,,291,1.269,136,1.36,1.151,1.607,1.265,66,0.66,0.519,0.839,0.374,5,0.526,0.225,1.226,0.246,26,2.634,1.804,3.832,2.332,58,5.8,4.513,7.425,5.8,12.39,1.072,0.6194,6.01,0.5202,0.3006,4.79,0.4148,0.2397,23.99,2.0761,1.1995,52.82,4.571,2.6409,5,,,助手语音1k,助手头部1k,5.274,11.02,13,18,23,11,7,查询银行及业务信息,41.6,生源地助学贷款指定账户 / 国家企业信息信用信息系统 / 建设银行
OFFICIAL_CHANNEL_LOOKUP__5,OFFICIAL_CHANNEL_LOOKUP__5,,273,1.19,171,1.71,1.474,1.984,1.025,76,0.76,0.608,0.95,0.307,16,1.684,1.039,2.718,2.319,7,0.709,0.344,1.457,0.691,3,0.3,0.102,0.878,0.3,33.12,1.4368,1.6561,14.72,0.6385,0.736,32.62,1.4149,1.6308,13.73,0.5958,0.6867,5.81,0.252,0.2905,5,,,2025搜索,助手语音1k,1.41,5.7,11,15,11,22,30,金融类App下载,71.4,指南针炒股软件手机版官方下载 / 通达信app手机版下载 / 金融中国app官方正版下载
PHONE_NUMBER_IDENTIFICATION__1,PHONE_NUMBER_IDENTIFICATION__1,,244,1.064,121,1.21,1.014,1.444,1.064,109,1.09,0.905,1.313,0.489,8,0.842,0.427,1.653,0.656,2,0.203,0.056,0.736,0.173,4,0.4,0.156,1.024,0.4,32.32,1.1375,1.6158,29.11,1.0246,1.4554,22.49,0.7915,1.1243,5.41,0.1905,0.2705,10.68,0.376,0.534,5,,,2025搜索,助手随机1k,1.008,5.97,16,13,18,28,27,电话号码归属与用途查询,68.0,95588可以协商还本金吗 / 95566来电不接没事吧 / 95126一般打过来干嘛的
DAILY_QUIZ_ANSWER__1,DAILY_QUIZ_ANSWER__1,,214,0.933,114,1.14,0.95,1.368,1.202,53,0.53,0.405,0.693,0.502,33,3.474,2.484,4.838,1.859,2,0.203,0.056,0.736,0.173,12,1.2,0.688,2.086,1.2,17.42,1.222,0.8709,8.1,0.568,0.4048,53.06,3.7227,2.653,3.1,0.2172,0.1548,18.33,1.286,0.9165,5,,,助手头部1k,助手随机1k,3.271,17.14,18,24,6,28,20,蚂蚁庄园今日答案查询,99.1,蚂蚁庄园今日答案 / 蚂蚁庄园今日答案 / 蚂蚁庄园今日答案
MARKET_NEWS_EVENT__1,MARKET_NEWS_EVENT__1,,208,0.907,66,0.66,0.519,0.839,0.374,54,0.54,0.414,0.704,0.296,6,0.632,0.29,1.371,0.42,56,5.674,4.395,7.296,5.44,26,2.6,1.78,3.782,2.6,6.53,0.7279,0.3266,5.34,0.5955,0.2672,6.25,0.6964,0.3125,56.15,6.2559,2.8073,25.73,2.8667,1.2864,5,,,助手随机1k,2026搜索,5.134,10.51,27,23,21,5,13,A股个股推荐与走势预测,22.6,重组期间股票还能正常交易吗 / 房地产信贷迎来重磅新政策 / 京投发展重组
FINANCE_TERM_EXPLANATION__1,FINANCE_TERM_EXPLANATION__1,,206,0.898,73,0.73,0.581,0.917,0.319,70,0.7,0.555,0.883,0.265,1,0.105,0.019,0.594,0.028,32,3.242,2.306,4.541,2.763,30,3.0,2.109,4.25,3.0,9.39,0.8129,0.4694,9.0,0.7794,0.4501,1.35,0.1172,0.0677,41.69,3.6095,2.0843,38.57,3.3399,1.9286,5,,,助手随机1k,助手头部1k,3.137,30.8,24,17,33,8,11,术语含义查询,25.7,周线怎么看周线 / 一家券商收取万分之一的佣金 / A股当中的华大智造是做什么的是AI应用吗
OFFICIAL_CHANNEL_LOOKUP__1,OFFICIAL_CHANNEL_LOOKUP__1,,198,0.863,122,1.22,1.023,1.455,1.16,57,0.57,0.44,0.738,0.366,10,1.053,0.573,1.927,2.657,4,0.405,0.158,1.037,0.518,5,0.5,0.214,1.165,0.5,32.56,1.4134,1.6278,15.21,0.6603,0.7604,28.08,1.2192,1.4042,10.81,0.4694,0.5406,13.34,0.5791,0.667,5,,,2025搜索,助手随机1k,0.815,3.01,15,21,16,25,23,车险保险公司电话查询,48.5,买保险留电话入口 / 中国平安雇主责任险 / 中国人寿雇主责任险
PLATFORM_LEGITIMACY_CHECK__2,PLATFORM_LEGITIMACY_CHECK__2,,191,0.833,127,1.27,1.069,1.509,0.631,41,0.41,0.302,0.556,0.118,7,0.737,0.357,1.513,0.528,13,1.317,0.771,2.24,1.813,3,0.3,0.102,0.878,0.3,31.49,1.5252,1.5743,10.16,0.4923,0.5082,18.26,0.8848,0.9132,32.65,1.5815,1.6324,7.44,0.3602,0.3718,5,,,助手随机1k,助手语音1k,1.017,4.39,14,26,19,19,30,借款平台正规性查询,58.6,安盛天平车险有哪些缺点 / 期货哪个平台最正规 / 易享花是什么平台的
ACCOUNT_INCIDENT_RESOLUTION__1,ACCOUNT_INCIDENT_RESOLUTION__1,,184,0.802,37,0.37,0.269,0.51,0.165,22,0.22,0.145,0.333,0.061,58,6.105,4.752,7.812,9.387,30,3.04,2.137,4.306,2.591,37,3.7,2.696,5.058,3.7,2.75,0.4613,0.1377,1.64,0.2742,0.0819,45.44,7.6097,2.2722,22.62,3.7885,1.1312,27.54,4.6117,1.377,5,,,助手头部1k,2026搜索,5.885,27.75,35,35,4,9,8,银行卡业务办理与异常处理,18.5,农业银行账户余额200可用余额0是什么 / 易宝支付北海云华扣29.9 / 工商银行9920只收不付
CREDIT_PRODUCT_RULE_CHECK__1,CREDIT_PRODUCT_RULE_CHECK__1,,182,0.794,65,0.65,0.51,0.828,0.248,16,0.16,0.099,0.26,0.041,10,1.053,0.573,1.927,0.627,55,5.572,4.306,7.183,5.268,36,3.6,2.612,4.944,3.6,5.89,0.8192,0.2946,1.45,0.2016,0.0725,9.54,1.3264,0.4769,50.5,7.0219,2.5248,32.62,4.5364,1.6311,5,,,助手随机1k,2026搜索,5.412,34.82,28,38,16,6,9,查询资金产品安全性及存取借贷规则,23.6,这种是不是分期不能用了 / 工商银行动不动就信使费支出 / 招贷分多少可以申请闪电贷
CHART_LOOKUP__2,CHART_LOOKUP__2,,174,0.759,59,0.59,0.458,0.76,0.505,97,0.97,0.796,1.182,0.958,15,1.579,0.959,2.589,0.873,1,0.101,0.018,0.572,0.086,2,0.2,0.055,0.726,0.2,17.15,0.7778,0.8576,28.2,1.2786,1.4098,45.89,2.0811,2.2947,2.94,0.1335,0.1472,5.81,0.2636,0.2907,5,,,助手头部1k,助手随机1k,1.478,15.58,29,14,13,31,33,查询金融品种价格走势图,83.3,黄金价格走势图 / 黄金价格走势图 / 8月份二六年8月份黄金的走势
OFFICIAL_CHANNEL_LOOKUP__3,OFFICIAL_CHANNEL_LOOKUP__3,,173,0.754,88,0.88,0.715,1.083,2.217,73,0.73,0.581,0.917,1.686,11,1.158,0.648,2.061,1.359,1,0.101,0.018,0.572,0.086,0,0.0,0.0,0.383,0.0,30.67,1.1668,1.5337,25.44,0.9678,1.2721,40.35,1.535,2.0176,3.53,0.1343,0.1765,0.0,0.0,0.0,4,助手语音1k,,助手头部1k,助手语音1k,1.158,inf,21,16,15,31,39,东方财富官方入口查询,57.8,东方财富网 / 东方财富网 / 广发证券官网
INVESTMENT_DECISION_ADVICE__3,INVESTMENT_DECISION_ADVICE__3,,165,0.719,47,0.47,0.354,0.625,0.279,65,0.65,0.51,0.828,0.26,18,1.895,1.202,2.975,1.068,20,2.026,1.316,3.109,3.282,15,1.5,0.911,2.46,1.5,7.19,0.6534,0.3593,9.94,0.9036,0.4969,28.97,2.6336,1.4483,30.98,2.8165,1.5489,22.93,2.0849,1.1466,5,,,助手随机1k,2025搜索,1.556,4.31,33,19,9,14,19,查询概念板块龙头股,74.5,券商最好的10只股 / 这些股票中哪只最有潜力 / 4.86元半导体股中哪个最有潜力
ACCOUNT_OPERATION_HOWTO__2,ACCOUNT_OPERATION_HOWTO__2,,162,0.706,87,0.87,0.706,1.072,0.383,31,0.31,0.219,0.44,0.08,1,0.105,0.019,0.594,0.077,10,1.013,0.551,1.855,2.245,33,3.3,2.359,4.598,3.3,15.54,1.2319,0.7771,5.54,0.4389,0.2769,1.88,0.149,0.094,18.1,1.4343,0.9048,58.94,4.6717,2.9471,5,,,助手语音1k,助手头部1k,3.195,31.35,22,29,33,20,10,电子支付工具使用查询,59.9,免密支付怎么关 / 怎样取消免密支付功能 / 美团中订单关闭是不是没有支付嗯或者是已经支付然后
FINANCE_TERM_EXPLANATION__3,FINANCE_TERM_EXPLANATION__3,,160,0.698,95,0.95,0.778,1.16,0.469,23,0.23,0.153,0.345,0.111,4,0.421,0.164,1.078,0.224,15,1.52,0.923,2.492,1.295,23,2.3,1.537,3.428,2.3,17.53,1.362,0.8764,4.24,0.3297,0.2122,7.77,0.6035,0.3884,28.03,2.1784,1.4017,42.43,3.2968,2.1214,5,,,助手语音1k,2026搜索,2.07,10.0,20,33,26,18,14,银行卡业务办理与异常处理,22.5,芝麻分芝麻信用 / 招商银行属于什么银行 / 亲属卡有没有限额
AMOUNT_CALCULATION__2,AMOUNT_CALCULATION__2,,160,0.698,72,0.72,0.572,0.906,0.604,27,0.27,0.186,0.393,0.143,4,0.421,0.164,1.078,0.513,29,2.938,2.053,4.188,3.109,28,2.8,1.944,4.017,2.8,10.07,1.0322,0.5036,3.78,0.387,0.1888,5.89,0.6035,0.2945,41.1,4.2115,2.0548,39.16,4.0134,1.9582,5,,,助手随机1k,2026搜索,2.668,10.88,25,31,26,10,12,银行存贷款利率与利息查询,57.5,2026贷款利息表 / 房贷计算器 / 房贷计算器
FINANCE_TERM_EXPLANATION__4,FINANCE_TERM_EXPLANATION__4,,146,0.637,77,0.77,0.617,0.961,0.413,23,0.23,0.153,0.345,0.073,5,0.526,0.225,1.226,0.193,22,2.229,1.477,3.352,2.159,19,1.9,1.22,2.948,1.9,13.62,1.2098,0.6809,4.07,0.3613,0.2034,9.31,0.8267,0.4653,39.41,3.5013,1.9706,33.6,2.9846,1.6798,5,,,助手随机1k,2026搜索,1.999,9.69,23,33,23,13,17,金融术语与行情原因查询,31.5,云闪付是什么？ / 委比和量比哪个更准确 / 比特币怎么持有
FINANCE_TERM_EXPLANATION__2,FINANCE_TERM_EXPLANATION__2,,114,0.497,56,0.56,0.432,0.727,0.257,17,0.17,0.106,0.272,0.056,5,0.526,0.225,1.226,1.05,16,1.621,1.0,2.617,1.641,20,2.0,1.298,3.069,2.0,11.48,1.1268,0.5742,3.49,0.342,0.1743,10.79,1.0588,0.5395,33.24,3.2612,1.6618,41.0,4.0235,2.0502,5,,,助手语音1k,2026搜索,1.83,11.76,30,37,23,15,15,查询车险险种与保费理赔范围,69.3,平安保险雇主责任险 / 商业养老保险 / 车辆保险有几种
STOCK_FORUM_VISIT__1,STOCK_FORUM_VISIT__1,,111,0.484,53,0.53,0.406,0.693,0.203,55,0.55,0.423,0.715,0.153,0,0.0,0.0,0.403,0.0,0,0.0,0.0,0.388,0.0,3,0.3,0.102,0.878,0.3,38.41,1.0953,1.9204,39.85,1.1365,1.9927,0.0,0.0,0.0,0.0,0.0,0.0,21.74,0.6198,1.0868,3,助手头部1k / 助手随机1k,,2026搜索,助手头部1k,0.55,inf,31,22,36,36,30,股票股吧查询,99.1,药明康德股吧里怎么评论 / 海特生物股吧 / 联环药业股吧
PLATFORM_LEGITIMACY_CHECK__1,PLATFORM_LEGITIMACY_CHECK__1,,110,0.48,68,0.68,0.537,0.861,0.561,24,0.24,0.161,0.357,0.137,16,1.684,1.039,2.718,1.757,1,0.101,0.018,0.572,0.086,1,0.1,0.018,0.564,0.1,24.24,1.418,1.2121,8.55,0.5004,0.4277,60.03,3.5114,3.0014,3.61,0.2112,0.1806,3.56,0.2085,0.1782,5,,,助手头部1k,助手语音1k,1.584,16.84,26,32,11,31,37,财经网站查询,17.3,元保保险 / 币安 / 金葵花IC卡跟金葵卡
CHART_LOOKUP__3,CHART_LOOKUP__3,,102,0.445,31,0.31,0.219,0.44,0.177,58,0.58,0.449,0.749,0.26,6,0.632,0.29,1.371,0.253,5,0.507,0.217,1.18,0.604,2,0.2,0.055,0.726,0.2,13.91,0.6972,0.6957,26.03,1.3042,1.3016,28.34,1.4201,1.4172,22.73,1.139,1.1367,8.98,0.4497,0.4488,5,,,助手头部1k,助手语音1k,0.432,3.16,37,20,21,23,33,国际原油价格行情查询,32.4,海正药业的股价走势如何 / 分析大盘走势 / 汇绿生态的走势
FINANCE_TERM_EXPLANATION__5,FINANCE_TERM_EXPLANATION__5,,99,0.432,53,0.53,0.406,0.693,0.27,21,0.21,0.137,0.321,0.067,0,0.0,0.0,0.403,0.0,8,0.811,0.411,1.591,0.691,17,1.7,1.064,2.706,1.7,16.31,1.228,0.8154,6.46,0.4865,0.323,0.0,0.0,0.0,24.93,1.8777,1.2467,52.3,3.9382,2.6149,4,助手头部1k,,助手语音1k,助手头部1k,1.7,inf,31,36,36,21,18,银行存贷款利率与利息查询,72.7,企业贷款抵押个人财产利息是多少 / 支付宝怎么测利息 / 银行36个月存单法是什什么回事
PRODUCT_COMPARISON__1,PRODUCT_COMPARISON__1,,94,0.41,20,0.2,0.13,0.309,0.113,8,0.08,0.041,0.158,0.025,18,1.895,1.202,2.975,1.561,38,3.85,2.818,5.24,4.231,10,1.0,0.544,1.831,1.0,2.85,0.4881,0.1424,1.14,0.1952,0.0569,26.97,4.6228,1.3486,54.81,9.3933,2.7403,14.24,2.4398,0.7118,5,,,助手随机1k,2026搜索,3.77,48.12,39,39,9,7,21,银行存贷款利率与利息查询,35.1,国债逆回购哪个品种收益最高 / 等额本息和等额本金哪个划算 / 100万存银行一年，哪个银行最划算
SCHEDULE_AND_MARKET_STATUS_LOOKUP__1,SCHEDULE_AND_MARKET_STATUS_LOOKUP__1,,93,0.406,41,0.41,0.302,0.556,0.462,39,0.39,0.285,0.533,0.231,4,0.421,0.164,1.078,0.214,4,0.405,0.158,1.037,0.518,5,0.5,0.214,1.165,0.5,19.28,1.0113,0.9642,18.34,0.9618,0.9171,19.8,1.0383,0.99,19.06,0.9994,0.9529,23.51,1.233,1.1757,5,,,助手语音1k,2026搜索,0.11,1.28,34,27,26,25,23,港股休市查询,59.1,港股通交易时间 / 港股今日休市吗 / 8月1号美股交易是低开高走了吗
INVESTMENT_DECISION_ADVICE__2,INVESTMENT_DECISION_ADVICE__2,,62,0.27,5,0.05,0.021,0.117,0.017,8,0.08,0.041,0.158,0.024,25,2.632,1.789,3.856,1.231,16,1.621,1.0,2.617,1.554,8,0.8,0.406,1.571,0.8,0.96,0.185,0.0482,1.54,0.296,0.0772,50.78,9.7343,2.5388,31.28,5.9964,1.5639,15.44,2.9592,0.7718,5,,,助手头部1k,2025搜索,2.582,52.62,41,39,7,15,22,黄金价格及黄金股票行情查询,25.8,2026年银价预测是多少 / 我认为黄金还会回调到4100美元附近 / 金价还会继续下跌吗
CHART_LOOKUP__1,CHART_LOOKUP__1,,62,0.27,26,0.26,0.178,0.381,0.114,31,0.31,0.219,0.44,0.141,3,0.316,0.107,0.924,0.106,0,0.0,0.0,0.388,0.0,2,0.2,0.055,0.726,0.2,23.95,0.9619,1.1974,28.55,1.1468,1.4276,29.08,1.1681,1.4541,0.0,0.0,0.0,18.42,0.7398,0.9209,4,助手随机1k,,助手头部1k,助手随机1k,0.316,inf,38,29,30,36,33,汇率换算查询,54.8,2003年日元涨势 / 美元兑人民币走势 / 比特币最新价格走势
BORROWING_CHANNEL_SEEK__1,BORROWING_CHANNEL_SEEK__1,,30,0.131,18,0.18,0.114,0.284,0.096,6,0.06,0.028,0.131,0.055,1,0.105,0.019,0.594,0.031,1,0.101,0.018,0.572,0.173,4,0.4,0.156,1.024,0.4,21.27,1.3763,1.0633,7.09,0.4587,0.3544,12.43,0.8047,0.6217,11.97,0.7745,0.5984,47.25,3.0579,2.3623,5,,,助手语音1k,2026搜索,0.34,6.67,40,41,33,31,27,借款平台正规性查询,46.7,借款5000元马上放款微信 / 借款5000元马上放款微信 / 借款5000元马上放款微信
