key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音1k_n,助手语音1k_置信度均值,助手语音1k_意图歧义%,助手语音1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
FINANCE_TERM_EXPLANATION__1,FINANCE_TERM_EXPLANATION__1,206,73,0.7947,1.37,10.96,70,0.7778,1.43,7.14,1,0.9974,0.0,0.0,32,0.6264,3.12,15.62,30,0.6571,3.33,10.0,助手随机1k,0.1683,0.7437
ACCOUNT_OPERATION_HOWTO__2,ACCOUNT_OPERATION_HOWTO__2,162,87,0.8001,1.15,8.05,31,0.8114,3.23,12.9,1,0.6372,0.0,0.0,10,0.7267,0.0,10.0,33,0.7252,0.0,9.09,助手语音1k,0.0862,0.7815
CHART_LOOKUP__1,CHART_LOOKUP__1,62,26,0.7915,0.0,19.23,31,0.8134,0.0,16.13,3,0.7691,0.0,33.33,0,,,,2,0.7125,0.0,0.0,2025搜索,0.0219,0.7988
OTHER_OR_NOISE__2,OTHER_OR_NOISE__2,754,366,0.8159,1.09,7.1,378,0.8119,0.79,4.5,2,0.7013,0.0,0.0,3,0.3534,0.0,0.0,5,0.7397,0.0,20.0,2026搜索,0.004,0.8112
OFFICIAL_CHANNEL_LOOKUP__1,OFFICIAL_CHANNEL_LOOKUP__1,198,122,0.8189,0.0,4.1,57,0.8308,0.0,3.51,10,0.6737,0.0,10.0,4,0.6671,0.0,25.0,5,0.9243,0.0,20.0,2025搜索,0.0119,0.8146
CHART_LOOKUP__3,CHART_LOOKUP__3,102,31,0.8649,0.0,3.23,58,0.8823,1.72,3.45,6,0.6864,0.0,0.0,5,0.5013,0.0,20.0,2,0.5231,0.0,50.0,2025搜索,0.0174,0.8398
OFFICIAL_CHANNEL_LOOKUP__3,OFFICIAL_CHANNEL_LOOKUP__3,173,88,0.8659,1.14,3.41,73,0.8399,1.37,4.11,11,0.8708,0.0,0.0,1,0.6358,0.0,0.0,0,,,,2026搜索,0.026,0.8539
PHONE_NUMBER_IDENTIFICATION__1,PHONE_NUMBER_IDENTIFICATION__1,244,121,0.8886,0.0,1.65,109,0.8538,0.0,2.75,8,0.6852,0.0,0.0,2,0.4021,0.0,0.0,4,0.9072,0.0,0.0,2026搜索,0.0348,0.8627
OFFICIAL_CHANNEL_LOOKUP__5,OFFICIAL_CHANNEL_LOOKUP__5,273,171,0.8742,1.17,3.51,76,0.8902,1.32,5.26,16,0.7935,0.0,6.25,7,0.7776,0.0,0.0,3,0.6417,0.0,0.0,2025搜索,0.016,0.8689
CHART_LOOKUP__2,CHART_LOOKUP__2,174,59,0.9143,3.39,5.08,97,0.8931,1.03,4.12,15,0.8393,0.0,6.67,1,0.6075,0.0,0.0,2,0.5369,0.0,0.0,2026搜索,0.0212,0.8899
AMOUNT_CALCULATION__1,AMOUNT_CALCULATION__1,576,311,0.9239,0.64,2.57,151,0.9017,0.66,2.65,15,0.7475,0.0,20.0,16,0.7459,6.25,0.0,83,0.8597,3.61,1.2,助手语音1k,0.0642,0.8993
DAILY_QUIZ_ANSWER__1,DAILY_QUIZ_ANSWER__1,214,114,0.9015,0.88,0.0,53,0.908,0.0,0.0,33,0.9533,0.0,0.0,2,0.8694,0.0,0.0,12,0.7301,0.0,0.0,2025搜索,0.0518,0.9012
QUOTE_LOOKUP__1,QUOTE_LOOKUP__1,3377,1556,0.899,0.71,9.25,1553,0.91,0.45,9.01,175,0.8985,0.0,6.29,25,0.6942,0.0,8.0,68,0.8357,0.0,8.82,助手随机1k,0.2158,0.9012
OFFICIAL_CHANNEL_LOOKUP__2,OFFICIAL_CHANNEL_LOOKUP__2,483,295,0.9517,0.0,2.37,156,0.9269,0.64,2.56,7,0.904,0.0,0.0,5,0.7376,0.0,20.0,20,0.9092,0.0,5.0,助手语音1k,0.0425,0.939
QUOTE_LOOKUP__3,QUOTE_LOOKUP__3,1320,632,0.9521,0.0,6.01,677,0.9368,0.3,6.5,4,0.8087,0.0,25.0,2,0.6128,0.0,0.0,5,0.848,0.0,20.0,2026搜索,0.0153,0.9429
QUOTE_LOOKUP__2,QUOTE_LOOKUP__2,7921,3235,0.9514,0.19,7.48,4205,0.9583,0.12,7.47,300,0.9379,0.33,9.0,59,0.6587,0.0,20.34,122,0.823,0.0,10.66,助手随机1k,0.2996,0.9504
STOCK_FORUM_VISIT__2,STOCK_FORUM_VISIT__2,464,180,0.9557,0.0,3.33,283,0.964,0.0,5.3,0,,,,0,,,,1,0.9983,0.0,0.0,2025搜索,0.0083,0.9608
STOCK_FORUM_VISIT__3,STOCK_FORUM_VISIT__3,643,298,0.9636,0.0,0.67,339,0.9664,0.0,0.29,2,0.3897,0.0,50.0,0,,,,4,0.9615,0.0,0.0,2025搜索,0.0028,0.9633
STOCK_FORUM_VISIT__1,STOCK_FORUM_VISIT__1,111,53,0.9636,0.0,1.89,55,0.9693,0.0,1.82,0,,,,0,,,,3,0.9105,0.0,33.33,2025搜索,0.0057,0.965
STOCK_FORUM_VISIT__6,STOCK_FORUM_VISIT__6,595,272,0.9638,0.0,15.07,320,0.9673,0.0,16.88,0,,,,1,0.9042,0.0,0.0,2,0.9891,0.0,0.0,2025搜索,0.0035,0.9657
STOCK_FORUM_VISIT__5,STOCK_FORUM_VISIT__5,297,111,0.9673,0.0,4.5,186,0.967,0.0,4.84,0,,,,0,,,,0,,,,2026搜索,0.0003,0.9671
STOCK_FORUM_VISIT__4,STOCK_FORUM_VISIT__4,389,159,0.9769,0.0,9.43,230,0.9747,0.0,5.22,0,,,,0,,,,0,,,,2026搜索,0.0022,0.9756
