key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音1k_n,助手语音1k_置信度均值,助手语音1k_意图歧义%,助手语音1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
23,关闭花呗,79,41,0.7305,2.44,2.44,17,0.6964,5.88,5.88,2,0.6016,0.0,0.0,5,0.6151,0.0,20.0,14,0.7289,0.0,7.14,2025搜索,,0.7123
74,金属行情报价查询,85,38,0.7044,5.26,0.0,41,0.7313,2.44,0.0,6,0.6749,0.0,0.0,0,,,,0,,,,2025搜索,0.0269,0.7153
73,查询A股股票及板块信息,288,126,0.728,0.79,15.87,135,0.7657,0.74,13.33,11,0.6494,9.09,0.0,7,0.382,14.29,28.57,9,0.6104,0.0,33.33,2025搜索,0.0377,0.7306
2,查询概念板块龙头股,146,56,0.7633,0.0,0.0,61,0.7894,0.0,0.0,15,0.6408,6.67,0.0,7,0.7901,0.0,0.0,7,0.61,0.0,14.29,2025搜索,0.0261,0.7556
32,银行客服短号查询,128,62,0.7812,1.61,6.45,60,0.7624,0.0,1.67,5,0.6059,0.0,0.0,1,0.3064,0.0,0.0,0,,,,2026搜索,0.0188,0.7618
9,货币兑换查询,409,200,0.7741,1.5,4.5,166,0.7601,2.41,2.41,22,0.7315,0.0,4.55,4,0.7494,0.0,0.0,17,0.7216,0.0,5.88,助手头部1k,0.0426,0.7637
4,基金净值查询,140,25,0.7967,0.0,0.0,89,0.8095,1.12,0.0,2,0.9521,0.0,0.0,11,0.5787,0.0,0.0,13,0.5541,0.0,7.69,2025搜索,0.0128,0.7674
35,股票代码查询#35,208,93,0.7904,0.0,4.3,99,0.7867,1.01,4.04,2,0.7765,0.0,50.0,7,0.698,0.0,28.57,7,0.6711,0.0,28.57,2026搜索,0.0037,0.7814
34,数字代码查询,162,79,0.7936,2.53,13.92,77,0.7927,0.0,6.49,2,0.3255,0.0,50.0,2,0.3608,0.0,0.0,2,0.7685,0.0,0.0,2026搜索,0.0009,0.7817
56,银行信用卡客服电话查询,172,102,0.8156,0.98,2.94,44,0.8603,0.0,2.27,0,,,,9,0.5496,0.0,0.0,17,0.5512,5.88,5.88,2025搜索,0.0447,0.787
33,金融代码行情查询,142,66,0.8067,1.52,3.03,74,0.7956,2.7,2.7,0,,,,0,,,,2,0.6205,0.0,0.0,2026搜索,0.0111,0.7983
14,加密货币价格行情查询,235,125,0.8052,1.6,8.0,89,0.8319,2.25,5.62,10,0.7118,0.0,10.0,8,0.5036,12.5,25.0,3,0.711,0.0,33.33,2025搜索,0.0267,0.7999
31,证券代码行情查询,165,61,0.8504,0.0,8.2,96,0.7825,2.08,6.25,2,0.5834,0.0,0.0,5,0.739,0.0,0.0,1,0.5676,0.0,100.0,2026搜索,0.0679,0.8026
93,车险保险公司电话查询,119,69,0.8126,0.0,4.35,34,0.8341,0.0,2.94,7,0.7004,0.0,14.29,5,0.6332,0.0,20.0,4,0.8518,0.0,25.0,2025搜索,0.0215,0.8059
30,数字串含义查询,159,76,0.799,0.0,2.63,81,0.8199,0.0,4.94,0,,,,2,0.5358,0.0,50.0,0,,,,2025搜索,0.0209,0.8063
77,ST股票信息查询,88,38,0.8404,0.0,0.0,40,0.8307,0.0,0.0,0,,,,7,0.5794,14.29,0.0,3,0.6482,0.0,0.0,2026搜索,0.0097,0.8087
61,黄金价格及黄金股票行情查询,158,57,0.8469,1.75,7.02,71,0.8831,0.0,4.23,17,0.7588,0.0,0.0,8,0.5589,12.5,12.5,5,0.8131,0.0,20.0,2025搜索,0.0362,0.8381
71,港股休市查询,131,70,0.8794,1.43,0.0,46,0.9021,0.0,0.0,2,0.9561,0.0,0.0,9,0.5482,0.0,0.0,4,0.6898,0.0,0.0,2025搜索,0.0227,0.86
57,金融类App下载,224,130,0.8713,0.0,2.31,64,0.9076,0.0,1.56,15,0.8107,0.0,0.0,10,0.6921,0.0,0.0,5,0.6276,0.0,0.0,2025搜索,0.0363,0.8642
63,查询金融品种价格走势图,190,58,0.9211,1.72,3.45,101,0.8953,0.0,6.93,17,0.8023,0.0,11.76,9,0.5504,0.0,11.11,5,0.6487,0.0,20.0,2026搜索,0.0258,0.872
75,查询证券股票与券商信息,229,99,0.8965,3.03,3.03,115,0.8926,2.61,3.48,2,0.7874,0.0,0.0,6,0.4819,16.67,50.0,7,0.8319,0.0,0.0,2026搜索,0.0039,0.8808
70,查询上证指数行情,110,47,0.8834,2.13,0.0,56,0.8863,1.79,0.0,6,0.898,0.0,0.0,1,0.4012,0.0,0.0,0,,,,2025搜索,0.0029,0.8813
69,大盘走势查询,176,83,0.8929,0.0,2.41,74,0.88,0.0,2.7,12,0.9161,0.0,0.0,5,0.7959,0.0,40.0,2,0.6753,0.0,0.0,2026搜索,0.0129,0.8838
72,东方财富官方入口查询,147,79,0.8837,1.27,0.0,61,0.9017,0.0,3.28,5,0.8842,0.0,0.0,2,0.4382,50.0,50.0,0,,,,2025搜索,0.018,0.8851
36,期货行情查询,217,102,0.8883,0.0,1.96,105,0.9007,0.0,1.9,5,0.8029,20.0,0.0,4,0.6223,0.0,25.0,1,0.7791,0.0,0.0,2025搜索,0.0124,0.8869
0,蚂蚁庄园今日答案查询,217,118,0.8819,2.54,0.85,53,0.908,0.0,0.0,32,0.9611,0.0,0.0,2,0.8694,0.0,0.0,12,0.7301,0.0,0.0,2025搜索,0.0792,0.8915
3,查询股票行情,784,262,0.9066,0.38,12.6,380,0.9207,0.26,13.42,64,0.8296,1.56,10.94,33,0.7354,0.0,15.15,45,0.7793,2.22,15.56,助手随机1k,0.1853,0.8926
62,黄金价格查询,126,51,0.9264,0.0,3.92,54,0.9431,0.0,1.85,15,0.8046,6.67,0.0,3,0.6833,0.0,33.33,3,0.5952,0.0,0.0,2025搜索,0.0167,0.9054
66,指数行情查询,255,92,0.9225,0.0,3.26,123,0.9224,0.0,1.63,27,0.9038,0.0,0.0,7,0.6028,0.0,0.0,6,0.6847,0.0,0.0,助手头部1k,0.0187,0.9061
15,查询白银价格行情,94,26,0.911,0.0,0.0,52,0.9225,1.92,0.0,11,0.9042,0.0,0.0,4,0.7528,0.0,0.0,1,0.9074,0.0,0.0,2025搜索,0.0115,0.9098
6,术语含义查询,161,89,0.9246,0.0,0.0,48,0.9247,0.0,0.0,7,0.9174,0.0,0.0,5,0.7135,0.0,20.0,12,0.8356,0.0,0.0,2025搜索,0.0001,0.9111
37,黄金价格与行情查询,497,178,0.9272,0.56,20.22,275,0.9142,0.73,18.18,31,0.9042,0.0,12.9,4,0.6252,25.0,0.0,9,0.769,0.0,11.11,助手头部1k,0.023,0.9133
68,查询美股行情,159,50,0.9135,0.0,0.0,83,0.9425,0.0,1.2,19,0.9229,0.0,0.0,1,0.693,0.0,0.0,6,0.6982,0.0,0.0,2025搜索,0.029,0.9203
54,查询金融机构24小时人工客服电话,162,104,0.9393,0.0,1.92,54,0.9079,0.0,1.85,0,,,,2,0.5118,0.0,0.0,2,0.9484,0.0,0.0,2026搜索,0.0314,0.9237
8,汇率换算查询,1555,805,0.9333,0.0,10.43,559,0.9388,0.0,10.38,60,0.8807,0.0,16.67,20,0.683,10.0,10.0,111,0.8693,2.7,4.5,助手随机1k,0.2558,0.9255
5,电话号码归属与用途查询,169,91,0.9437,0.0,1.1,70,0.9341,0.0,1.43,3,0.8045,0.0,0.0,1,0.4979,0.0,0.0,4,0.9072,0.0,0.0,2026搜索,0.0096,0.9338
39,能源资源类股票查询,166,69,0.965,1.45,0.0,91,0.9267,1.1,5.49,3,0.9948,0.0,0.0,3,0.6565,0.0,0.0,0,,,,2026搜索,0.0383,0.939
55,银行客服电话查询,238,144,0.9542,0.0,2.78,71,0.9406,1.41,4.23,6,0.8931,0.0,0.0,6,0.6565,0.0,16.67,11,0.9139,0.0,9.09,2026搜索,0.0136,0.9392
65,实时国际金价查询,164,75,0.9457,0.0,8.0,71,0.9554,0.0,5.63,17,0.8834,0.0,0.0,1,0.9605,0.0,0.0,0,,,,2025搜索,0.0097,0.9435
78,查询新材类股票及股吧信息,236,87,0.9408,0.0,1.15,141,0.9651,0.0,1.42,3,0.9835,0.0,0.0,4,0.7295,0.0,25.0,1,0.3665,0.0,0.0,2025搜索,0.0243,0.9499
89,银行股票信息查询,121,61,0.9556,0.0,1.64,52,0.9541,0.0,1.92,5,0.969,0.0,0.0,2,0.8386,0.0,50.0,1,0.8478,0.0,0.0,2026搜索,0.0015,0.9527
52,钢铁股票查询,74,34,0.9805,0.0,0.0,35,0.9753,0.0,0.0,1,0.9498,0.0,0.0,4,0.55,0.0,0.0,0,,,,2026搜索,0.0052,0.9544
86,查询科技类股票行情,635,238,0.9708,0.0,0.42,354,0.9664,0.0,1.41,22,0.9608,0.0,0.0,10,0.7596,0.0,0.0,11,0.6707,0.0,0.0,助手头部1k,0.01,0.9595
13,国际原油价格行情查询,120,60,0.9621,0.0,0.0,56,0.9646,0.0,0.0,3,0.8627,0.0,0.0,0,,,,1,0.8514,0.0,0.0,2025搜索,0.0025,0.9599
16,股票代码查询#16,1226,605,0.9645,0.0,5.62,610,0.9632,0.0,5.9,1,0.9961,0.0,0.0,4,0.4772,0.0,25.0,6,0.6843,0.0,50.0,2026搜索,0.0013,0.9609
19,股票股吧查询,2318,969,0.964,0.0,7.74,1313,0.9651,0.0,9.22,6,0.7557,0.0,83.33,7,0.7353,0.0,14.29,23,0.7969,0.0,21.74,助手语音1k,0.1682,0.9617
59,今日金价查询,227,93,0.9792,0.0,9.68,104,0.9536,0.0,10.58,14,0.9709,0.0,7.14,5,0.7971,0.0,0.0,11,0.9628,0.0,9.09,2026搜索,0.0256,0.9622
53,含龙字股票信息查询,108,52,0.975,0.0,1.92,51,0.9638,0.0,0.0,3,0.9767,0.0,0.0,1,0.5994,0.0,0.0,1,0.9978,0.0,0.0,2026搜索,0.0112,0.9665
40,股票信息查询,4364,1847,0.9711,0.0,10.45,2275,0.9736,0.0,9.19,150,0.9451,0.0,13.33,40,0.6854,2.5,25.0,52,0.8102,0.0,25.0,助手随机1k,0.2882,0.9669
41,查询个股股票信息#41,427,157,0.9835,0.0,7.64,249,0.9826,0.0,9.24,12,0.9463,0.0,8.33,3,0.8386,0.0,33.33,6,0.8821,0.0,0.0,2026搜索,0.0009,0.9795
49,查询个股股票信息#49,324,115,0.9884,0.0,0.87,201,0.9858,0.0,0.5,7,0.9853,0.0,0.0,1,0.946,0.0,0.0,0,,,,2026搜索,0.0026,0.9866
