key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,助手语音1k_排名,主导意图,主导意图占比%,家族内部一致,家族审计意见
44,A股个股推荐与走势预测查询,用户给出A股选股条件或询问具体个股、板块的走势，希望获得个股推荐、涨跌空间、支撑压力位、买卖时机及风险判断。,510,2.224,52,0.52,0.397,0.681,0.188,45,0.45,0.337,0.602,0.189,48,5.053,3.832,6.635,2.897,278,28.166,25.449,31.053,27.116,87,8.7,7.107,10.609,8.7,1.21,0.2339,0.0606,1.05,0.2024,0.0525,11.78,2.2721,0.589,65.67,12.6659,3.2836,20.28,3.9123,1.0142,5,,,助手随机1k,2026搜索,27.716,62.59,50,45,5,1,3,寻求个股买卖与持有决策建议,50.8,是,
10,黄金价格与行情查询,用户查询黄金相关价格时，获得当日黄金每克价格或黄金大盘、期货、实时行情，即满足。,497,2.167,178,1.78,1.539,2.059,1.536,275,2.75,2.447,3.089,2.366,31,3.263,2.308,4.595,2.302,4,0.405,0.158,1.037,1.727,9,0.9,0.474,1.702,0.9,19.57,0.8215,0.9783,30.23,1.2691,1.5113,35.86,1.5058,1.7931,4.45,0.187,0.2227,9.89,0.4153,0.4946,5,,,助手头部1k,助手随机1k,2.858,8.05,12,9,8,35,26,查询金融资产实时行情,95.4,是,
53,个股股票信息查询,用户输入某只股票名称或简称，想要获取该股票的基本资料、行情或最新公告消息。,427,1.862,157,1.57,1.345,1.833,1.217,249,2.49,2.203,2.814,2.744,12,1.263,0.724,2.195,0.599,3,0.304,0.103,0.89,0.259,6,0.6,0.275,1.303,0.6,25.22,0.8434,1.2608,39.99,1.3375,1.9993,20.28,0.6784,1.0141,4.88,0.1633,0.244,9.63,0.3223,0.4817,5,,,2026搜索,助手随机1k,2.186,8.19,15,10,25,41,29,查询金融资产实时行情,97.9,是,
50,货币兑换查询,用户输入两种货币名称后，查询二者之间的兑换汇率或换算金额。,409,1.783,200,2.0,1.744,2.294,1.41,166,1.66,1.428,1.93,0.855,22,2.316,1.534,3.481,1.193,4,0.405,0.158,1.037,0.345,17,1.7,1.064,2.706,1.7,24.75,1.1217,1.2376,20.54,0.9309,1.0271,28.66,1.2985,1.4328,5.01,0.2272,0.2507,21.04,0.9532,1.0518,5,,,助手头部1k,助手随机1k,1.911,5.71,11,12,12,35,17,查询金融资产实时行情,78.0,是,
22,银行及业务信息查询,用户提供银行名称、卡号或开户行等线索，希望查询对应银行的名称、缩写、网点位置或相关业务办理与扣费说明。,347,1.513,158,1.58,1.354,1.844,1.401,84,0.84,0.679,1.039,0.401,15,1.579,0.959,2.589,1.222,38,3.85,2.818,5.24,3.454,52,5.2,3.987,6.756,5.2,12.11,1.0445,0.6055,6.44,0.5552,0.3219,12.1,1.0436,0.605,29.5,2.5446,1.4752,39.85,3.4368,1.9924,5,,,助手语音1k,2026搜索,4.36,6.19,14,25,19,7,6,查找官方渠道与客服入口,35.4,是,
77,个股资料与行情查询,用户查询某只特定股票的基本资料、最新股价和走势分析。,324,1.413,115,1.15,0.959,1.379,0.788,201,2.01,1.753,2.304,1.355,7,0.737,0.357,1.513,0.53,1,0.101,0.018,0.572,0.086,0,0.0,0.0,0.383,0.0,28.77,0.8142,1.4383,50.27,1.4229,2.5136,18.43,0.5216,0.9214,2.53,0.0717,0.1267,0.0,0.0,0.0,4,助手语音1k,,2026搜索,助手语音1k,2.01,inf,21,11,35,49,50,查询金融资产实时行情,99.1,是,
19,银行存贷款利率与利息查询,用户希望查询银行存贷款最新利率或根据本金、期限计算利息，以获得具体利率数字或利息金额。,322,1.404,178,1.78,1.539,2.059,0.958,56,0.56,0.432,0.727,0.171,13,1.368,0.801,2.327,1.351,38,3.85,2.818,5.24,4.059,37,3.7,2.696,5.058,3.7,15.81,1.268,0.7906,4.97,0.3989,0.2487,12.15,0.9746,0.6077,34.2,2.7421,1.7098,32.86,2.6353,1.6431,5,,,助手随机1k,2026搜索,3.29,6.87,12,37,24,7,10,计算具体金额或利率,28.6,是,
40,查询A股股票及板块信息,用户输入A股股票名称、代码或板块/ETF名称后，希望获得对应标的的行情、资讯或基本面信息。,288,1.256,126,1.26,1.06,1.498,1.288,135,1.35,1.142,1.596,1.52,11,1.158,0.648,2.061,1.341,7,0.709,0.344,1.457,0.691,9,0.9,0.474,1.702,0.9,23.44,1.0036,1.1718,25.11,1.0751,1.2554,21.53,0.9221,1.0766,13.19,0.5648,0.6594,16.74,0.7167,0.8368,5,,,2026搜索,助手随机1k,0.641,1.9,18,14,28,24,26,查询金融资产实时行情,77.1,是,
1,板块与基金核心数据查询,用户查询特定概念板块或基金的核心数据，如板块代表性个股、基金最新净值或实时估值。,286,1.247,81,0.81,0.652,1.006,0.476,150,1.5,1.28,1.758,0.486,17,1.789,1.12,2.847,0.818,18,1.824,1.157,2.864,1.641,20,2.0,1.298,3.069,2.0,10.22,0.6497,0.5112,18.93,1.203,0.9466,22.58,1.435,1.1292,23.02,1.4624,1.1508,25.24,1.6038,1.2621,5,,,助手语音1k,2025搜索,1.19,2.47,36,13,15,13,16,寻求个股买卖与持有决策建议,44.8,否,两个叶子意图不完全统一：“查询概念板块龙头股”关注板块内代表性个股名单或排名，“基金净值查询”关注基金净值或估值，仅能以“板块与基金核心数据查询”作宽泛概括。
46,查询资金产品安全性及存取借贷规则,查询资金产品或账户操作（如零钱通、钱包、借款平台、银行账户）的安全性、存取/转账规则、借款条件和手续费等具体说明。,267,1.164,89,0.89,0.724,1.094,0.387,33,0.33,0.235,0.463,0.095,12,1.263,0.724,2.195,0.621,77,7.801,6.287,9.643,6.995,56,5.6,4.337,7.202,5.6,5.6,0.7646,0.2802,2.08,0.2835,0.1039,7.95,1.085,0.3976,49.11,6.701,2.4556,35.25,4.8101,1.7627,5,,,助手随机1k,2026搜索,7.471,23.64,32,50,25,2,5,其他或无法判定的非金融查询,26.2,是,
66,银行客服电话查询,用户想获取某家银行的客服电话或人工客服联系电话，得到准确可拨打的官方联系方式。,238,1.038,144,1.44,1.225,1.693,1.446,71,0.71,0.563,0.895,0.46,6,0.632,0.29,1.371,0.187,6,0.608,0.279,1.32,0.518,11,1.1,0.615,1.959,1.1,32.08,1.3879,1.6039,15.82,0.6842,0.7908,14.07,0.6086,0.7033,13.54,0.5858,0.677,24.5,1.06,1.225,5,,,2025搜索,助手随机1k,0.832,2.37,16,30,37,28,23,查找官方渠道与客服入口,98.7,是,
38,加密货币价格行情查询,用户输入比特币、狗狗币等加密货币名称后，获取该币种最新价格或今日行情走势，即算满足。,235,1.025,125,1.25,1.05,1.488,1.234,89,0.89,0.724,1.094,0.631,10,1.053,0.573,1.927,1.123,8,0.811,0.411,1.591,0.777,3,0.3,0.102,0.878,0.3,29.05,1.2201,1.4526,20.68,0.8687,1.0341,24.46,1.0273,1.223,18.83,0.791,0.9417,6.97,0.2928,0.3486,5,,,2025搜索,助手语音1k,0.95,4.17,19,23,30,22,36,查询金融资产实时行情,76.2,是,
60,今日金价查询,用户查询当天黄金价格或银行金条价格，获得具体报价后即满足。,227,0.99,93,0.93,0.76,1.138,7.207,104,1.04,0.859,1.259,8.291,14,1.474,0.88,2.458,7.963,5,0.507,0.217,1.18,0.432,11,1.1,0.615,1.959,1.1,18.42,0.9398,0.9209,20.59,1.0508,1.0297,29.18,1.4889,1.4589,10.03,0.5118,0.5015,21.78,1.1113,1.089,5,,,助手头部1k,助手随机1k,0.967,2.91,28,18,22,30,23,查询金融资产实时行情,97.8,是,
76,金融术语与行情原因查询,用户想获得查询中金融术语、代码、币种、板块或产品含义的说明，或了解行情涨跌、业绩表现、事件后果等具体原因。,226,0.985,79,0.79,0.635,0.984,0.349,57,0.57,0.44,0.738,0.258,10,1.053,0.573,1.927,0.53,51,5.167,3.952,6.73,4.577,29,2.9,2.027,4.134,2.9,7.54,0.8018,0.377,5.44,0.5785,0.272,10.04,1.0682,0.5022,49.3,5.2435,2.4652,27.67,2.9429,1.3836,5,,,助手随机1k,2026搜索,4.597,9.06,37,36,30,5,12,解释金融术语与基础规则,46.5,是,
73,金融类App下载查询,用户查询某款金融类App（银行、保险、钱包等）的官方下载链接或安装方法。,224,0.977,130,1.3,1.096,1.542,0.725,64,0.64,0.502,0.816,0.235,15,1.579,0.959,2.589,2.876,10,1.013,0.551,1.855,0.95,5,0.5,0.214,1.165,0.5,25.84,1.3313,1.2919,12.72,0.6553,0.6359,31.38,1.6166,1.5688,20.13,1.0373,1.0066,9.94,0.5119,0.4968,5,,,助手头部1k,助手语音1k,1.079,3.16,17,34,19,18,31,查找官方渠道与客服入口,88.8,是,
75,每日答题活动答案查询,用户查询蚂蚁庄园、蚂蚁新村或小鸡庄园等每日答题活动的今日正确答案，看到所询问题目的答案或答案汇总后即可满足。,217,0.946,118,1.18,0.987,1.411,1.216,53,0.53,0.405,0.693,0.502,32,3.368,2.396,4.716,1.819,2,0.203,0.056,0.736,0.173,12,1.2,0.688,2.086,1.2,18.21,1.2474,0.9105,8.18,0.5602,0.4089,51.97,3.56,2.5986,3.13,0.2142,0.1563,18.51,1.2682,0.9257,5,,,助手头部1k,助手随机1k,3.166,16.62,20,41,7,44,20,获取每日答题活动答案,97.7,是,
9,期货行情查询,用户查询所关注期货品种的最新价格、实时行情或走势数据后即满足。,217,0.946,102,1.02,0.841,1.237,0.573,105,1.05,0.868,1.27,0.393,5,0.526,0.225,1.226,0.538,4,0.405,0.158,1.037,0.345,1,0.1,0.018,0.564,0.1,32.89,1.0782,1.6445,33.85,1.1098,1.6927,16.97,0.5562,0.8484,13.07,0.4283,0.6533,3.22,0.1057,0.1612,5,,,2026搜索,助手语音1k,0.95,10.5,24,17,40,35,43,查询金融资产实时行情,87.6,是,
47,贷款信息查询与办理,用户查询贷款产品、利率、额度、还款方式、办理进度或相关政策说明，以便了解或办理贷款相关业务。,213,0.929,104,1.04,0.859,1.259,0.894,36,0.36,0.26,0.498,0.216,14,1.474,0.88,2.458,2.129,28,2.837,1.97,4.07,2.591,31,3.1,2.192,4.367,3.1,11.81,1.12,0.5903,4.09,0.3877,0.2043,16.73,1.5867,0.8363,32.2,3.0545,1.6099,35.18,3.3378,1.7592,5,,,助手语音1k,2026搜索,2.74,8.61,22,49,22,10,11,计算具体金额或利率,23.0,是,
72,股票代码查询#72,用户输入股票代码，查询该代码对应的股票名称、行情或公司信息。,208,0.907,93,0.93,0.76,1.138,0.474,99,0.99,0.814,1.204,0.423,2,0.211,0.058,0.764,0.109,7,0.709,0.344,1.457,0.604,7,0.7,0.339,1.438,0.7,26.28,1.0256,1.3138,27.97,1.0917,1.3984,5.95,0.2321,0.2974,20.03,0.782,1.0017,19.77,0.7718,0.9887,5,,,2026搜索,助手头部1k,0.78,4.7,28,20,47,24,28,其他或无法判定的非金融查询,83.2,是,
45,银行卡业务办理与异常处理,用户试图获得银行卡及相关账户在办理、注销、挂失补办、解冻/解除管控、限额查询、微信/手机银行绑定与转账等场景下的具体操作流程或处理办法。,199,0.868,95,0.95,0.778,1.16,0.403,25,0.25,0.169,0.369,0.082,10,1.053,0.573,1.927,0.455,21,2.128,1.396,3.231,1.813,48,4.8,3.639,6.307,4.8,10.35,1.0951,0.5175,2.72,0.2881,0.1362,11.47,1.2131,0.5733,23.18,2.452,1.1588,52.28,5.5318,2.6142,5,,,助手语音1k,2026搜索,4.55,19.2,26,53,30,11,8,获取银行或支付账户操作指引,42.7,是,
78,查询金融品种价格走势图,用户想查询黄金、铂金、钯金等贵金属及富时A50等金融品种的价格走势图、实时走势图或K线图。,190,0.828,58,0.58,0.449,0.749,0.444,101,1.01,0.832,1.226,0.93,17,1.789,1.12,2.847,0.887,9,0.912,0.48,1.724,0.95,5,0.5,0.214,1.165,0.5,12.11,0.7002,0.6054,21.08,1.2192,1.054,37.35,2.16,1.8673,19.03,1.1007,0.9515,10.44,0.6035,0.5218,5,,,助手头部1k,助手语音1k,1.289,3.58,47,19,15,20,31,查询历史价格走势图,86.3,是,
13,特定股票查询,用户查询按行业板块或名称含字等特征圈定的股票，以获取其行情价格、财务资料或股吧讨论信息。,182,0.794,86,0.86,0.697,1.061,0.636,86,0.86,0.697,1.061,0.64,4,0.421,0.164,1.078,0.173,5,0.507,0.217,1.18,0.691,1,0.1,0.018,0.564,0.1,31.3,1.0839,1.5651,31.3,1.0838,1.565,15.32,0.5306,0.7661,18.44,0.6384,0.9218,3.64,0.126,0.182,5,,,2025搜索,助手语音1k,0.76,8.6,34,24,43,30,43,查询金融资产实时行情,79.7,是,
57,大盘走势查询,用户想要查看当日或实时的大盘指数走势，获取走势图或点位数据。,176,0.767,83,0.83,0.67,1.028,1.158,74,0.74,0.59,0.928,1.21,12,1.263,0.724,2.195,1.452,5,0.507,0.217,1.18,0.518,2,0.2,0.055,0.726,0.2,23.45,1.0818,1.1726,20.91,0.9644,1.0453,35.68,1.646,1.7841,14.31,0.6601,0.7155,5.65,0.2606,0.2825,5,,,助手头部1k,助手语音1k,1.063,6.32,35,28,25,30,39,查询金融资产实时行情,81.2,是,
67,银行信用卡客服电话查询,用户查询目标银行信用卡的人工客服电话或客服电话号码。,172,0.75,102,1.02,0.841,1.237,1.274,44,0.44,0.328,0.59,0.408,0,0.0,0.0,0.403,0.0,9,0.912,0.48,1.724,0.777,17,1.7,1.064,2.706,1.7,25.05,1.3603,1.2527,10.81,0.5867,0.5403,0.0,0.0,0.0,22.39,1.2158,1.1196,41.75,2.2667,2.0874,4,助手头部1k,,助手语音1k,助手头部1k,1.7,inf,24,46,51,20,17,查找官方渠道与客服入口,61.6,是,
63,电话号码归属与用途查询,用户提供一个电话号码或机构名称，想查到该号码的归属机构/银行与用途，或该机构/事项对应的有效联系电话。,169,0.737,91,0.91,0.742,1.116,0.675,70,0.7,0.555,0.883,0.261,3,0.316,0.107,0.924,0.19,1,0.101,0.018,0.572,0.086,4,0.4,0.156,1.024,0.4,37.5,1.2352,1.8748,28.84,0.95,1.442,13.01,0.4285,0.6505,4.17,0.1375,0.2087,16.48,0.5428,0.8239,5,,,2025搜索,助手随机1k,0.809,8.98,30,33,44,49,34,识别陌生电话号码归属,98.2,是,
52,能源资源类股票查询,用户输入某只能源或资源类股票或公司名称后，获取其行情价格、基本信息或上市交易进展。,166,0.724,69,0.69,0.546,0.872,0.33,91,0.91,0.742,1.116,0.637,3,0.316,0.107,0.924,0.129,3,0.304,0.103,0.89,0.432,0,0.0,0.0,0.383,0.0,31.09,0.9535,1.5544,41.0,1.2574,2.0498,14.22,0.4363,0.7112,13.69,0.4199,0.6846,0.0,0.0,0.0,4,助手语音1k,,2026搜索,助手语音1k,0.91,inf,41,22,44,41,50,查询金融资产实时行情,74.1,是,
69,证券代码行情查询,用户输入数字证券代码，查询该代码对应的证券/基金名称、行情或基本资料。,165,0.719,61,0.61,0.475,0.783,0.237,96,0.96,0.787,1.171,0.29,2,0.211,0.058,0.764,0.059,5,0.507,0.217,1.18,0.518,1,0.1,0.018,0.564,0.1,25.56,0.848,1.2778,40.22,1.3345,2.0108,8.82,0.2926,0.4409,21.22,0.7041,1.061,4.19,0.139,0.2094,5,,,2026搜索,助手语音1k,0.86,9.6,44,21,47,30,43,其他或无法判定的非金融查询,62.4,是,
61,实时国际金价查询,用户查询当前或实时的国际金价、黄金报价或相关行情走势。,164,0.715,75,0.75,0.599,0.939,3.357,71,0.71,0.563,0.895,3.843,17,1.789,1.12,2.847,3.513,1,0.101,0.018,0.572,0.086,0,0.0,0.0,0.383,0.0,22.39,1.049,1.1193,21.19,0.993,1.0595,53.4,2.5024,2.67,3.02,0.1417,0.1512,0.0,0.0,0.0,4,助手语音1k,,助手头部1k,助手语音1k,1.789,inf,40,30,15,49,50,查询金融资产实时行情,86.6,是,
71,数字代码查询,用户输入数字或含数字的代码后，获得该代码所指向对象的具体信息（如对应标的、版本、错误含义或兑付状态）。,162,0.706,79,0.79,0.635,0.984,0.275,77,0.77,0.617,0.961,0.276,2,0.211,0.058,0.764,0.159,2,0.203,0.056,0.736,0.173,2,0.2,0.055,0.726,0.2,36.36,1.1186,1.8178,35.43,1.0902,1.7716,9.69,0.298,0.4843,9.32,0.2869,0.4662,9.2,0.2831,0.4601,5,,,2025搜索,助手语音1k,0.59,3.95,37,27,47,44,39,其他或无法判定的非金融查询,88.3,是,
65,金融机构24小时人工客服电话查询,用户试图获取银行、保险、信托等金融机构的官方24小时人工客服电话号码或人工服务转接方式。,162,0.706,104,1.04,0.859,1.259,1.062,54,0.54,0.414,0.704,0.293,0,0.0,0.0,0.403,0.0,2,0.203,0.056,0.736,0.173,2,0.2,0.055,0.726,0.2,52.46,1.4726,2.623,27.24,0.7645,1.3618,0.0,0.0,0.0,10.22,0.2869,0.511,10.09,0.2831,0.5043,4,助手头部1k,,2025搜索,助手头部1k,1.04,inf,22,39,51,44,39,查找官方渠道与客服入口,98.1,是,
2,术语含义查询,用户提交一个不理解的术语、代码或提示（主要是金融、银行、股票类），查询并获得其准确解释。,161,0.702,89,0.89,0.724,1.094,0.436,48,0.48,0.362,0.636,0.156,7,0.737,0.357,1.513,0.417,5,0.507,0.217,1.18,0.432,12,1.2,0.688,2.086,1.2,23.34,1.268,1.1671,12.59,0.6838,0.6294,19.32,1.0496,0.9661,13.28,0.7216,0.6642,31.47,1.7094,1.5733,5,,,助手语音1k,2026搜索,0.72,2.5,32,44,35,30,20,解释金融术语与基础规则,85.7,是,
68,数字串含义查询,用户输入数字串或含数字的短语后，查询该数字串对应的具体解释、记录或含义。,159,0.693,76,0.76,0.608,0.95,0.316,81,0.81,0.652,1.006,0.311,0,0.0,0.0,0.403,0.0,2,0.203,0.056,0.736,0.173,0,0.0,0.0,0.383,0.0,42.88,1.0964,2.1438,45.69,1.1685,2.2847,0.0,0.0,0.0,11.43,0.2923,0.5715,0.0,0.0,0.0,3,助手头部1k / 助手语音1k,,2026搜索,助手头部1k,0.81,inf,39,26,51,44,50,其他或无法判定的非金融查询,94.3,是,
74,黄金价格及黄金股票行情查询,用户查询黄金价格、黄金现货/期货行情及黄金相关股票时，获得实时报价、走势和交易市场信息即满足。,158,0.689,57,0.57,0.44,0.738,0.683,71,0.71,0.563,0.895,0.634,17,1.789,1.12,2.847,1.19,8,0.811,0.411,1.591,0.777,5,0.5,0.214,1.165,0.5,13.02,0.8275,0.6508,16.21,1.0307,0.8105,40.85,2.5975,2.0427,18.5,1.1765,0.9252,11.42,0.7258,0.5708,5,,,助手头部1k,助手语音1k,1.289,3.58,48,30,15,22,31,查询金融资产实时行情,65.2,是,
79,银行服务信息查询,用户查询指定银行（如工商银行、农商银行等）的营业时间、客服电话、网点位置或具体业务办理说明。,157,0.685,55,0.55,0.423,0.715,0.763,23,0.23,0.153,0.345,0.252,38,4.0,2.928,5.443,5.127,12,1.216,0.697,2.113,1.036,29,2.9,2.027,4.134,2.9,6.18,0.8036,0.3092,2.59,0.336,0.1293,44.96,5.8431,2.2482,13.67,1.776,0.6833,32.6,4.2362,1.63,5,,,助手头部1k,2026搜索,3.77,17.39,49,54,6,17,12,查找官方渠道与客服入口,36.3,是,
70,金融代码行情查询,用户输入数字代码，查询该代码对应金融产品的行情或资金流向信息。,142,0.619,66,0.66,0.519,0.839,0.276,74,0.74,0.59,0.928,0.26,0,0.0,0.0,0.403,0.0,0,0.0,0.0,0.388,0.0,2,0.2,0.055,0.726,0.2,41.25,1.0662,2.0626,46.25,1.1953,2.3124,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.323,0.6249,3,助手头部1k / 助手随机1k,,2026搜索,助手头部1k,0.74,inf,42,28,51,53,39,其他或无法判定的非金融查询,88.0,是,
