key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,助手语音1k_排名,主导意图,主导意图占比%,盲评一致性,风险标注,user_need
90,查询银行及业务信息,用户提供银行名称、卡号或“开户行”等线索后，获得对应银行名称、缩写、网点位置，或相关业务办理与扣费说明即满意。,347,1.513,158,1.58,1.354,1.844,1.401,84,0.84,0.679,1.039,0.401,15,1.579,0.959,2.589,1.222,38,3.85,2.818,5.24,3.454,52,5.2,3.987,6.756,5.2,12.11,1.0445,0.6055,6.44,0.5552,0.3219,12.1,1.0436,0.605,29.5,2.5446,1.4752,39.85,3.4368,1.9924,5,,,助手语音1k,2026搜索,4.36,6.19,10,23,17,6,4,查找官方渠道与客服入口,35.4,3.0,,用户提供银行名称、卡号或“开户行”等线索后，获得对应银行名称、缩写、网点位置，或相关业务办理与扣费说明即满意。
49,查询个股股票信息#49,用户输入某只股票名称后，获得该股票的基本资料、最新股价和走势分析。,324,1.413,115,1.15,0.959,1.379,0.788,201,2.01,1.753,2.304,1.355,7,0.737,0.357,1.513,0.53,1,0.101,0.018,0.572,0.086,0,0.0,0.0,0.383,0.0,28.77,0.8142,1.4383,50.27,1.4229,2.5136,18.43,0.5216,0.9214,2.53,0.0717,0.1267,0.0,0.0,0.0,4,助手语音1k,,2026搜索,助手语音1k,2.01,inf,18,9,37,59,60,查询金融资产实时行情,99.1,4.0,True,用户输入某只股票名称后，获得该股票的基本资料、最新股价和走势分析。
80,银行存贷款利率与利息查询,用户希望查询银行存贷款最新利率或根据本金、期限计算利息；获得具体利率数字或利息金额后即满足。,322,1.404,178,1.78,1.539,2.059,0.958,56,0.56,0.432,0.727,0.171,13,1.368,0.801,2.327,1.351,38,3.85,2.818,5.24,4.059,37,3.7,2.696,5.058,3.7,15.81,1.268,0.7906,4.97,0.3989,0.2487,12.15,0.9746,0.6077,34.2,2.7421,1.7098,32.86,2.6353,1.6431,5,,,助手随机1k,2026搜索,3.29,6.87,8,39,23,6,10,计算具体金额或利率,28.6,4.0,,用户希望查询银行存贷款最新利率或根据本金、期限计算利息；获得具体利率数字或利息金额后即满足。
73,查询A股股票及板块信息,用户输入A股股票名称、代码或板块/ETF名称后，希望获得对应标的的行情、资讯或基本面信息。,288,1.256,126,1.26,1.06,1.498,1.288,135,1.35,1.142,1.596,1.52,11,1.158,0.648,2.061,1.341,7,0.709,0.344,1.457,0.691,9,0.9,0.474,1.702,0.9,23.44,1.0036,1.1718,25.11,1.0751,1.2554,21.53,0.9221,1.0766,13.19,0.5648,0.6594,16.74,0.7167,0.8368,5,,,2026搜索,助手随机1k,0.641,1.9,15,12,27,26,27,查询金融资产实时行情,77.1,4.0,,用户输入A股股票名称、代码或板块/ETF名称后，希望获得对应标的的行情、资讯或基本面信息。
28,查询资金产品安全性及存取借贷规则,当用户了解到所问资金产品或账户操作（如零钱通、钱包、借款平台、银行账户）的安全性、存取/转账规则、借款条件和手续费等具体说明时，其需求即被满足。,267,1.164,89,0.89,0.724,1.094,0.387,33,0.33,0.235,0.463,0.095,12,1.263,0.724,2.195,0.621,77,7.801,6.287,9.643,6.995,56,5.6,4.337,7.202,5.6,5.6,0.7646,0.2802,2.08,0.2835,0.1039,7.95,1.085,0.3976,49.11,6.701,2.4556,35.25,4.8101,1.7627,5,,,助手随机1k,2026搜索,7.471,23.64,33,60,24,2,3,其他或无法判定的非金融查询,26.2,4.0,True,当用户了解到所问资金产品或账户操作（如零钱通、钱包、借款平台、银行账户）的安全性、存取/转账规则、借款条件和手续费等具体说明时，其需求即被满足。
66,指数行情查询,用户查询某个市场指数（如股票指数、美元指数、行业板块指数等）的行情或相关情况，得到该指数的最新点位、涨跌表现或相关分析即满意。,255,1.112,92,0.92,0.751,1.127,2.066,123,1.23,1.032,1.466,2.688,27,2.842,1.961,4.104,2.035,7,0.709,0.344,1.457,0.604,6,0.6,0.275,1.303,0.6,14.6,0.8276,0.7301,19.52,1.1063,0.976,45.1,2.5561,2.2551,11.25,0.6379,0.5627,9.52,0.5396,0.4761,5,,,助手头部1k,助手语音1k,2.242,4.74,30,13,9,26,32,查询金融资产实时行情,93.3,4.0,,用户查询某个市场指数（如股票指数、美元指数、行业板块指数等）的行情或相关情况，得到该指数的最新点位、涨跌表现或相关分析即满意。
55,银行客服电话查询,用户想知道某家银行的客服电话或人工客服联系电话，获得准确可拨打的号码或官方联系方式后即满足。,238,1.038,144,1.44,1.225,1.693,1.446,71,0.71,0.563,0.895,0.46,6,0.632,0.29,1.371,0.187,6,0.608,0.279,1.32,0.518,11,1.1,0.615,1.959,1.1,32.08,1.3879,1.6039,15.82,0.6842,0.7908,14.07,0.6086,0.7033,13.54,0.5858,0.677,24.5,1.06,1.225,5,,,2025搜索,助手随机1k,0.832,2.37,12,29,40,32,24,查找官方渠道与客服入口,98.7,4.0,,用户想知道某家银行的客服电话或人工客服联系电话，获得准确可拨打的号码或官方联系方式后即满足。
78,查询新材类股票及股吧信息,用户输入含“新材/材料”字样的股票或公司名称后，希望获得该股票的行情报价、公司资料、股吧讨论或上市审核进展。,236,1.029,87,0.87,0.706,1.072,0.535,141,1.41,1.197,1.661,1.078,3,0.316,0.107,0.924,0.139,4,0.405,0.158,1.037,0.345,1,0.1,0.018,0.564,0.1,28.06,0.8456,1.4029,45.47,1.3703,2.2734,10.18,0.3069,0.5091,13.07,0.3938,0.6534,3.22,0.0972,0.1612,5,,,2026搜索,助手语音1k,1.31,14.1,35,11,50,42,52,查询金融资产实时行情,79.2,4.0,,用户输入含“新材/材料”字样的股票或公司名称后，希望获得该股票的行情报价、公司资料、股吧讨论或上市审核进展。
14,加密货币价格行情查询,用户输入比特币、狗狗币、派币等加密货币名称后，获得该币种最新价格（美元或人民币）或今日行情走势，即算满足。,235,1.025,125,1.25,1.05,1.488,1.234,89,0.89,0.724,1.094,0.631,10,1.053,0.573,1.927,1.123,8,0.811,0.411,1.591,0.777,3,0.3,0.102,0.878,0.3,29.05,1.2201,1.4526,20.68,0.8687,1.0341,24.46,1.0273,1.223,18.83,0.791,0.9417,6.97,0.2928,0.3486,5,,,2025搜索,助手语音1k,0.95,4.17,16,21,29,24,45,查询金融资产实时行情,76.2,4.0,,用户输入比特币、狗狗币、派币等加密货币名称后，获得该币种最新价格（美元或人民币）或今日行情走势，即算满足。
94,保险信息查询,用户想查询保险公司、保险品牌或保险产品的相关信息，并获得对应主体的背景、可靠性、网点、股票或报销规则等具体答案后即满足。,233,1.016,135,1.35,1.142,1.596,0.879,58,0.58,0.449,0.749,0.249,18,1.895,1.202,2.975,3.121,9,0.912,0.48,1.724,1.036,13,1.3,0.761,2.211,1.3,22.37,1.3291,1.1183,9.61,0.5709,0.4804,31.39,1.865,1.5693,15.1,0.8975,0.7552,21.53,1.2796,1.0767,5,,,助手头部1k,2026搜索,1.315,3.27,13,37,13,20,20,其他或无法判定的非金融查询,41.6,4.0,,用户想查询保险公司、保险品牌或保险产品的相关信息，并获得对应主体的背景、可靠性、网点、股票或报销规则等具体答案后即满足。
75,查询证券股票与券商信息,用户想查询证券公司、证券股票或相关证券板块的公开信息，如个股列表、排行榜、经营数据等，获得所查询对象的对应公开资料后即满足。,229,0.999,99,0.99,0.814,1.204,0.929,115,1.15,0.959,1.379,0.985,2,0.211,0.058,0.764,0.479,6,0.608,0.279,1.32,1.9,7,0.7,0.339,1.438,0.7,27.06,0.9917,1.3532,31.43,1.1518,1.5717,5.75,0.2108,0.2877,16.62,0.6088,0.8308,19.13,0.701,0.9566,5,,,2026搜索,助手头部1k,0.94,5.46,24,14,55,32,29,查询金融资产实时行情,73.4,4.0,,用户想查询证券公司、证券股票或相关证券板块的公开信息，如个股列表、排行榜、经营数据等，获得所查询对象的对应公开资料后即满足。
59,今日金价查询,用户得到今日黄金价格或银行金条价格后即满足。,227,0.99,93,0.93,0.76,1.138,7.207,104,1.04,0.859,1.259,8.291,14,1.474,0.88,2.458,7.963,5,0.507,0.217,1.18,0.432,11,1.1,0.615,1.959,1.1,18.42,0.9398,0.9209,20.59,1.0508,1.0297,29.18,1.4889,1.4589,10.03,0.5118,0.5015,21.78,1.1113,1.089,5,,,助手头部1k,助手随机1k,0.967,2.91,28,16,21,35,24,查询金融资产实时行情,97.8,4.0,,用户得到今日黄金价格或银行金条价格后即满足。
7,金融术语与行情原因查询,用户获得对查询中金融术语、代码、币种、板块、产品含义的说明，或对行情涨跌、业绩表现、事件后果等具体原因的解释后，即得到满足。,226,0.985,79,0.79,0.635,0.984,0.349,57,0.57,0.44,0.738,0.258,10,1.053,0.573,1.927,0.53,51,5.167,3.952,6.73,4.577,29,2.9,2.027,4.134,2.9,7.54,0.8018,0.377,5.44,0.5785,0.272,10.04,1.0682,0.5022,49.3,5.2435,2.4652,27.67,2.9429,1.3836,5,,,助手随机1k,2026搜索,4.597,9.06,37,38,29,3,13,解释金融术语与基础规则,46.5,3.0,True,用户获得对查询中金融术语、代码、币种、板块、产品含义的说明，或对行情涨跌、业绩表现、事件后果等具体原因的解释后，即得到满足。
57,金融类App下载,用户提出某款金融类App（银行、保险、钱包等）后，获得该App的官方下载链接或安装方法即可满足。,224,0.977,130,1.3,1.096,1.542,0.725,64,0.64,0.502,0.816,0.235,15,1.579,0.959,2.589,2.876,10,1.013,0.551,1.855,0.95,5,0.5,0.214,1.165,0.5,25.84,1.3313,1.2919,12.72,0.6553,0.6359,31.38,1.6166,1.5688,20.13,1.0373,1.0066,9.94,0.5119,0.4968,5,,,助手头部1k,助手语音1k,1.079,3.16,14,33,17,17,36,查找官方渠道与客服入口,88.8,4.0,,用户提出某款金融类App（银行、保险、钱包等）后，获得该App的官方下载链接或安装方法即可满足。
36,期货行情查询,用户获得所查询期货品种（如铜、铝、镍、铁矿石、橡胶、纳斯达克期货）的最新价格、实时行情或走势数据后即满足。,217,0.946,102,1.02,0.841,1.237,0.573,105,1.05,0.868,1.27,0.393,5,0.526,0.225,1.226,0.538,4,0.405,0.158,1.037,0.345,1,0.1,0.018,0.564,0.1,32.89,1.0782,1.6445,33.85,1.1098,1.6927,16.97,0.5562,0.8484,13.07,0.4283,0.6533,3.22,0.1057,0.1612,5,,,2026搜索,助手语音1k,0.95,10.5,21,15,44,42,52,查询金融资产实时行情,87.6,4.0,,用户获得所查询期货品种（如铜、铝、镍、铁矿石、橡胶、纳斯达克期货）的最新价格、实时行情或走势数据后即满足。
0,蚂蚁庄园今日答案查询,用户查询蚂蚁庄园、蚂蚁新村或小鸡庄园等每日答题活动的今日正确答案，看到所询问题目的答案或答案汇总后即可满足。,217,0.946,118,1.18,0.987,1.411,1.216,53,0.53,0.405,0.693,0.502,32,3.368,2.396,4.716,1.819,2,0.203,0.056,0.736,0.173,12,1.2,0.688,2.086,1.2,18.21,1.2474,0.9105,8.18,0.5602,0.4089,51.97,3.56,2.5986,3.13,0.2142,0.1563,18.51,1.2682,0.9257,5,,,助手头部1k,助手随机1k,3.166,16.62,17,45,6,53,22,获取每日答题活动答案,97.7,4.0,True,用户查询蚂蚁庄园、蚂蚁新村或小鸡庄园等每日答题活动的今日正确答案，看到所询问题目的答案或答案汇总后即可满足。
79,贷款信息查询与办理,用户获得所查询贷款产品、利率、额度、还款方式、办理进度或相关政策说明后，其需求即被满足。,213,0.929,104,1.04,0.859,1.259,0.894,36,0.36,0.26,0.498,0.216,14,1.474,0.88,2.458,2.129,28,2.837,1.97,4.07,2.591,31,3.1,2.192,4.367,3.1,11.81,1.12,0.5903,4.09,0.3877,0.2043,16.73,1.5867,0.8363,32.2,3.0545,1.6099,35.18,3.3378,1.7592,5,,,助手语音1k,2026搜索,2.74,8.61,19,56,21,9,12,计算具体金额或利率,23.0,4.0,True,用户获得所查询贷款产品、利率、额度、还款方式、办理进度或相关政策说明后，其需求即被满足。
25,电子支付工具使用查询,在获得支付宝、微信支付、云闪付、美团月付、汇付天下等电子支付工具在注册登录、下载、转账、绑定或解绑银行卡、余额宝转入、还款、扣款取消、优惠活动等方面的具体操作方法或说明后，用户感到满意。,212,0.924,101,1.01,0.832,1.226,0.782,45,0.45,0.337,0.602,0.263,10,1.053,0.573,1.927,1.073,13,1.317,0.771,2.24,2.591,43,4.3,3.208,5.742,4.3,12.43,1.0928,0.6213,5.54,0.4869,0.2768,12.95,1.1387,0.6474,16.2,1.4249,0.81,52.89,4.6517,2.6445,5,,,助手语音1k,2026搜索,3.85,9.55,23,51,29,14,9,获取银行或支付账户操作指引,48.1,4.0,,在获得支付宝、微信支付、云闪付、美团月付、汇付天下等电子支付工具在注册登录、下载、转账、绑定或解绑银行卡、余额宝转入、还款、扣款取消、优惠活动等方面的具体操作方法或说明后，用户感到满意。
35,股票代码查询#35,用户输入一个股票代码（以四位数字为主），希望系统返回该代码对应的股票名称、行情或公司信息。,208,0.907,93,0.93,0.76,1.138,0.474,99,0.99,0.814,1.204,0.423,2,0.211,0.058,0.764,0.109,7,0.709,0.344,1.457,0.604,7,0.7,0.339,1.438,0.7,26.28,1.0256,1.3138,27.97,1.0917,1.3984,5.95,0.2321,0.2974,20.03,0.782,1.0017,19.77,0.7718,0.9887,5,,,2026搜索,助手头部1k,0.78,4.7,28,18,55,26,29,其他或无法判定的非金融查询,83.2,4.0,,用户输入一个股票代码（以四位数字为主），希望系统返回该代码对应的股票名称、行情或公司信息。
24,银行卡业务办理与异常处理,用户获得银行卡及相关账户的办理、注销、挂失补办、解冻/解除管控、限额查询、微信/手机银行绑定与转账等操作的具体流程或处理办法后即满足。,199,0.868,95,0.95,0.778,1.16,0.403,25,0.25,0.169,0.369,0.082,10,1.053,0.573,1.927,0.455,21,2.128,1.396,3.231,1.813,48,4.8,3.639,6.307,4.8,10.35,1.0951,0.5175,2.72,0.2881,0.1362,11.47,1.2131,0.5733,23.18,2.452,1.1588,52.28,5.5318,2.6142,5,,,助手语音1k,2026搜索,4.55,19.2,26,64,29,11,6,获取银行或支付账户操作指引,42.7,4.0,,用户获得银行卡及相关账户的办理、注销、挂失补办、解冻/解除管控、限额查询、微信/手机银行绑定与转账等操作的具体流程或处理办法后即满足。
63,查询金融品种价格走势图,用户获得黄金、铂金、钯金等贵金属及富时A50等金融品种的价格走势图、实时走势图或K线图后即满足。,190,0.828,58,0.58,0.449,0.749,0.444,101,1.01,0.832,1.226,0.93,17,1.789,1.12,2.847,0.887,9,0.912,0.48,1.724,0.95,5,0.5,0.214,1.165,0.5,12.11,0.7002,0.6054,21.08,1.2192,1.054,37.35,2.16,1.8673,19.03,1.1007,0.9515,10.44,0.6035,0.5218,5,,,助手头部1k,助手语音1k,1.289,3.58,50,17,14,20,36,查询历史价格走势图,86.3,4.0,True,用户获得黄金、铂金、钯金等贵金属及富时A50等金融品种的价格走势图、实时走势图或K线图后即满足。
69,大盘走势查询,用户想要查看当日或实时的大盘指数走势，在获得相关走势图或点位数据后即可满足。,176,0.767,83,0.83,0.67,1.028,1.158,74,0.74,0.59,0.928,1.21,12,1.263,0.724,2.195,1.452,5,0.507,0.217,1.18,0.518,2,0.2,0.055,0.726,0.2,23.45,1.0818,1.1726,20.91,0.9644,1.0453,35.68,1.646,1.7841,14.31,0.6601,0.7155,5.65,0.2606,0.2825,5,,,助手头部1k,助手语音1k,1.063,6.32,36,27,24,35,48,查询金融资产实时行情,81.2,4.0,,用户想要查看当日或实时的大盘指数走势，在获得相关走势图或点位数据后即可满足。
56,银行信用卡客服电话查询,用户得到目标银行信用卡的人工客服电话或客服电话号码后即满足。,172,0.75,102,1.02,0.841,1.237,1.274,44,0.44,0.328,0.59,0.408,0,0.0,0.0,0.403,0.0,9,0.912,0.48,1.724,0.777,17,1.7,1.064,2.706,1.7,25.05,1.3603,1.2527,10.81,0.5867,0.5403,0.0,0.0,0.0,22.39,1.2158,1.1196,41.75,2.2667,2.0874,4,助手头部1k,,助手语音1k,助手头部1k,1.7,inf,21,53,64,20,17,查找官方渠道与客服入口,61.6,3.0,,用户得到目标银行信用卡的人工客服电话或客服电话号码后即满足。
76,财经网站查询,用户输入财经或金融相关网站/平台名称后，希望获得对应的官网入口、行情中心或财经资讯页面，而不是泛泛的财经信息。,171,0.746,98,0.98,0.805,1.193,1.128,55,0.55,0.423,0.715,0.638,9,0.947,0.499,1.791,0.666,5,0.507,0.217,1.18,0.432,4,0.4,0.156,1.024,0.4,28.96,1.3146,1.4482,16.25,0.7377,0.8127,27.99,1.2706,1.3997,14.97,0.6794,0.7485,11.82,0.5365,0.591,5,,,2025搜索,助手语音1k,0.58,2.45,25,42,33,35,39,其他或无法判定的非金融查询,53.2,4.0,,用户输入财经或金融相关网站/平台名称后，希望获得对应的官网入口、行情中心或财经资讯页面，而不是泛泛的财经信息。
92,查询车险险种与保费理赔范围,用户获得车险应买险种、交强险和车损险的保障范围、出险后次年保费变化及购买建议后满意。,170,0.741,54,0.54,0.414,0.704,0.248,19,0.19,0.122,0.297,0.059,4,0.421,0.164,1.078,0.296,48,4.863,3.688,6.389,5.786,45,4.5,3.38,5.968,4.5,5.14,0.7286,0.2568,1.81,0.2563,0.0904,4.0,0.568,0.2002,46.25,6.5608,2.3126,42.8,6.0708,2.1399,5,,,助手随机1k,2026搜索,4.673,25.59,56,66,49,4,7,解释金融术语与基础规则,48.2,3.0,,用户获得车险应买险种、交强险和车损险的保障范围、出险后次年保费变化及购买建议后满意。
5,电话号码归属与用途查询,用户提供一个电话号码或机构名称，想查到该号码的归属机构/银行与用途，或该机构/事项对应的有效联系电话；得到准确、可核对的对应信息即满足。,169,0.737,91,0.91,0.742,1.116,0.675,70,0.7,0.555,0.883,0.261,3,0.316,0.107,0.924,0.19,1,0.101,0.018,0.572,0.086,4,0.4,0.156,1.024,0.4,37.5,1.2352,1.8748,28.84,0.95,1.442,13.01,0.4285,0.6505,4.17,0.1375,0.2087,16.48,0.5428,0.8239,5,,,2025搜索,助手随机1k,0.809,8.98,31,32,50,59,39,识别陌生电话号码归属,98.2,4.0,,用户提供一个电话号码或机构名称，想查到该号码的归属机构/银行与用途，或该机构/事项对应的有效联系电话；得到准确、可核对的对应信息即满足。
39,能源资源类股票查询,用户输入某只能源或资源类股票/公司名称后，获得对应股票的行情价格、基本信息或上市交易进展即满足。,166,0.724,69,0.69,0.546,0.872,0.33,91,0.91,0.742,1.116,0.637,3,0.316,0.107,0.924,0.129,3,0.304,0.103,0.89,0.432,0,0.0,0.0,0.383,0.0,31.09,0.9535,1.5544,41.0,1.2574,2.0498,14.22,0.4363,0.7112,13.69,0.4199,0.6846,0.0,0.0,0.0,4,助手语音1k,,2026搜索,助手语音1k,0.91,inf,43,20,50,50,60,查询金融资产实时行情,74.1,4.0,,用户输入某只能源或资源类股票/公司名称后，获得对应股票的行情价格、基本信息或上市交易进展即满足。
