claim,value,source_table,how_computed
AMI(bu family) 老 vs 新,0.7253（对照 fin02/fin03 = 0.6873，本领域高于对照）,analysis/pooled5/deliverables/金融_pooled5_labeled.parquet+runs/fin-pool/gen01/labels_full.csv,"adjusted_mutual_info_score(old_bu_family_final,new_bu_family_final)"
老类数 → 新类数,17 → 18,analysis/pooled5/deliverables/金融_pooled5_labeled.parquet+runs/fin-pool/gen01/labels_full.csv,匹配行上 nunique
"老类 解析纯代码标的(2,065) 的去向",64.3% 查询金融资产实时行情 / 35.2% 其他或无法判定,analysis/pooled5/work/金融/taxonomy_delta_crosstab.csv,1328/2065；726/2065
老类 进入官网或下载官方App(637) 的去向,77.1% 并入 查找官方渠道与客服入口,analysis/pooled5/work/金融/taxonomy_delta_crosstab.csv,491/637
老类 办理操作与账户问题求助(430) 的去向,62.3% 操作指引 / 10.7% 术语解释 / 10.0% 信贷规则 / 8.6% 账户事故,analysis/pooled5/work/金融/taxonomy_delta_crosstab.csv,"268/430, 46/430, 43/430, 37/430"
老类 获取投资判断/预测(120)、获取枚举清单或榜单(191) 的去向,36.7% / 51.8% 进入 寻求个股买卖与持有决策建议,analysis/pooled5/work/金融/taxonomy_delta_crosstab.csv,44/120；99/191
老类 计算金融金额或收益(777) 流向行情,25.2%,analysis/pooled5/work/金融/taxonomy_delta_crosstab.csv,196/777
纯字母数字串行占比,2025搜索 10.39% / 2026搜索 10.80% / 头部 0.53% / 长尾 0.10% / 语音 0.70%,analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,query.str.match(r'^[0-9a-zA-Z\.\s]+$') 的来源内均值
六条线的 TVD（td_l1_name）,时间 0.1446；界面 0.2810；深度 0.5254；界面+深度 0.7214；头部→语音 0.4104；长尾→语音 0.3270,analysis/pooled5/work/金融/contrast_summary_td_l1_name.csv; analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,0.5*Σ|来源内占比a-占比b|，逐条与 contrast_summary 一致
同串必然同标签,"11,755 行落在重复串上（其中 6,117 行是重复出现的副本）；拿到两个 td_l1_name 的字符串 0 个，两个 bu_leaf_name 的 0 个",analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,"df['query'].duplicated(keep=False).sum()=11,755（任务书口径）；df['query'].duplicated().sum()=6,117；df.groupby('query')[['td_l1_name','bu_leaf_name']].nunique() 中 >1 的计数各为 0"
2025/2026 逐字重合,"5,446 个共有字符串 = 54.48%；两侧各 5,447 行；换血 45.5%",analysis/pooled5/work/金融/overlap.csv; analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,"overlap.csv[2025search,2026search]=0.5448；set 交集与行内 isin 计数"
时间线位移全部来自换血,"共有串两侧分布完全相同（构造必然，行情均 68.13%、股吧均 8.28%）；2025 独有 4,551 行：行情 37.62/股吧 13.67/官方渠道 10.77/残余 9.80/计算 5.76/术语 5.54；2026 独有 4,552 行：行情 59.84/股吧 21.13（合计 80.97）",analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,按是否在共有串集合内分组后的 td_l1_name 行占比；验算 0.5447*68.13+0.4553*37.62=54.24=shares_td_l1_name
两年 pv 总量（不作结论）,"8,087,798 → 10,896,589；今日金价 500,270 → 805,760",analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,"清洗后 kept 行的 pv_raw 求和 = 8,087,798 / 10,896,589；composition.csv 的 pv_raw 是清洗前值 8,088,610 / 10,896,795，两者相差 812 / 206。正文只用 8.09M → 10.90M 的量级，两口径一致"
界面线按截断深度控制后,"TVD 0.2810 → 0.3537；行情 -13.94pp → -33.18pp [-37.02,-29.19]；账户事故 +5.89pp → +6.11pp [+4.70,+7.81]",analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,"取 2026search 按 pv_raw 前 1,000 行与 assistant_top 重比；区间用 analysis/pooled5/pooled5_common.py 的 newcombe（同一实现重算原界面线可逐行复现 diffs_td_l1_name.csv）"
股吧那一项是截断深度造的,"全量 -13.92pp [-14.63,-13.05] → 同深度 -2.19pp [-3.35,-1.23]（搜索前1k 股吧仅 2.40%）",analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,同上
搜索自身头部效应,全1万→前1k：行情 +19.24pp、股吧 -11.73pp,analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,同上
助手头部的 pv 被清洗决定,"清洗共删 50 行 = 5.0% 的行、119,414pv = 42.32% 的 pv；其中 tier=S1_system_repeated 45 行 = 115,955pv = 41.10%，S1 里纯确认语 42 行 = 115,567pv = 40.96%（另 3 行为资讯标题/推广串）；👌好的，继续吧 37,947pv、🆗行，继续吧 36,525pv",analysis/pooled5/work/金融/composition.csv; analysis/pooled5/work/金融/cleaning_removed.csv; analysis/pooled5/work/金融_all_rows.parquet,"composition.drop_%=5.0, pv_drop_%=42.32；all_rows(domain=金融, source=assistant_top) 按 tier 分组的 count/pv_raw 求和：S1 45/115,955、S2 1/2,748、S5 4/711、user 950/162,732，来源 pv 合计 282,146"
助手头部剩余 pv 仍集中,top20 行占该来源 pv 的 27.4%,analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,assistant_top 按 pv_raw 排序前20 的 pv 和 / 全部 pv 和
头部/长尾逐字重合,0.0,analysis/pooled5/work/金融/overlap.csv,"overlap.csv[assistant_top,assistant_random]"
长度（中位/p90/最长）,2025搜索6/12/53；2026搜索6/11/26；头部7/13/157；长尾14/25/411；语音12/22/46,analysis/pooled5/work/金融/form.csv; analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,form.csv 的 len_median/len_p90；max 为逐行复算 query.str.len()
≤6字 / ≥20字 行占比,头部 48.3% / 0.6%；长尾 4.0% / 16.5%；语音 14.3% / 14.3%,analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,query.str.len() 阈值后的来源内均值
语音离长尾更近（比值）,对长尾 TVD 0.3270 ÷ 对头部 0.4104 = 0.80（医疗同一比值 0.53）,analysis/pooled5/work/金融/contrast_summary_td_l1_name.csv; analysis/pooled5/work/dom_med.md,两条线的 tvd 相除
语音的换算语占比,来源内：2025搜索 8.08 / 2026搜索 6.08 / 头部 6.63 / 长尾 2.33 / 语音 7.20；『计算具体金额或利率』类内：2025搜索 58.5（n=383）/ 2026搜索 60.7（n=178）/ 头部 42.1（n=19）/ 长尾 24.4（n=45）/ 语音 41.4（n=111）——语音高于长尾，但低于两侧搜索，不是语音独有特征,analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,正则 (等于多少|相当于多少|兑换?|折合|换算|汇率) 的来源内均值与 td_l1_name='计算具体金额或利率' 的类内均值；五个来源一起算，不能只对长尾比
语音未去重,"1,000 行 885 个不同串（115 行重复，来自 77 个串）；其余来源 9,997/9,998、9,998/9,999、942/950、987/987",analysis/pooled5/work/金融/../voice_profile.txt; analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,df.groupby('source')['query'].nunique() 与行数比较
语音的仪器特征,标点 1.5%（长尾 25.2%）；最长 46 字；≥38字 1.00%,analysis/pooled5/work/金融/../voice_profile.txt; analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,voice_profile 汇总表；query.str.len() 复算
疑问句 / 是非核实（行占比）,疑问句 13.1/7.5/20.8/65.3/52.7；是非核实 1.8/0.7/5.6/18.8/14.0,analysis/pooled5/work/金融/form.csv,form.csv 对应列×100，顺序 2025搜索/2026搜索/头部/长尾/语音
时效词（唯一搜索不输给助手的标记）,9.6/9.9/14.2/8.7/6.0,analysis/pooled5/work/金融/form.csv,form.csv 时效词列×100
回指上文（自行复算口径）,2026搜索 0.01% / 头部 1.16% / 长尾 1.32% / 语音 0.40%,analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,正则 (这只|这个股|这支|上面|你说的|你告诉我|刚才|前面那|上述|这三只|这两只|这份|这张)
语义近邻分档（以2026搜索为池）,完全相同(cos≥0.999)：2025搜索54.8% / 头部52.4% / 长尾0.2% / 语音6.5%；<0.70：4.7/18.6/65.7/44.8,analysis/pooled5/work/金融/digest.txt [9]; analysis/pooled5/work/semantic_nn.log,semantic_nn.parquet 取 nn_rank 最优行后分档
同域随机搜索对基线,p50 0.350 / p90 0.534 / p99 0.653,analysis/pooled5/work/semantic_nn.log,日志『随机同域搜索对 cos』行（金融段）
cos≥0.999 ≈ 逐字相同（实测）,"2025搜索 5,447/5,482=99.4%；头部 496/498=99.6%；语音 65/65=100%；例外全为大小写/空格变体",analysis/pooled5/work/semantic_nn.parquet; analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,取 sim>=0.999 的行，检查 query 是否在 2026search 的字符串集合内
逐字重合两种分母不可混用,"语音按不同字符串 30/885=3.4%（overlap.csv），按行 65/1,000=6.5%",analysis/pooled5/work/金融/overlap.csv; analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,overlap.csv 按 distinct；近邻表按行
包装对,头部 361 对/同意图 50.7%/中位+4字；长尾 216/22.7%/+10；语音 385/27.0%/+9,analysis/pooled5/work/wrap_summary_金融_影视.csv,domain=金融 三行
包装对换意图的主去向,头部 其他→处置账户异常43、→行情38；语音 其他→计算金额72、→官方渠道48、→操作指引46；长尾 行情→个股决策37,analysis/pooled5/work/wrap_pairs_金融_影视.csv,"domain=金融、same_intent=False 后按 (core_td,wrap_td) 计数"
体系适配度,td置信度均值 0.883/0.914/0.809/0.606/0.675；<0.5 的行 6.49%/3.53%/11.47%/34.95%/27.70%,"analysis/pooled5/work/金融/fit.csv; analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,",fit.csv 前两列；<0.5 为逐行复算 (td_confidence<0.5).mean()
金标集构成,"3,200 行：2025搜索1,409 / 2026搜索1,348 / 语音163 / 长尾154 / 头部126（搜索占 86.2%）",runs/fin-pool5/gen01/gold.csv; runs/fin-pool5/gen01/corpus.parquet,gold.csv 的 idx 回接 corpus.parquet 行序（与 all_rows 中 tier=user 行一一对齐，query 匹配率 100%）后取 source
分类器整体与最弱五类,cv_accuracy 0.8772、macro_f1 0.7338；借款渠道 F1 0.400、市场动态 0.444、产品比较 0.529、账户事故 0.571、残余 0.648,runs/fin-pool5/gen01/topdown_metrics.json,cv_accuracy / macro_f1 / report 逐类 f1-score
与统一13类框架的对比,"覆盖 11,936 行、U 覆盖率 100%、AMI 0.4514、NMI 0.4541；语音的 U 覆盖率仅 6.5%",analysis/pooled5/work/金融/vs_unified_crosstab_by_source.csv; analysis/sva2026/work/*,按 p5_vs_unified.py 的 umap() 重建 query→u_ds 映射后复算（cross/vs_unified_summary.csv 落盘版本不含金融行）
残余类在统一框架下的拆分,2026搜索(640)：裸实体75.0/无法判定10.9/导航直达8.9；头部(90)：裸实体41.1/无法判定16.7；长尾(166)：无法判定22.3/个案判断15.1/事实数值14.5/核实动态11.4/解释介绍9.6/会话指令3.0,analysis/pooled5/work/金融/vs_unified_crosstab_by_source.csv,td_l1_name=其他或无法判定的非金融查询 行的 U 列占比
搜索残余基本就是裸代码,2026搜索残余 640 行中 389 行是纯字母数字串 = 60.8%,analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,source=2026search & td_l1_name=残余 后 query.str.match(r'^[0-9a-zA-Z\.\s]+$')
个案判断与建议（统一框架）,长尾 24.42% / 头部 8.11% / 2026搜索 0.33%,analysis/pooled5/work/金融/vs_unified_shares.csv,"frame=统一13类, label=个案判断与建议"
本体系在金融上是合并而非细分,U行数≥50 的类中被切成≥2块（各≥20%）的有 0 个；反向有 8 个本体系类在合并多个 U 类,analysis/pooled5/work/金融/vs_unified_crosstab_by_source.csv,按 p5_vs_unified.py 的 splits/merges 判据复算
最大合并例,"查询金融资产实时行情(7,000行)=裸实体52%+事实与数值46%；查找官方渠道与客服入口(520)=事实与数值44%+导航直达42%",analysis/pooled5/work/金融/vs_unified_crosstab_by_source.csv,crosstab 行内占比
U05 核实与动态 最散,306 行散成 市场动态19%/个股决策15%/平台真伪12%/电话归属11%，无一过20%,analysis/pooled5/work/金融/vs_unified_crosstab_by_source.csv,crosstab 列内占比
行情类的串分散度（反证用）,"2026搜索 6,435 行 6,435 个不同串，hhi_strings 0.000155，top1 pv 9.01%，top5 pv 20.90%",analysis/pooled5/work/金融/concentration_td_l1_name.csv,"source=2026search, label=查询金融资产实时行情 行"
官方风险筛命中,全语料 5 行 = 0.022%；per_1k 0.1/0.0/0.0/3.04/1.0,analysis/pooled5/work/金融/risk_screen.json; analysis/pooled5/work/金融/risk_by_source.csv,"total_flagged=5, total_share=0.00022；risk_by_source 的 per_1k"
官方筛在本体系『个股决策』类上的召回,3/648 = 0.46%,analysis/pooled5/work/金融/risk_screen.json; analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,flag_mask_indices 回接 row_id 后按 td_l1_name 统计
官方筛对『借款渠道』类的召回,0/30,analysis/pooled5/work/金融/risk_screen.json; analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,同上
官方正则可复现,按 configs/domains/finance_zh.yaml 的 risk_categories 正则重跑，得到同样 5 行,configs/domains/finance_zh.yaml; analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,三类 patterns+keywords 合并为一个正则后 str.contains
危害代理命中率（行占比%）,【未通过独立复算，只作量级参考】个股操作建议 0.16/0.07/3.79/5.98/1.40；标的推荐 0.75/0.69/2.74/2.13/0.70；平台真伪 0.93/0.27/0.74/1.22/0.00；许可式提问 0.02/0.02/0.11/1.11/1.20；无征信借款 0.12/0.02/0.00/0.41/0.30；催收 0.08/0.03/0.21/0.30/0.10；套现代还 0.03/0.01/0.00/0.20/0.20,analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,七条正则的来源内 str.contains 均值，顺序 2025搜索/2026搜索/头部/长尾/语音。【缺陷】七条 pattern 未在本表逐字留档，§6 表内括注只覆盖 3 行且仅部分枚举；独立复核按括注复原后重跑与本表最大差 1.83pp（个股操作建议·长尾 4.15 vs 5.98）。补齐 pattern 并重跑前，本行标注为未通过独立复算
借款渠道类的分布,"30 行：搜索 24（2025搜索18+2026搜索6）、长尾1、头部1、语音4；卡农社区 2025 3,055pv / 2026 4,207pv",analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,td_l1_name=寻求应急或无征信门槛借款渠道 的逐行列举
个人信息暴露,疑似手机号 0 行、18位身份证号 0 行、16–19位卡号 0 行；含『身份证』字样 20 行（2025搜索3/2026搜索2/头部0/长尾8/语音7），均不含任何号码——其中 16 行为办理条件类提问、4 行为身份被冒用/被骗风险叙述；涉未成年 3 行（2025搜索2、长尾1），均为账户年龄限制类、不涉性内容,analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,"正则 1[3-9][0-9]{9} / [0-9]{17}[0-9Xx] / [0-9]{16,19} / 身份证 / (未成年|小学生|初中生|1[2-7]岁|儿童)；20 行的性质分类由独立复核逐行判读（verify_fin.md A4）。全程只给条数与来源分布，不引原文"
站点引流串,2025搜索 40 行 0.41%pv；2026搜索 19 行 0.06%pv；43/59 落进 查找官方渠道与客服入口（该类内 2025搜索29行 → 2026搜索14行，净减15行=0.15pp，占该类 -3.84pp 的约4%）；另有成人站点引流形态 6 行（2025搜索5、2026搜索1），其中 5 行落在上述引流串集合内,analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,正则 (免费|无需下载|不用下载|免费入口|网站入口|最新版下载安装|排名前十)；类内占比按 td_l1_name='查找官方渠道与客服入口' 分来源计数，0.15pp = 29/9998 − 14/9999；成人形态按 (9\.1|91) 与 (网站|黄金网|视频|app) 同现后人工核对，只给条数不引原文
线索获取形态（金融侧很小）,助手头部 8 行、占该来源 pv 1.26%；2025搜索 2.28%行/2.42%pv。与 dom_med.md 的 5.64% 不可直接比（两条不同正则）：同一条金融正则下医疗头部 1.49%pv，同一条医疗正则下金融头部 2.02%pv vs 医疗 5.64%pv,analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,正则 (留电话|留手机|在线咨询|免费咨询|预约|客服电话|人工客服|24小时) 的来源内行数与 pv 占比；跨领域对比须用同一条正则，医疗侧数值取自 verify_fin.md A3 的同尺重算
运行自带 分层对比 文档的对比轴,"comparison_axis=stratum, snapshot_column=surface —— 该运行从未比较 2025 与 2026",runs/fin-pool5/gen01/config.resolved.yaml,data.comparison_axis / data.snapshot_column
该文档的时间陈述不可引用,文中写『两层来自同一时间段』，与搜索7月初/助手8月下旬不符,runs/fin-pool5/gen01/分层对比_头尾结构差异.md,§2.2 引文
两张汇总表不含金融行,taxonomy_delta_summary.csv 只剩 影视 与 对照 两行；cross/vs_unified_summary.csv 只剩 影视 一行,analysis/pooled5/work/taxonomy_delta_summary.csv; analysis/pooled5/work/cross/vs_unified_summary.csv,直接读表；两表在五个领域间被逐次覆盖
时间信息的出处（非运行产物）,搜索两个快照 7 月初；助手约 8 月下旬；语音时间未知,analysis/pooled5/work/agent_brief.md,任务书 agent_brief.md 硬性规则 4 的陈述，运行产物里没有时间字段；§3.2 每日答题、§8 对分层对比文档的拒绝引用都依赖它
两年独有串的 pv 前五（§3.1 例子清单的口径）,"2025 独有：6000泰铢是多少人民币15,632 / 金价格今日最新7,200 / 600643 7,040 / 同宇新材值得申购吗?6,868 / 免费行情网站.www6,749；2026 独有：闪迪股票47,994 / 康宁股票32,406 / spacex股票21,671 / 黄金大盘的价格17,230 / 韩国股市实时行情13,254",analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,"两年 query 集合取差集后各自 nlargest(5,'pv_raw')。原稿标为『按 pv』的两份清单实为人工挑选（verify_fin.md A5），已改为真正的 pv 前五；另列的 太极实业股票股吧2,426 / 华润新能源股吧2,059 明确标注为非头部"
助手侧『账户事故+个股决策』合计占比（§7-1 的量级）,头部 6.11+9.16=15.3%；长尾 3.04+27.96=31.0%；语音 3.70+9.00=12.7%,analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,来源内 td_l1_name 为『处置账户异常与非预期扣款』『寻求个股买卖与持有决策建议』的行占比之和；用于把 §7-1 的『一半』降级为可核的量级
"危害代理命中的并集量级（替代原『1,000 行量级』）",约 540 行次（上界）、去重后约 450 行,analysis/pooled5/work/verify_fin.md §A2,上界 = 本文 §6 代理表七行百分比 × 各来源 n 相加 = 543 行次（含重复计数），并集只会更小；独立复核按 §6 括注复原七条正则重跑得 459 行次 / 去重 445 行。正文取『约 540 行次、去重后约 450 行』
