claim,value,source_table,how_computed
老体系最大类被切成药品/非药品两半,查询药/材/食物/保健品功效与主治 n=5904 → 中药材食材功效 53% + 药品功效 44%,analysis/pooled5/work/医疗/taxonomy_delta_crosstab.csv,该列求和 5904；列内各行/列和。53%=3138/5904=0.5315，44%=2584/5904=0.4377
这一刀落在助手行最稀薄处,两个去向类的 assistant_share 分别为 0.0770 与 0.0350，是全表最低的两个,analysis/pooled5/work/医疗/taxonomy_delta_newclass_mix.csv,assistant_share 升序前两行
被打散、没有对应新类的老类,求症状/皮损图片进行自我比对或自测（n=412，最大去向 37%）；怀孕、避孕与生育相关自我判断（n=190，最大去向 39%）,analysis/pooled5/work/医疗/taxonomy_delta_crosstab.csv,逐列：col.sum() 得 n，col.max()/col.sum() 得最大去向占比
时间线 2025search→2026search：仅给出名称的裸实体查询,"18.56% → 11.32%，-7.24pp [-8.22,-6.26]",analysis/pooled5/work/医疗/diffs_td_l1_name.csv,"筛 a=2025search b=2026search label=仅给出名称的裸实体查询；share_a=1856/9998, share_b=1132/9998；diff_pp/lo_pp/hi_pp 为 Newcombe 95% 区间，sig=True"
时间线 2025search→2026search：查询药品的功效与作用,"12.39% → 16.59%，+4.20pp [+3.23,+5.18]",analysis/pooled5/work/医疗/diffs_td_l1_name.csv,"筛 a=2025search b=2026search label=查询药品的功效与作用；share_a=1239/9998, share_b=1659/9998；diff_pp/lo_pp/hi_pp 为 Newcombe 95% 区间，sig=True"
时间线 2025search→2026search：查询中药材/食材/茶饮的功效与作用,"15.87% → 17.68%，+1.81pp [+0.77,+2.85]",analysis/pooled5/work/医疗/diffs_td_l1_name.csv,"筛 a=2025search b=2026search label=查询中药材/食材/茶饮的功效与作用；share_a=1587/9998, share_b=1768/9998；diff_pp/lo_pp/hi_pp 为 Newcombe 95% 区间，sig=True"
时间线 2025search→2026search：查询中医方剂组成、经络穴位与中医理论,"1.33% → 2.26%，+0.93pp [+0.56,+1.30]",analysis/pooled5/work/医疗/diffs_td_l1_name.csv,"筛 a=2025search b=2026search label=查询中医方剂组成、经络穴位与中医理论；share_a=133/9998, share_b=226/9998；diff_pp/lo_pp/hi_pp 为 Newcombe 95% 区间，sig=True"
时间线整体距离,TVD 0.0899；Cramér's V 0.1225；8 个显著类,analysis/pooled5/work/医疗/contrast_summary_td_l1_name.csv,"a=2025search b=2026search 行；TVD 自行复算 = 0.5*Σ|share_a-share_b|，用 analysis/pooled5/deliverables/医疗_pooled5_labeled.parquet 的 crosstab(td_l1_name, source, normalize='columns') 得同值 0.0899"
两年 Top-1万 的逐字重合,63.3%（6329/9998 条串）,analysis/pooled5/work/医疗/overlap.csv,单元格 [2025search][2026search]=0.6330266；自行复算：两来源 query 集合交集大小 6329，除以 9998
时间线的位移全部落在榜单换血这一项上（分解恒等式，非独立证据）,共有串两侧必然同分布：标注是 query 文本的确定性函数（全语料 6455 个重复串、13184 行，无一串拿到两个不同的 td_l1_name），故一致率 1.0 不含信息；位移 = 36.7% 换血 ×（进榜占比 − 掉榜占比），共有的 63.3% 贡献为 0,自行复算（analysis/pooled5/deliverables/医疗_pooled5_labeled.parquet）,"把两年各自按 query 是否落在交集里分成 shared/only；对每一组算 (td_l1_name==cls).mean()。shared 两侧按 query 合并后 (td_l1_name_25==td_l1_name_26).mean()=1.0，n=6329——但这是构造必然：对全语料所有重复串检查 td_l1_name/bu_leaf_name/td_confidence 的取值数，出现两个不同取值的串数均为 0（复核 B-6）。脚本 scratchpad/med_time2_dommed.py。注意：该 parquet 由 p5_deliverables.py 按 sort_values(['source','pv_norm']) 排序后 index=False 落盘，行序不是语料序；任何按位置的回接必须用 row_id 列，不能用 iloc。"
换血两侧的裸实体占比落差,掉榜串 23.71%（n=3669）vs 进榜串 3.98%（n=3669）,自行复算（analysis/pooled5/deliverables/医疗_pooled5_labeled.parquet）,同上脚本，only25 / only26 两组内 (td_l1_name=='仅给出名称的裸实体查询').mean()
换血两侧的药品功效占比落差,掉榜串 7.96% vs 进榜串 19.41%,自行复算（analysis/pooled5/deliverables/医疗_pooled5_labeled.parquet）,同上脚本，only25 / only26 两组内 (td_l1_name=='查询药品的功效与作用').mean()
2026搜索 pv 榜首两行是非医疗行,JXX 18973 + 太极实业 14952 = 33925，占该来源 kept pv 的 0.65%,自行复算（analysis/pooled5/deliverables/医疗_pooled5_labeled.parquet）,筛 source=2026search 按 pv_raw 降序取前 2；分母 = composition.csv pv_raw 5208934 - pv_dropped 677 = 5208257；33925/5208257=0.00651
搜索行含医药公司/证券类词的比例,2026search 0.91%（91/9998）；2025search 0.59%（59/9998）,自行复算（analysis/pooled5/deliverables/医疗_pooled5_labeled.parquet）,query.str.contains('股份|生物|医药|药业|制药|集团|控股|股票|股吧')；含 '生物制药' 一类通名，故为上界
两年 pv 总量,"2025 9,736,913 → 2026 5,208,934",analysis/pooled5/work/医疗/composition.csv,pv_raw 列直读。两年 pv 口径是否可比未知，本文不据此下结论
界面线 2026search→assistant_top：处理非健康或无法归入上述意图的残余,"4.55% → 17.75%，+13.19pp [+10.87,+15.77]",analysis/pooled5/work/医疗/diffs_td_l1_name.csv,"筛 a=2026search b=assistant_top label=处理非健康或无法归入上述意图的残余；k_a=455/9998, k_b=170/958；sig=True"
界面线 2026search→assistant_top：查询药品的功效与作用,"16.59% → 3.55%，-13.04pp [-14.29,-11.50]",analysis/pooled5/work/医疗/diffs_td_l1_name.csv,"筛 a=2026search b=assistant_top label=查询药品的功效与作用；k_a=1659/9998, k_b=34/958；sig=True"
界面线 2026search→assistant_top：仅给出名称的裸实体查询,"11.32% → 22.13%，+10.81pp [+8.21,+13.61]",analysis/pooled5/work/医疗/diffs_td_l1_name.csv,"筛 a=2026search b=assistant_top label=仅给出名称的裸实体查询；k_a=1132/9998, k_b=212/958；sig=True"
界面线 2026search→assistant_top：查询就医科室、医院/医生导航与挂号入口,"1.66% → 7.62%，+5.96pp [+4.42,+7.83]",analysis/pooled5/work/医疗/diffs_td_l1_name.csv,"筛 a=2026search b=assistant_top label=查询就医科室、医院/医生导航与挂号入口；k_a=166/9998, k_b=73/958；sig=True"
界面线 2026search→assistant_top：解释自身症状的原因,"9.11% → 5.01%，-4.10pp [-5.44,-2.44]",analysis/pooled5/work/医疗/diffs_td_l1_name.csv,"筛 a=2026search b=assistant_top label=解释自身症状的原因；k_a=911/9998, k_b=48/958；sig=True"
界面线整体距离,TVD 0.3083；V 0.2479；10 个显著类,analysis/pooled5/work/医疗/contrast_summary_td_l1_name.csv,a=2026search b=assistant_top 行；TVD 自行复算同值
截断深度控制：把搜索也切到前1000行后，界面落差全部变大,"裸实体 +18.53pp [+15.68,+21.44]；残余 +15.25pp [+12.68,+17.92]；药品功效 -19.65pp [-22.54,-16.79]；就医导航 +7.62pp [+6.06,+9.47]",自行复算（analysis/pooled5/deliverables/医疗_pooled5_labeled.parquet）,"取 source=2026search 按 pv_raw 降序前 1000 行作为 a，assistant_top 958 行作为 b；各类 k/n 代入 pooled5_common.newcombe。区间以复核复算值为准（复核 B-12：就医导航 k_a=0，上界只依赖 wilson(73,958)=9.47）。脚本 scratchpad/med_depthctrl_dommed.py"
同深度下的 TVD,搜索前1k vs 助手头部1k = 0.4815（原界面线 0.3083）；搜索全10k vs 搜索前1k = 0.2392,自行复算（analysis/pooled5/deliverables/医疗_pooled5_labeled.parquet）,同上脚本，TVD=0.5*Σ|share_a-share_b|
搜索自身的头部效应方向与助手相反,搜索全10k→前1k：中药材功效 +11.72pp、药品功效 +6.61pp、裸实体 -7.72pp,自行复算（analysis/pooled5/deliverables/医疗_pooled5_labeled.parquet）,同上脚本的 Δ截断深度列
助手头部清洗带走的 pv 份额,删 4.2% 的行，带走 39.13% 的 pv,analysis/pooled5/work/医疗/composition.csv,source=assistant_top 行的 drop_% 与 pv_drop_%
被清掉的助手头部行是系统模板与续问碎片,25 行 S1_system_repeated + 14 行 S2_system_template + 3 行其它；14 条模板卡按 pv 依次为 23045（鼻炎养护）/22894（秋燥润燥）/22612（返校传染病）/22527（早晚凉与降压药）/22443（夏秋交替疲惫）…,analysis/pooled5/work/医疗/cleaning_removed.csv + analysis/pooled5/work/医疗_all_rows.parquet,cleaning_removed.csv 直读；逐条 pv 从 医疗_all_rows.parquet 筛 source=assistant_top & tier!='user' 按 pv_raw 降序（复核 B-8：原值 22894 跳过了 pv 最高的一条）
助手头部残余类里 ≤4 字的行占比,28.82%（49/170）,自行复算（analysis/pooled5/deliverables/医疗_pooled5_labeled.parquet）,筛 source=assistant_top & td_l1_name=残余，(query.str.len()<=4).mean()
助手头部的线索获取形态行,31 行，占该来源 kept pv 的 5.64%,自行复算（analysis/pooled5/deliverables/医疗_pooled5_labeled.parquet）,筛 source=assistant_top，query 命中 '留电话|在线咨询|免费咨询|预约|留手机|24小时|门店|哪家医院|多少钱'；pv 份额 = 命中行 pv_raw 之和 / 该来源 pv_raw 之和
深度线 assistant_top→assistant_random：仅给出名称的裸实体查询,"22.13% → 4.01%，-18.12pp [-21.05,-15.24]",analysis/pooled5/work/医疗/diffs_td_l1_name.csv,"筛 a=assistant_top b=assistant_random label=仅给出名称的裸实体查询；k_a=212/958, k_b=40/998；sig=True"
深度线 assistant_top→assistant_random：对具体行为、搭配或说法给出是否可行的裁决,"3.13% → 18.84%，+15.71pp [+13.06,+18.41]",analysis/pooled5/work/医疗/diffs_td_l1_name.csv,"筛 a=assistant_top b=assistant_random label=对具体行为、搭配或说法给出是否可行的裁决；k_a=30/958, k_b=188/998；sig=True"
深度线 assistant_top→assistant_random：查询中药材/食材/茶饮的功效与作用,"16.39% → 4.21%，-12.18pp [-14.88,-9.55]",analysis/pooled5/work/医疗/diffs_td_l1_name.csv,"筛 a=assistant_top b=assistant_random label=查询中药材/食材/茶饮的功效与作用；k_a=157/958, k_b=42/998；sig=True"
深度线 assistant_top→assistant_random：对正在发生的具体不适做分诊与处置判断,"0.21% → 4.71%，+4.50pp [+3.23,+6.01]",analysis/pooled5/work/医疗/diffs_td_l1_name.csv,"筛 a=assistant_top b=assistant_random label=对正在发生的具体不适做分诊与处置判断；k_a=2/958, k_b=47/998；sig=True"
深度线 assistant_top→assistant_random：解读用户本人的检查数值或报告分级,"1.57% → 5.81%，+4.25pp [+2.61,+5.99]",analysis/pooled5/work/医疗/diffs_td_l1_name.csv,"筛 a=assistant_top b=assistant_random label=解读用户本人的检查数值或报告分级；k_a=15/958, k_b=58/998；sig=True"
深度线 assistant_top→assistant_random：解释自身症状的原因,"5.01% → 8.72%，+3.71pp [+1.47,+5.97]",analysis/pooled5/work/医疗/diffs_td_l1_name.csv,"筛 a=assistant_top b=assistant_random label=解释自身症状的原因；k_a=48/958, k_b=87/998；sig=True"
深度线整体距离，是四条线里最大的,TVD 0.3921；V 0.4850；12 个显著类,analysis/pooled5/work/医疗/contrast_summary_td_l1_name.csv,a=assistant_top b=assistant_random 行；与界面线 0.3083 相比
助手头部与助手长尾逐字重合为 0,0.0,analysis/pooled5/work/医疗/overlap.csv,单元格 [assistant_top][assistant_random]=0.0
语音线 assistant_top→assistant_voice：对具体行为、搭配或说法给出是否可行的裁决,"3.13% → 26.0%，+22.87pp [+19.94,+25.83]",analysis/pooled5/work/医疗/diffs_td_l1_name.csv,"筛 a=assistant_top b=assistant_voice label=对具体行为、搭配或说法给出是否可行的裁决；k_a=30/958, k_b=260/1000；sig=True"
语音线 assistant_top→assistant_voice：仅给出名称的裸实体查询,"22.13% → 8.4%，-13.73pp [-16.88,-10.59]",analysis/pooled5/work/医疗/diffs_td_l1_name.csv,"筛 a=assistant_top b=assistant_voice label=仅给出名称的裸实体查询；k_a=212/958, k_b=84/1000；sig=True"
语音线 assistant_top→assistant_voice：查询中药材/食材/茶饮的功效与作用,"16.39% → 8.1%，-8.29pp [-11.20,-5.40]",analysis/pooled5/work/医疗/diffs_td_l1_name.csv,"筛 a=assistant_top b=assistant_voice label=查询中药材/食材/茶饮的功效与作用；k_a=157/958, k_b=81/1000；sig=True"
语音线 assistant_top→assistant_voice：解释自身症状的原因,"5.01% → 11.2%，+6.19pp [+3.79,+8.62]",analysis/pooled5/work/医疗/diffs_td_l1_name.csv,"筛 a=assistant_top b=assistant_voice label=解释自身症状的原因；k_a=48/958, k_b=112/1000；sig=True"
语音线 assistant_top→assistant_voice：在两个或几个选项之间给出裁决,"0.31% → 3.3%，+2.99pp [+1.87,+4.30]",analysis/pooled5/work/医疗/diffs_td_l1_name.csv,"筛 a=assistant_top b=assistant_voice label=在两个或几个选项之间给出裁决；k_a=3/958, k_b=33/1000；sig=True"
语音线 assistant_random→assistant_voice：对具体行为、搭配或说法给出是否可行的裁决,"18.84% → 26.0%，+7.16pp [+3.51,+10.79]",analysis/pooled5/work/医疗/diffs_td_l1_name.csv,"筛 a=assistant_random b=assistant_voice label=对具体行为、搭配或说法给出是否可行的裁决；k_a=188/998, k_b=260/1000；sig=True"
语音线 assistant_random→assistant_voice：处理非健康或无法归入上述意图的残余,"19.54% → 14.7%，-4.84pp [-8.14,-1.54]",analysis/pooled5/work/医疗/diffs_td_l1_name.csv,"筛 a=assistant_random b=assistant_voice label=处理非健康或无法归入上述意图的残余；k_a=195/998, k_b=147/1000；sig=True"
语音线 assistant_random→assistant_voice：对正在发生的具体不适做分诊与处置判断,"4.71% → 1.6%，-3.11pp [-4.73,-1.60]",analysis/pooled5/work/医疗/diffs_td_l1_name.csv,"筛 a=assistant_random b=assistant_voice label=对正在发生的具体不适做分诊与处置判断；k_a=47/998, k_b=16/1000；sig=True"
语音更接近长尾而非头部,对长尾 TVD 0.1962 只有对头部 0.3733 的一半,analysis/pooled5/work/医疗/contrast_summary_td_l1_name.csv,两行 tvd 列相除 0.1962/0.3733=0.526
语音很可能是唯一一个未做去重的导出（重复率比其它来源高一个量级）,1000 行 885 个不同串（11.5% 是重复行）；助手头部 952/958（0.6% 重复）、助手随机 998/998、两个搜索来源均 100% 去重,analysis/pooled5/work/voice_profile.csv + analysis/pooled5/work/医疗/concentration_td_l1_name.csv,"voice_profile.csv 中 domain=医疗,source=assistant_voice 的 n=1000, distinct=885；其余来源用 concentration_td_l1_name.csv 按 source 对 n 与 distinct 求和：2025search 9998/9998, 2026search 9998/9998, assistant_top 958/952, assistant_random 998/998"
语音最高频重复串,功效 ×18；用电动牙刷刷脚底十分钟痒痒 ×6；黑枸杞的功效 ×6,analysis/pooled5/work/voice_repeats.csv,筛 domain=医疗 按 n 降序
语音的仪器特征：标点与长度上限,带标点行 1.3%；p95 长度 23.05 字；最长 42 字；≥38 字 0.5%。对照：助手随机带标点 35.5%、最长 985 字、≥38 字 6.51%,analysis/pooled5/work/voice_profile.csv,domain=医疗 的 标点/len_p95/len_max/'len>=38字%' 列，assistant_voice 与 assistant_random 两行
近邻相差 1–2 字的行占比（ASR 错字的上界代理）,语音 4.3%；搜索年际对照 7.5%；助手头部 8.5%；助手随机 1.2%,自行复算（analysis/pooled5/work/semantic_nn.parquet）,取 domain=医疗 分片，对每行算 query 与 nn_query 的 Levenshtein 距离（自写 DP，cap=3），统计 1<=d<=2 的行占比。脚本 scratchpad/med_asr_dommed.py。注意：编辑距离近不等于转写错误，索他洛尔→美托洛尔 是两种真实药物
疑问句/是非核实/第一人称/家庭成员（来源内行占比）,疑问句 40.5/33.8/64.7/56.1；是非核实 4.5/5.8/25.7/25.0；第一人称 0.1/0.4/7.4/2.7；家庭成员 0.4/0.5/2.3/1.7（顺序：2026搜索/助手头部/助手随机/助手语音）,analysis/pooled5/work/医疗/form.csv,各列原值×100 保留 1 位；例如 2026search 是非核实 0.0453090618→4.5
长度分布,中位 10/7/13/11 字；p90 14/12/29/20 字（2026搜索/助手头部/助手随机/助手语音）,analysis/pooled5/work/医疗/form.csv,len_median、len_p90 列直读
助手头部 ≤6 字行占比 / 助手随机 ≥20 字行占比,≤6 字：助手头部 48.0%、搜索前1k 4.9%、2026搜索全10k 13.6%；≥20 字：助手随机 19.8%、助手语音 10.3%、2026搜索 0.3%,自行复算（analysis/pooled5/deliverables/医疗_pooled5_labeled.parquet）,按 source 分组 (query.str.len()<=6).mean() 与 (query.str.len()>=20).mean()；搜索前1k 为 source=2026search 按 pv_raw 降序前 1000 行
语义近邻分档（池 = 2026搜索 9998 行，bge-base-zh）,2025搜索 完全相同 63.3%/中位 1.000；助手头部 26.5%/0.881；助手随机 0.1%/0.641；助手语音 1.0%/0.682；<0.70 的比例 4.1/26.8/73.2/57.6,analysis/pooled5/work/医疗/digest.txt [9] + analysis/pooled5/work/semantic_nn.log,digest [9] 表直读；semantic_nn.log 的『医疗』段落给出同一组数字与分档例子。『完全相同』的定义是余弦 ≥0.999
同域随机搜索对的相似度基线,p50 0.299 / p90 0.450 / p99 0.572,analysis/pooled5/work/semantic_nn.log,『===== 医疗』段第一行『随机同域搜索对 cos』
在本领域『完全相同(cos>=0.999)』与『逐字相同』是同一件事（实测，非假定）,cos>=0.999 的行 99.98% 也在 2026搜索串集合中逐字命中：2025搜索 6329/6330、助手头部 254/254、助手随机 1/1、语音 10/10；唯一例外是大小写对 Hpv→hpv。6595 对中有 17 对最近邻文本≠原串，全部是大小写/全半角变体,自行复算（analysis/pooled5/work/semantic_nn.parquet + analysis/pooled5/deliverables/医疗_pooled5_labeled.parquet）,对 domain=医疗 的每个来源，取 sim>=0.999 的行，检查其 query 是否落在 set(2026search 的 query) 中（复核 B-9：原文写的 100% 与 6329/6330 自相矛盾）。脚本 scratchpad/med_nn_check_dommed.py
逐字重合（按不同字符串计）,2025搜索→2026搜索 63.3%；助手头部→2026搜索 26.6%；助手随机→2026搜索 0.1%；语音→2026搜索 0.6%（5/885 个不同串）,analysis/pooled5/work/医疗/overlap.csv,矩阵按行读：行=A、列=B，值=A 的不同串里也出现在 B 的比例。注意这是 query 重合，数据里没有 user id，不能读成用户重合。overlap.csv 的分母是不同字符串数（语音 885），与语义近邻表里按行算的 1.0%（10/1000）不同分母，两者一致：5 个串在语音里出现 10 次
包装对数量、同意图率、中位加长,助手头部 216 / 13.4% / +4 字；助手随机 188 / 6.9% / +10 字；语音 224 / 8.5% / +8 字,analysis/pooled5/work/wrap_summary_医疗.csv,pairs / same_intent / median_added 三列直读（same_intent 为均值）
包装对的去向：核心几乎总是裸实体，外壳是一个动作,助手头部主要去向 中药材功效38/治疗方案35/症状清单28/药品功效27；助手随机与语音的头号去向变成 行为裁决（43/87 对）,analysis/pooled5/work/wrap_pairs_医疗.csv,"筛 same_intent=False，按 (core_td, wrap_td) 分组计数降序"
体系适配度：置信度与模糊率,td 置信度均值 0.831/0.826/0.794/0.609/0.673；p10 0.515/0.509/0.483/0.305/0.337；td 模糊% 0.97/1.03/1.04/4.21/3.20；bu 模糊% 12.28/12.05/17.01/29.36/24.70,analysis/pooled5/work/医疗/fit.csv,逐列直读，顺序 2025search/2026search/assistant_top/assistant_random/assistant_voice
td_confidence<0.5 的行占比,8.98% / 9.49% / 12.42% / 37.98% / 30.30%,自行复算（analysis/pooled5/deliverables/医疗_pooled5_labeled.parquet）,按 source 分组 (td_confidence<0.5).mean()。脚本 scratchpad/med_verify_dommed.py
承重类的分类器可靠性最低,残余 F1 0.500（P 0.529/R 0.474）；分诊 F1 0.500（R 0.394）；症状索药 F1 0.654；食疗做法 F1 0.561；整体 cv_accuracy 0.8355,runs/med-pool5/gen01/topdown_metrics.json,report 子对象逐类直读；cv_accuracy 为顶层字段
被判残余的助手行在通用13类框架下是什么,助手头部（n=170）：无法判定 38.2%、解释与介绍 15.9%、裸实体 9.4%、办事与操作 8.2%、个案判断 7.1%；助手随机（n=195）：无法判定 29.7%、解释与介绍 19.5%、个案判断 19.5%、事实与数值 9.7%,analysis/pooled5/work/医疗/vs_unified_crosstab_by_source.csv,"筛 (source, td_l1_name=处理非健康或无法归入上述意图的残余) 行，各 U 列 / 该行求和"
通用13类下个案判断与建议的来源内占比,2026搜索 8.09% / 助手头部 8.14% / 助手随机 33.67%,analysis/pooled5/work/医疗/vs_unified_shares.csv,筛 frame=统一13类 & label=个案判断与建议，按 source 读 share×100
本体系能接住个案的四个类在助手随机的合计占比,13.83%（分诊 4.71 + 本人结果解读 5.81 + 预后 2.71 + 症状索药 0.60）,analysis/pooled5/work/医疗/shares_td_l1_name.csv,source=assistant_random 的四行 row_share 相加；与上一行的 33.67% 对比得出缺口
通用框架对助手行同样吃力，不是本体系独有问题,无法判定 U13 的来源内占比：2026搜索 0.24% / 助手头部 12.00% / 助手随机 11.22%,analysis/pooled5/work/医疗/vs_unified_shares.csv,筛 frame=统一13类 & label=无法判定
本体系 vs 通用13类的整体一致度,AMI 0.3702；NMI 0.3731；U 覆盖率 100%；20 个挖掘类 vs 13 个 U 类；n=11954,analysis/pooled5/work/cross/vs_unified_summary.csv,domain=医疗 行直读。覆盖范围只有 2026search+assistant_top+assistant_random（2025搜索与语音未被 U 框架标注过）
本体系相对通用框架多出来的三处切分,U04 解释与介绍(6642行)→中药材功效28%+药品功效26%；U03 事实与数值(603)→诊疗费用26%+指标正常值24%；U09 获取现成内容(311)→裸实体28%+症状清单24%+中医方剂24%,analysis/pooled5/work/cross/vs_unified_splits.csv,domain=医疗 的三行 mined_classes 列直读
语境标记（自行复算，来源内行占比）,带年龄数字 0.1/0.1/0.1/1.8/1.7；在吃或术后 0.3/0.3/0.2/3.3/1.8；慢病名 3.6/3.4/5.3/5.0/5.2；儿童婴幼 0.6/0.6/1.0/2.3/2.7（顺序 2025搜索/2026搜索/助手头部/助手随机/助手语音）,自行复算（analysis/pooled5/deliverables/医疗_pooled5_labeled.parquet）,按 source 分组对 query 做 str.contains：年龄 r'\d+\s*(岁|个月大|周岁)'；在吃或术后 '(在吃|正在服|吃了|术后|手术后|出院|复查)'；慢病 '(高血压|糖尿病|冠心病|甲状腺|痛风|乙肝|肾病|结节|肿瘤|癌)'；儿童 '(孩子|宝宝|小孩|婴儿|儿童|小儿|幼儿)'。注意：『在吃或术后』的实际正则含 `吃了` 与 `手术后`，比正文原先印出的词表宽；去掉宽泛的 `吃了` 后为 助手随机 1.90 / 助手语音 1.40 / 2026搜索 0.09（复核 B-10）
许可式问法的来源内占比,2025搜索 0.8% / 2026搜索 1.0% / 助手头部 0.6% / 助手随机 6.6% / 助手语音 8.8%,自行复算（analysis/pooled5/deliverables/医疗_pooled5_labeled.parquet）,query.str.contains('能不能|能吃|可以吃|可以喝|能喝|能用|可以吗|行吗|会不会')。脚本 scratchpad/med_riskrecall_dommed.py
助手界面的推荐问法（chip）不足以解释许可式问法的升幅,清洗只从助手随机删掉 2 条 S4_suggested_chip、从助手头部删掉 1 条,analysis/pooled5/work/医疗/cleaning_removed.csv,tier=S4_suggested_chip 的行直读
中医词在搜索侧的行占比（复核补充，原 claims 表无此条）,2026search 0.90% / 2025search 0.75%（词表：中药|穴位|经络|湿气|阴虚|体质）,analysis/pooled5/deliverables/医疗_pooled5_labeled.parquet,按 source 分组对 query 做 str.contains('中药|穴位|经络|湿气|阴虚|体质')。正文原写的 1.3% 复算不出（复核 B-4）；加 `中医` 为 0.99%，再加 方剂/针灸/艾灸/拔罐 才到 1.48%
中药材功效类的串高度分散，不像内容农场撑起来的,2026搜索该类 1768 行 1768 个不同串；hhi_strings 0.00057；top1_pv_share 1.18%；top5_pv_share 4.34%,analysis/pooled5/work/医疗/concentration_td_l1_name.csv,source=2026search & label=查询中药材/食材/茶饮的功效与作用 行直读
风险筛命中率（每千行）,2025搜索 51.41 / 2026搜索 52.91 / 助手头部 45.93 / 助手随机 45.09 / 助手语音 15.00,analysis/pooled5/work/医疗/risk_by_source.csv,per_1k 列直读；hits 分别为 514/529/44/45/15，n 为各来源行数
