query,n_rows,sources,quotable_any,sid,in_report,in_docs,claude_lens
21天的小婴儿高烧怎么降温,1,assistant_voice,True,M428af85206f,False,False,True
21金维他,2,"2025search,assistant_top",True,Mc7929f2c952,False,False,True
21金维他多种维生素的功效与作用,2,"2025search,2026search",True,M688a053f49f,False,False,False
"21金维他怎么服用,是嚼服还是直接下咽",1,2026search_rand,True,M54b43f08e16,False,False,False
21金维他有减肥效果吗,1,assistant_random,True,Mb5989a9e221,True,False,True
21金维他的作用及功能主治,2,"2025search,2026search",True,M7f41487ceaf,False,False,False
22岁纪性不好吃什么补脑快,1,2026search_rand,True,M61dc862f676,False,False,True
22岁肥胖血糖高,1,2026search_rand,True,M4e623cffe63,False,False,True
22的需要多长时间终结,1,assistant_voice,True,Mc028e90270b,False,False,True
23个月宝宝稍微有点咳嗽能吃鳝鱼吗,1,2026search_rand,False,Mf0d02d89368,False,False,True
23价肺炎疫苗有没有必要打,1,2026search,True,Ma03866d4c85,False,False,False
23岁女孩子可以吃黄精么,1,2026search_rand,True,Mffc99272e65,False,False,True
23岁没有备孕计划,1,assistant_random,True,M573f036ca38,True,False,True
24h动态心电图怎么做,1,2026search_rand,True,M37bbe34bf37,False,False,False
24周出血了要不要,1,assistant_voice,True,M55af8bac1fb,True,False,True
24周是怀孕几个月,1,2025search,True,M594022167e8,False,False,True
24小时吃布洛芬能吃四次吗,1,assistant_voice,True,M8f497a3ebd7,False,False,True
24小时存在的真性幻听严重吗,1,2026search_rand,False,M65b878aac26,False,False,True
24小时尿蛋白定量多少算严重,2,"2025search,2026search",True,M22ae916de6c,False,False,False
24小时微量白蛋白高有什么问题,1,2025search_rand,True,M41bbe32b7ef,False,False,False
24小时避孕药和72小时避孕药哪个好,1,2026search_rand,False,Mc9e9359a279,False,False,True
24岁女孩半年不来月经是什么毛病,1,2026search_rand,True,M2bfd564b95f,False,False,True
25-羟基维生素d偏低是什么原因,1,2026search,True,Mf413c0a33d6,False,False,False
25羟基维生素D偏低,2,"2025search,2026search",True,Mfb45f02fa35,False,False,False
25羟基维生素d3正常范围,1,2025search_rand,True,Mc838321eef6,False,False,False
25羟维生素D是什么意思?,2,"2025search,2026search",True,Ma507bcee0a9,False,False,False
26年9月中旬排卵怀孕到27年几月份生,1,2026search_rand,True,Mcc58d91974b,False,False,True
27、齿轮样肌张力增高、铅管样肌张力增高、折刀样肌张力增高见于,1,2026search_rand,True,Mcbfda03a406,False,False,False
28岁女孩的肺活量怎么测,1,2026search_rand,True,M63f2958a3ff,False,False,True
29周胎儿标准对照表,1,2025search_rand,True,Ma30a2640b64,False,False,True
2a期结肠癌术后多长时间做一次增强ct,1,2025search_rand,True,Mb283c784707,False,False,False
2个月宝宝打卡介苗的地方化脓了怎么办,1,2026search_rand,True,M31d1e92e24a,False,False,True
2克的头孢曲松钠怎么配皮试,1,2025search_rand,True,M0320d9e7443,False,False,False
2公里跑步平均步频,1,2025search_rand,True,M71423b10f8f,False,False,False
2包泡面有多少热量,1,2026search_rand,True,Mff30a5ca673,False,False,False
2周宝宝过敏用马芷苋洗澡有用吗,1,2026search_rand,True,M2ba6a8436de,False,False,True
2型糖尿病,1,2025search,True,Mfa9a4ad7552,False,False,False
2型糖尿病是什么意思,2,"2025search,2026search",True,M1cbf2f8dc80,False,False,False
2小时喝2000ml的水,1,2026search_rand,True,M2f5462e39a8,False,False,False
2岁以下婴幼儿肌内注射时应选,1,2025search_rand,True,M14f8735ce4b,False,False,True
2岁全麻对小孩子智力有没有影响,1,2026search_rand,True,M6d01188798d,False,False,True
2岁半幼儿身高85体重20正常吗,1,assistant_voice,True,M4cb8e5617b9,False,False,True
2岁孩子吃健儿强骨颗粒可以同时吃补钙的药吗,1,2026search_rand,False,M52e2056bb69,False,False,True
2岁宝宝便秘严重太硬拉不出来怎么办,1,2026search_rand,True,M6fa22331db4,False,False,True
2岁宝宝屁眼痒是怎么回事?,1,2025search_rand,True,M6de73ba00a7,False,False,True
2岁宝宝拉肚子怎么办最快的方法,1,2026search_rand,True,M5c4928a4c8a,False,False,True
2岁宝宝晚上睡觉后背出汗多是什么原因,1,2025search_rand,True,M585e9dfbe31,False,False,True
2岁宝宝能喝念慈庵枇杷膏吗,1,2025search_rand,False,M003d0daee5b,False,False,True
2岁宝宝血糖5.2,1,2025search_rand,True,M19ad9a9ede4,False,False,True
2岁宝宝身高80体重十斤十公斤正常吗,1,assistant_voice,True,Mee26eea996b,False,False,True
2岁宝宝身高体重标准,1,2025search,True,M30793e702af,False,False,True
2岁宝宝远视500度能恢复吗,1,2025search_rand,True,Mc02320b1426,False,False,True
2岁宝宝阴道痒怎么办,1,2025search_rand,True,M9e050ab3d45,False,False,True
2岁小孩1型糖尿病,1,2026search_rand,True,M5f394c45f10,False,False,True
2年前是150度不戴眼镜2年后能应该多少度,1,2026search_rand,True,M25272b77acb,False,False,False
2指快了吗,1,2025search_rand,True,M0d67ab4fbc8,False,False,False
2根手指头2边手都发麻,1,assistant_voice,True,M0b5f17552aa,False,False,True
300克一条生鲈鱼有多少蛋白质,1,2026search_rand,True,M6f49305b30f,False,False,False
301医院,1,2026search,True,Md36cf73cd9a,False,False,True
301医院最擅长看什么病,1,2026search,True,Me393260678d,False,False,True
301研究所,1,2025search_rand,True,M7a47f4e3ce1,False,False,False
301解放军总医院,2,"2025search,2026search",True,Mefa3226320a,False,False,True
30x26x21的肌瘤是多大的,1,2025search_rand,True,M548551590a0,False,False,False
30多岁妇女大肚子怎么回事,1,2025search_rand,True,M397a73e709b,False,False,True
30岁以上眼睛度数还会增加吗?,1,2025search_rand,True,Mdb2a26faafa,False,False,True
30岁指甲凹凸不平是什么原因,1,2025search_rand,True,M7be57200982,False,False,True
30岁男性身高还会增加吗,1,2026search_rand,True,M2be826cc2dd,False,False,True
30斤宝宝恬倩一次用多少,1,2025search_rand,True,Mfa20b7afd52,False,False,True
31周时不时肚子胀正常吗,1,2025search_rand,True,M368333861c2,False,False,False
32周没吃晚饭测胎心会猛涨吗,1,2026search_rand,True,Mdc61ec8d73f,False,False,True
32周胎位头位还会变吗,1,2025search_rand,True,M429f0551eb5,False,False,True
32天宝宝喝茵栀黄口服液去黄疸几天见效,1,2025search_rand,True,M06183660b59,False,False,True
32岁外阴癌癌前病变是什么原因,1,2026search_rand,True,M2816a8cc83d,False,False,True
32岁大脑缺少增长激素还治吗,1,2026search_rand,True,Me7670c5e8b3,False,False,True
3350和奶粉一起喝还是空腹喝还是饭后喝,1,2026search_rand,True,Md1cc8527c3f,False,False,False
34✕44多大肌瘤,1,2026search_rand,True,Md5fbecb3a2d,False,False,False
34周胎儿双顶径8.4,1,2026search_rand,True,M82604e8c27a,False,False,True
35%氧浓度等于好多氧流量,1,2025search_rand,True,Mbc24823cd9b,False,False,False
3500米高海拔地区可以喝红枣冰糖水吗,1,2025search_rand,True,Mf22e6f403fc,False,False,False
35周孕妇体重多少正常,1,assistant_random,True,M78d590dc805,False,False,True
35天喝药流产对身体伤害大吗,1,2025search_rand,False,M6f5cc9259f0,False,False,False
35岁卵巢早衰还能怀孕吗,1,2025search_rand,True,M8a69f78e85c,False,False,True
35岁女性排卵期有点出血可以同房吗,1,2026search_rand,True,M688a24fcb26,False,False,True
35岁正常血压多少,1,assistant_voice,True,M0f67a5713d4,False,False,True
35岁脖子上长小肉粒是怎么引起的,1,2026search_rand,True,Mb10f1599a4c,False,False,True
36.6度是不是低烧,1,2026search_rand,True,M5fe1a13586f,False,False,False
36.8度算发烧吗 成人,1,2026search,True,M1826f8f720c,False,False,False
36.9度属于低烧还是正常,1,2026search,True,Mf387a62b5a2,False,False,False
36.9度算不算发热,1,2025search,True,Mb42d8594a37,False,False,False
36kcal是多少热量,1,2025search_rand,True,Mcab7b851aaf,False,False,False
37.1属于正常还是发烧,1,2026search,True,Mb2b81a227ff,False,False,False
37.1度算不算发烧,1,2025search,True,M129cbf606e8,False,False,False
37.2度算发烧吗 成人腋下,1,2026search,True,M48ae46e83d4,False,False,False
37.2是低烧吗,1,2026search,True,M0f6f72d8982,False,False,False
37.2的体温是正常还是发烧,1,2025search,True,Mf0c8212cc7e,False,False,False
37.3℃成人算发烧吗,1,2026search,True,Me89a953f745,False,False,False
37.3是发烧吗,1,2025search,True,Mdc043eb73a2,False,False,False
37.4度算发烧吗,1,2025search,True,M3a582381f2b,False,False,False
37.5度是低烧还是正常,1,2025search,True,M41b9ae40b73,False,False,False
37.5度算不算发烧,1,2025search,True,Mbb4d32ac477,False,False,False
37.5度算发烧吗,2,"2025search,2026search",True,M8b458093d7b,False,False,False
37.5算不算发烧,1,2026search,True,M40930865d49,False,False,False
37.6体温是发烧吗,1,2025search,True,M6731b2fe68b,False,False,False
37.6算发烧吗 大人,1,2026search,True,Mcbbc64e77dd,False,False,False
37.7度算发烧吗,1,2025search,True,M6f7fa579a05,False,False,False
37.7算低烧还是高烧,1,2026search,True,Md0dc3220031,False,False,False
37.8度低烧,1,2026search_rand,True,M85b558eff3b,False,False,False
37.8度算发烧吗,2,"2025search,2026search",True,M95c2e1561ee,False,False,False
375度是低烧还是正常体温,1,2026search_rand,True,Mab0afd76439,False,False,False
37周羊水破了正常吗,1,2025search_rand,True,M6cfbb4bf462,False,False,False
37岁的男孩子心脏瓣膜修复修复刚手术后可以吃羊肚菌和干贝炖瘦肉吗,1,assistant_voice,True,M76c616993f4,False,False,True
37岁老是感觉身体疲惫,1,2025search_rand,True,M62dc7e6356f,False,False,True
37度可以吃布洛芬吗,1,2025search_rand,True,M307494f3504,False,False,False
37度是低烧还是正常,1,2026search,True,Mda2cfe74c10,False,False,False
37度是发烧吗,1,2025search,True,Mf16dacc660c,False,False,False
