key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导叶,主导叶占比%,体系内风险标注,架构师预估占比,user_need
PLATFORM_RULES_VERDICT,平台规则与能力裁决,用户就某个平台或产品的规则、能力上限、隐私行为、真伪或可行性提出是或否或数值类问题，要的是判断和理由，而不是操作步骤。,677,3.089,308,3.081,2.76,3.438,1.876,177,1.77,1.53,2.048,1.022,16,1.702,1.05,2.747,1.48,176,17.886,15.618,20.404,14.043,12.61,0.9975,0.5043,7.24,0.5732,0.2897,6.96,0.5511,0.2786,73.19,5.7912,2.9274,4,,,助手随机1k,助手头部1k,16.184,10.51,10,11,10,3,微信账号与支付功能关闭及解限方法查询,20.1,否,0.03,获得明确的是或否结论、具体数值或原因解释，用户能据此决定下一步动作。
DEFINE_TERM_OR_COMPARE,解释术语或比较概念,用户要求解释某个软件、术语、缩写、版本或平台词是什么意思、有什么区别或功能，而不是获取、安装或操作。,399,1.82,176,1.761,1.521,2.037,1.189,188,1.88,1.632,2.165,1.192,21,2.234,1.466,3.391,2.56,14,1.423,0.849,2.374,1.035,24.13,0.9672,0.965,25.76,1.0329,1.0306,30.61,1.2273,1.2245,19.5,0.7816,0.7799,4,,,助手头部1k,助手随机1k,0.811,1.57,12,10,9,14,查询软件定义与用途,44.6,否,0.02,获得清晰的中文定义、用途或区别说明，用户即满足。
RECOVER_LOST_DATA,恢复误删或丢失的数据与关系,用户想找回已删除或过期的聊天记录、好友、照片、闪照、文件等，包括询问还能不能找回的可行性裁决。,370,1.688,185,1.851,1.604,2.134,1.38,156,1.56,1.335,1.822,0.958,10,1.064,0.579,1.947,0.564,19,1.931,1.24,2.996,1.478,28.89,1.0963,1.1556,24.36,0.9243,0.9743,16.61,0.6302,0.6643,30.14,1.1439,1.2058,4,,,助手随机1k,助手头部1k,0.867,1.82,11,12,13,11,微信聊天记录恢复查询,87.8,否,0.03,获得实际可行的恢复方法，或明确的不可恢复结论，用户即满足。
FIX_MALFUNCTION_TROUBLESHOOT,排查并修复故障,用户描述某个功能已经异常、出错或不可用，如闪退、收不到消息、显示异常等，想要恢复可用状态或消除异常。,238,1.086,133,1.33,1.124,1.574,0.601,76,0.76,0.608,0.95,0.283,0,0.0,0.0,0.407,0.0,29,2.947,2.06,4.201,2.365,26.41,1.2253,1.0564,15.09,0.7,0.6035,0.0,0.0,0.0,58.5,2.7144,2.3401,3,助手头部1k,,助手随机1k,助手头部1k,2.947,inf,13,15,21,7,微信语音与声音设置查询,23.5,否,0.05,获得针对异常原因的解释和可操作的修复方案并恢复正常功能，用户即满足。
GET_ADULT_CONTENT_OR_APP,获取成人内容或成人应用,用户想下载、安装或找到提供色情视频、成人聊天、成人社区或成人内容的应用、站点或观看入口。,217,0.99,123,1.23,1.032,1.466,0.858,89,0.89,0.724,1.094,0.598,2,0.213,0.058,0.772,0.122,3,0.305,0.104,0.893,0.222,46.64,1.2428,1.8655,33.74,0.8991,1.3496,8.07,0.2149,0.3226,11.56,0.308,0.4623,4,,,2025搜索,助手头部1k,1.018,5.78,14,14,18,19,下载安装应用软件,28.1,是,0.01,获得可用的成人内容应用、站点或观看入口，用户即满足。
GET_UNAUTHORIZED_SOFTWARE_LIBRARY,获取非官方软件库或第三方分发渠道,用户想找到并访问非官方、第三方聚合的软件库、应用站或破解、灰色分发入口本身。,193,0.88,84,0.84,0.679,1.039,1.17,101,1.01,0.832,1.226,1.808,4,0.426,0.166,1.089,0.221,4,0.407,0.158,1.041,0.296,31.32,0.9543,1.253,37.66,1.1472,1.5063,15.86,0.4833,0.6346,15.15,0.4617,0.6062,4,,,2026搜索,助手随机1k,0.604,2.48,15,13,15,18,查询软件及工具信息,33.2,是,0.01,获得可用的软件库或应用站入口或安装包，用户即满足。
CANCEL_SUBSCRIPTION_OR_AUTHORIZATION,取消持续扣费或授权,用户想解除微信、支付宝等平台的自动续费、免密支付、绑定的银行卡、账号授权或账号本身，停止后续扣费、权限或继续参与。,137,0.625,77,0.77,0.617,0.962,0.535,55,0.55,0.423,0.715,0.311,0,0.0,0.0,0.407,0.0,5,0.508,0.217,1.184,0.517,42.13,1.2324,1.685,30.08,0.8801,1.2033,0.0,0.0,0.0,27.79,0.813,1.1116,3,助手头部1k,,2025搜索,助手头部1k,0.77,inf,16,16,21,16,微信账号与支付功能关闭及解限方法查询,83.9,否,0.01,获得关闭自动扣费、解绑、取消授权或注销账号的可操作入口并成功解除，用户即满足。
SOCIAL_RELATIONSHIP_STATUS,判断社交关系状态与可见性,用户想确认自己是否被好友拉黑或删除、拉黑后对方会看到什么、还能否联系，以及如何验证这类社交关系状态。,127,0.579,58,0.58,0.449,0.749,0.387,43,0.43,0.319,0.579,0.261,6,0.638,0.293,1.386,0.39,20,2.033,1.32,3.119,1.552,15.76,1.0014,0.6304,11.68,0.7422,0.4673,17.34,1.1017,0.6936,55.22,3.5081,2.2086,4,,,助手随机1k,2026搜索,1.602,4.73,18,18,14,9,查询微信好友删除拉黑状态及恢复联系方法,87.4,否,0.02,获得可验证的判据，如朋友圈横线、转账或通话提示，或对对方可见性的明确解释，用户即满足。
GET_GREY_UTILITY_TOOL,获取灰色辅助或作弊工具,用户想获得多开、分身、改机、防关联、自动点击、root、虚拟机等可用于规避平台限制或自动化作弊的工具。,81,0.37,39,0.39,0.286,0.533,0.431,41,0.41,0.302,0.556,0.352,1,0.106,0.019,0.6,0.089,0,0.0,0.0,0.389,0.0,43.03,1.0557,1.7213,45.23,1.1096,1.8093,11.74,0.2879,0.4694,0.0,0.0,0.0,3,助手随机1k,,2026搜索,助手随机1k,0.41,inf,19,19,19,23,网络加速器查询下载,38.3,是,0.005,获得可用的灰色辅助或作弊工具，用户即满足。
EXTRACT_FROM_IMAGE_DOCUMENT,从图片或文档提取内容,用户要求从上传的截图、图片、PDF或文档中提取文字、数字、表格等结构化内容，而不是修改图像或生成图像。,80,0.365,16,0.16,0.099,0.26,0.131,15,0.15,0.091,0.247,0.079,29,3.085,2.157,4.396,3.581,20,2.033,1.32,3.119,2.439,2.95,0.4385,0.1179,2.76,0.411,0.1106,56.84,8.4532,2.2736,37.45,5.5691,1.4979,4,,,助手头部1k,2026搜索,2.935,20.57,22,22,8,9,图片编辑与绘图软件查询,31.2,否,0.003,获得提取后的结构化文字、数字或可编辑表格，用户即满足。
GET_WIFI_CREDENTIAL_INTRUSION_TOOL,获取蹭网或WiFi破解工具,用户想获得可破解、绕过或自动连接他人受保护WiFi的密码或连接工具，或询问这类工具的能力。,79,0.36,39,0.39,0.286,0.533,0.749,35,0.35,0.252,0.486,0.621,4,0.426,0.166,1.089,0.234,1,0.102,0.018,0.573,0.074,30.78,1.0825,1.2313,27.62,0.9712,1.1048,33.58,1.1807,1.3431,8.02,0.282,0.3208,4,,,助手头部1k,助手随机1k,0.324,4.19,19,20,15,21,万能遥控器与WiFi万能钥匙下载,96.2,是,0.005,获得可连接他人受保护WiFi的工具或明确的能力裁决，用户即满足。
GET_CRACKED_UNLOCKED_SOFTWARE,获取破解或解锁版软件,用户想获得绕过付费、登录、次数或功能限制的破解版、绿色版、解锁版、无限次版等非官方修改软件。,61,0.278,38,0.38,0.277,0.521,0.129,18,0.18,0.114,0.284,0.06,0,0.0,0.0,0.407,0.0,5,0.508,0.217,1.184,0.443,35.58,1.3659,1.4233,16.85,0.6469,0.6741,0.0,0.0,0.0,47.57,1.8259,1.9026,3,助手头部1k,,助手随机1k,助手头部1k,0.508,inf,21,21,21,16,查询软件应用版本与下载渠道,36.1,是,0.01,获得可安装的破解、解锁或绿色版安装包或入口，用户即满足。
NON_CONSENSUAL_EXPLICIT_IMAGE_EDIT,生成露骨性图像编辑,用户要求对图片中的人物进行暴露化、性化或合成露骨性内容，如去衣、衣服变透明、性器官调整等，或生成色情合成图。,51,0.233,0,0.0,0.0,0.038,0.0,0,0.0,0.0,0.038,0.0,33,3.511,2.511,4.889,2.252,18,1.829,1.16,2.873,2.439,0.0,0.0,0.0,0.0,0.0,0.0,65.74,15.0889,2.6297,34.26,7.8623,1.3703,2,2025搜索 / 2026搜索,,助手头部1k,2025搜索,3.511,inf,24,24,6,12,按要求编辑处理图片,66.7,是,0.001,获得按性化要求处理后的图片或合成结果，用户即满足，但这类请求应拒答。
GET_LOCATION_SPOOFING_TOOL,获取位置伪造工具,用户想获得可修改手机定位、伪造位置或模拟移动轨迹的工具，以规避定位验证、打卡或位置限制。,16,0.073,9,0.09,0.047,0.171,0.055,7,0.07,0.034,0.144,0.034,0,0.0,0.0,0.407,0.0,0,0.0,0.0,0.389,0.0,56.25,1.2334,2.2502,43.75,0.9591,1.7498,0.0,0.0,0.0,0.0,0.0,0.0,2,助手头部1k / 助手随机1k,,2025搜索,助手头部1k,0.09,inf,23,23,21,23,网络加速器查询下载,62.5,是,0.002,获得可用的虚拟定位或位置伪造工具，用户即满足。
