key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导意图,主导意图占比%,家族内部一致,家族审计意见
22,软件下载地址与安装包查询,用户输入某款软件或应用名称（可能附带官方、旧版本或破解要求），希望获得该软件可用的下载地址、安装包或下载方法。,747,3.408,349,3.491,3.149,3.869,2.299,392,3.92,3.557,4.319,2.89,0,0.0,0.0,0.407,0.0,6,0.61,0.28,1.324,0.517,43.52,1.0244,1.7409,48.88,1.1504,1.955,0.0,0.0,0.0,7.6,0.1789,0.3041,3,助手头部1k,,2026搜索,助手头部1k,3.92,inf,11,11,24,21,下载并安装指定软件,76.3,是,
36,查询软件应用版本与下载渠道,用户输入某款软件、应用或工具名称，希望获取该软件的官方或可用版本说明、下载来源或功能信息。,710,3.239,306,3.061,2.741,3.417,2.255,393,3.93,3.567,4.329,2.717,1,0.106,0.019,0.6,0.062,10,1.016,0.553,1.861,1.626,37.72,0.945,1.509,48.44,1.2134,1.9376,1.31,0.0328,0.0524,12.52,0.3138,0.501,4,,,2026搜索,助手头部1k,3.824,36.95,13,10,23,19,仅产品名消歧,79.6,是,
17,复制网址并用浏览器打开,用户希望将提示文本中的网址复制后在浏览器中打开，或了解长按复制并用浏览器访问该链接的具体操作方式。,694,3.166,301,3.011,2.694,3.364,1.557,294,2.94,2.627,3.29,1.497,20,2.128,1.381,3.264,1.639,79,8.028,6.489,9.894,6.061,18.69,0.951,0.7477,18.25,0.9287,0.7302,13.21,0.672,0.5284,49.84,2.5358,1.9937,4,,,助手随机1k,助手头部1k,5.901,3.77,14,14,12,3,完成设置或操作步骤,40.9,是,
41,QQ官网查询,用户希望获取QQ官方网站地址或登录入口，以便访问、登录或使用QQ相关服务。,649,2.961,314,3.141,2.817,3.501,8.572,307,3.07,2.75,3.427,7.78,16,1.702,1.05,2.747,2.516,12,1.22,0.699,2.119,8.204,34.39,1.0609,1.3757,33.62,1.037,1.3447,18.64,0.5749,0.7455,13.35,0.4119,0.5341,4,,,2025搜索,助手随机1k,1.921,2.58,12,13,15,17,仅产品名消歧,34.1,是,
38,图片编辑与绘图软件查询,用户想要查找、下载或了解可用于图片编辑、修图、绘图或P图的软件，尤其是免费版本；获得符合条件的软件名称、下载渠道或版本信息后即满足。,609,2.778,271,2.711,2.41,3.048,2.701,249,2.49,2.203,2.814,1.947,55,5.851,4.523,7.539,8.094,34,3.455,2.483,4.79,3.769,18.69,0.9757,0.7474,17.17,0.8963,0.6866,40.33,2.106,1.6133,23.82,1.2437,0.9527,4,,,助手头部1k,2026搜索,3.361,2.35,15,16,5,10,仅产品名消歧,39.9,是,
32,微信下载与使用支持查询,用户希望获得微信应用的官方下载、安装与更新渠道，以及在使用微信过程中需要的客服联系方式和功能操作帮助。,537,2.45,255,2.551,2.259,2.879,7.944,254,2.54,2.25,2.867,7.349,13,1.383,0.81,2.352,2.232,15,1.524,0.926,2.5,1.256,31.89,1.0412,1.2756,31.76,1.0369,1.2704,17.29,0.5645,0.6916,19.06,0.6222,0.7623,4,,,2025搜索,助手头部1k,1.168,1.84,16,15,16,15,仅产品名消歧,43.9,是,
14,按要求编辑处理图片,用户提交图片或图片描述并提出具体修改要求，希望得到符合要求的图片结果。,513,2.34,28,0.28,0.194,0.405,0.148,21,0.21,0.137,0.321,0.176,219,23.298,20.707,26.106,17.314,245,24.898,22.298,27.694,24.095,0.58,0.1197,0.023,0.43,0.0897,0.0173,47.85,9.955,1.9141,51.14,10.6388,2.0456,4,,,助手随机1k,2026搜索,24.688,118.55,26,26,1,1,直接编辑或生成图像,67.4,是,
31,查找AI软件与工具,用户需要找到或了解AI软件、AI工具、AI视频与图片生成等应用及其入口，获得可用的名称、推荐或操作入口。,483,2.203,162,1.62,1.391,1.887,1.123,207,2.07,1.809,2.368,1.416,76,8.085,6.508,10.003,13.54,38,3.862,2.826,5.256,2.882,10.36,0.7354,0.4145,13.24,0.9395,0.5295,51.7,3.6693,2.0681,24.7,1.7526,0.9878,4,,,助手头部1k,2025搜索,6.465,4.99,20,18,4,8,仅产品名消歧,51.3,是,
26,查询微信QQ好友删除拉黑状态及恢复联系方法,用户查询微信或QQ联系人是否把自己删除、拉黑或拒收，以及如何拉黑或恢复联系时，获得可操作的判断方法和处理步骤。,444,2.026,227,2.271,1.996,2.582,1.228,151,1.51,1.289,1.768,0.686,6,0.638,0.293,1.386,0.39,60,6.098,4.766,7.77,4.656,21.59,1.121,0.8636,14.36,0.7456,0.5744,6.07,0.3151,0.2428,57.98,3.0103,2.3192,4,,,助手随机1k,助手头部1k,5.459,9.55,18,20,17,5,平台规则与能力裁决,28.2,是,
33,应用商店客户端下载,用户想查找华为、OPPO、应用宝、三星、联想等应用商店的官方下载入口或安装包，并完成应用商店客户端的下载安装。,430,1.962,204,2.041,1.781,2.337,5.269,220,2.2,1.931,2.507,4.766,5,0.532,0.227,1.239,0.374,1,0.102,0.018,0.573,0.074,41.86,1.0402,1.6746,45.14,1.1216,1.8055,10.91,0.2712,0.4365,2.08,0.0518,0.0834,4,,,2026搜索,助手随机1k,2.099,21.65,19,17,19,25,仅产品名消歧,53.5,是,
5,Excel表格操作与制作查询,用户需要获得关于Excel或电子表格的制作、编辑、换行、求和、公式、单元格格式以及表格拆分合并等具体操作步骤或概念说明。,423,1.93,231,2.311,2.034,2.624,1.912,111,1.11,0.923,1.335,0.867,19,2.021,1.298,3.135,1.819,62,6.301,4.946,7.995,6.874,19.68,1.1974,0.7871,9.45,0.5753,0.3781,17.21,1.0474,0.6885,53.66,3.2651,2.1463,4,,,助手随机1k,2026搜索,5.191,5.68,17,22,13,4,完成设置或操作步骤,77.1,是,
40,删除或清理不需要的内容,用户想删除或清除某些不需要的对象（如图标、文字、边框、空白页、画面路人、历史记录、垃圾文件、粉丝等），并获得移除、清除或具体操作方法。,301,1.373,57,0.57,0.44,0.738,0.416,43,0.43,0.319,0.579,0.329,153,16.277,14.055,18.773,13.309,48,4.878,3.699,6.408,6.504,2.57,0.4152,0.1029,1.94,0.3132,0.0776,73.47,11.8533,2.9387,22.02,3.5524,0.8807,4,,,助手头部1k,2026搜索,15.847,37.85,25,25,2,6,直接编辑或生成图像,55.8,是,
35,去除图片视频水印,用户想要去除图片或视频中的水印，获取可用的去水印方法、软件或处理后的无水印内容。,280,1.277,77,0.77,0.617,0.962,0.93,73,0.73,0.581,0.917,1.005,104,11.064,9.215,13.23,8.915,26,2.642,1.809,3.843,2.143,5.07,0.603,0.2026,4.8,0.5715,0.192,72.76,8.6614,2.9103,17.38,2.0685,0.695,4,,,助手头部1k,2026搜索,10.334,15.15,23,24,3,12,直接编辑或生成图像,58.6,是,
34,豆包App下载及功能查询,用户想获取豆包App的官方下载渠道、安装方式、网页版入口，或了解豆包是什么及其功能说明。,269,1.227,61,0.61,0.475,0.783,3.61,154,1.54,1.317,1.801,9.968,38,4.043,2.959,5.5,8.361,16,1.626,1.003,2.625,1.404,7.8,0.4972,0.3122,19.7,1.255,0.7879,51.7,3.2942,2.0681,20.8,1.325,0.8318,4,,,助手头部1k,2025搜索,3.432,6.63,24,19,8,14,下载并安装指定软件,31.2,是,
19,查找VPN软件与服务,用户输入VPN相关查询后，获得可用的VPN软件下载、服务入口、定义或使用说明。,261,1.191,110,1.1,0.914,1.324,1.284,150,1.5,1.28,1.758,1.604,0,0.0,0.0,0.407,0.0,1,0.102,0.018,0.573,0.074,40.72,0.9241,1.6288,55.52,1.2599,2.2207,0.0,0.0,0.0,3.76,0.0854,0.1504,3,助手头部1k,,2026搜索,助手头部1k,1.5,inf,21,21,24,25,获取翻墙工具或访问被限制的境外服务,95.8,是,
29,万能遥控器与WiFi万能钥匙下载,用户希望获取手机万能遥控器（主要用于空调、电视等家电）或WiFi万能钥匙类应用的免费或官方下载安装渠道。,204,0.931,105,1.05,0.868,1.27,1.63,91,0.91,0.742,1.116,1.262,5,0.532,0.227,1.239,0.358,3,0.305,0.104,0.893,0.222,37.55,1.1286,1.502,32.54,0.9779,1.3014,19.02,0.5715,0.7606,10.9,0.3276,0.436,4,,,2025搜索,助手随机1k,0.745,3.45,22,23,19,23,获取蹭网或WiFi破解工具,37.3,是,
