key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
10,微信功能设置与操作查询,494,282,0.8689,0.71,14.54,187,0.8646,1.07,12.83,2,0.758,0.0,50.0,23,0.8074,0.0,30.43,助手随机1k,0.0615,0.864
22,APP下载获取,1227,572,0.8949,1.05,21.33,643,0.888,0.62,17.42,6,0.7738,0.0,0.0,6,0.6911,0.0,33.33,2026搜索,0.0069,0.8897
37,查询软件工具信息,838,398,0.8995,0.25,34.42,425,0.9008,0.0,31.76,10,0.8421,0.0,10.0,5,0.5339,20.0,60.0,2025搜索,0.0013,0.8973
14,微信群建群、群管理与群名查询,325,190,0.9091,0.53,1.58,120,0.9173,0.83,0.0,1,0.9322,0.0,0.0,14,0.7203,0.0,14.29,2025搜索,0.0082,0.904
21,毕业发朋友圈文案查询,79,42,0.9136,0.0,4.76,37,0.9211,0.0,0.0,0,,,,0,,,,2025搜索,0.0075,0.9171
17,生成生日朋友圈文案,79,45,0.9366,0.0,2.22,25,0.9574,0.0,0.0,7,0.7665,14.29,0.0,2,0.5479,0.0,0.0,2025搜索,0.0208,0.9183
4,查找VPN软件与服务,261,110,0.9156,0.91,5.45,150,0.9261,0.67,2.0,0,,,,1,0.9513,0.0,0.0,2025搜索,0.0105,0.9218
20,建党节朋友圈文案查询,66,29,0.9536,0.0,3.45,36,0.9552,0.0,2.78,0,,,,1,0.6563,0.0,100.0,2025搜索,0.0016,0.95
16,七月朋友圈文案查询,258,122,0.9652,0.0,0.82,136,0.9553,0.0,0.74,0,,,,0,,,,2026搜索,0.0099,0.96
18,朋友圈文案句子查询,312,197,0.9785,0.0,2.54,115,0.9781,0.0,2.61,0,,,,0,,,,2026搜索,0.0004,0.9783
0,汉字五笔打法查询,1245,561,0.9867,0.0,0.18,681,0.9863,0.0,0.29,0,,,,3,0.6552,0.0,0.0,2026搜索,0.0004,0.9857
