key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
GROUP_ROSTER_ENUMERATION__1,GROUP_ROSTER_ENUMERATION__1,,241,1.105,108,1.082,0.897,1.304,0.728,110,1.102,0.915,1.326,1.144,4,0.45,0.175,1.151,0.215,19,2.0,1.284,3.103,1.913,23.35,0.9788,0.9339,23.78,0.997,0.9513,9.71,0.4071,0.3884,43.16,1.8095,1.7265,4,,,助手随机1k,助手头部1k,1.55,4.44,11,12,25,17,查询中国中央党政军领导成员名单与职务,51.5,历届院长 / 政治局常委 / 铜仁市政法委班子成员有哪些
SEXUALIZED_BROWSE_NON_PERSON__1,SEXUALIZED_BROWSE_NON_PERSON__1,,222,1.018,105,1.052,0.87,1.272,1.253,94,0.942,0.77,1.151,1.02,17,1.912,1.197,3.041,2.3,6,0.632,0.29,1.371,0.499,23.18,1.033,0.9272,20.75,0.9249,0.8302,42.15,1.8782,1.6858,13.92,0.6203,0.5568,4,,,助手头部1k,助手随机1k,1.281,3.03,12,13,13,23,美女图片查询,48.2,女生 / 这女的是谁 / 女人
PERSONNEL_EVENT_LOOKUP__1,PERSONNEL_EVENT_LOOKUP__1,,220,1.009,114,1.142,0.952,1.37,1.263,39,0.391,0.286,0.534,0.285,6,0.675,0.31,1.465,0.946,61,6.421,5.031,8.162,5.74,13.23,1.1318,0.5294,4.53,0.3872,0.1811,7.82,0.6689,0.3129,74.42,6.3638,2.9766,4,,,助手随机1k,2026搜索,6.03,16.43,10,26,22,4,省级党委书记任免查询,21.8,孙宇晨 我的女友景甜 / 包文婧 包贝尔 / 郭柏林的学术成果对公安思政有何启示
PERSON_IMAGE_REQUEST__1,PERSON_IMAGE_REQUEST__1,,194,0.89,22,0.22,0.146,0.333,0.139,170,1.703,1.467,1.976,1.254,1,0.112,0.02,0.634,0.436,1,0.105,0.019,0.594,0.083,10.29,0.2477,0.4117,79.54,1.9141,3.1815,5.25,0.1264,0.2101,4.92,0.1183,0.1966,4,,,2026搜索,助手随机1k,1.598,16.18,29,7,27,29,人物资料查询,83.0,田栩宁的代表作品有哪些 / 帮我画 主持人鲁豫个人资料简介图片 / 田栩宁个人资料简介图片
PERSON_ATTRIBUTE_LOOKUP__4,PERSON_ATTRIBUTE_LOOKUP__4,,190,0.871,67,0.671,0.529,0.851,0.275,43,0.431,0.32,0.58,0.242,22,2.475,1.64,3.718,2.291,58,6.105,4.752,7.812,4.992,6.93,0.7702,0.2773,4.45,0.4943,0.178,25.56,2.8399,1.0224,63.06,7.0063,2.5223,4,,,助手随机1k,2026搜索,5.674,14.17,16,25,9,5,人物及机构基本信息查询,36.8,孙宇晨的财富来源是什么 / 哪里人 / 路征的真实身份是什么
RELATIONSHIP_AND_FAMILY_STATUS__3,RELATIONSHIP_AND_FAMILY_STATUS__3,,184,0.844,72,0.721,0.573,0.907,0.423,44,0.441,0.329,0.591,0.23,26,2.925,2.004,4.251,2.381,42,4.421,3.287,5.922,3.744,8.48,0.8547,0.3391,5.18,0.5223,0.2072,34.38,3.4657,1.3751,51.97,5.2389,2.0786,4,,,助手随机1k,2026搜索,3.98,10.03,15,24,8,8,查询人物背景与个人生活,31.0,孙宇晨的家族背景如何 / 路征的家族背景如何 / 孙宇晨和景甜的关系如何
PERSON_RECENT_EVENT_LOOKUP__3,PERSON_RECENT_EVENT_LOOKUP__3,,183,0.839,55,0.551,0.424,0.716,0.453,49,0.491,0.372,0.648,0.31,43,4.837,3.611,6.452,3.855,36,3.789,2.75,5.202,3.411,5.7,0.6564,0.2279,5.08,0.5849,0.2031,50.03,5.763,2.0012,39.2,4.5151,1.5678,4,,,助手头部1k,2026搜索,4.346,9.85,20,22,5,10,查询明星娱乐八卦动态,46.4,景甜的个人生活如何 / 陈伟霆思考与惠英红关系 / 赵丽颖突发身体不适
CLAIM_VERIFICATION__1,CLAIM_VERIFICATION__1,,165,0.757,35,0.351,0.252,0.487,0.376,8,0.08,0.041,0.158,0.048,11,1.237,0.692,2.202,0.906,111,11.684,9.794,13.883,9.651,2.63,0.4633,0.105,0.6,0.1059,0.024,9.27,1.6351,0.3707,87.51,15.4402,3.5003,4,,,助手随机1k,2026搜索,11.604,145.79,24,34,17,2,查询个人背景与任职信息,38.2,曾晟的违纪违法细节有哪些 / 曾仁海是否被调查 / 孙宇晨说过的大话多少成真了
RELATIONSHIP_AND_FAMILY_STATUS__2,RELATIONSHIP_AND_FAMILY_STATUS__2,,164,0.752,81,0.811,0.653,1.007,0.424,35,0.351,0.252,0.487,0.155,21,2.362,1.55,3.584,2.0,27,2.842,1.961,4.104,2.329,12.74,1.0787,0.5098,5.51,0.4662,0.2203,37.1,3.1406,1.4842,44.64,3.7786,1.7857,4,,,助手随机1k,2026搜索,2.491,8.11,14,28,10,15,查询人物配偶及亲属关系,35.4,张锦程下跪求婚张延 / 孙宇晨的婚姻状况如何 / 景甜富豪男友疑似孙宇晨
FAN_ENGAGEMENT_ACTION__1,FAN_ENGAGEMENT_ACTION__1,,147,0.674,11,0.11,0.062,0.197,0.108,135,1.352,1.144,1.598,1.193,1,0.112,0.02,0.634,0.166,0,0.0,0.0,0.403,0.0,7.0,0.1634,0.2798,85.86,2.006,3.4345,7.14,0.1668,0.2857,0.0,0.0,0.0,3,助手随机1k,,2026搜索,助手随机1k,1.352,inf,33,9,27,31,百度送花明星影响力查询,93.2,于朦胧送花 / 肖战百度送花入口 / 于朦胧百度送花
PERSON_RECENT_EVENT_LOOKUP__2,PERSON_RECENT_EVENT_LOOKUP__2,,138,0.633,39,0.391,0.286,0.534,0.22,15,0.15,0.091,0.248,0.08,35,3.937,2.844,5.426,3.355,49,5.158,3.923,6.754,5.241,4.05,0.6172,0.1622,1.56,0.2374,0.0624,40.86,6.2205,1.6343,53.53,8.1495,2.1411,4,,,助手随机1k,2026搜索,5.008,34.32,22,31,7,7,查询人物背景与个人生活,47.1,王皓祯现在脚部恢复得如何 / 于和伟王宝强颁奖 / 常红卫涉嫌哪些违纪违法问题
REVERSE_PERSON_RESOLUTION__1,REVERSE_PERSON_RESOLUTION__1,,137,0.628,58,0.581,0.45,0.75,0.29,34,0.341,0.244,0.476,0.163,15,1.687,1.025,2.765,1.548,30,3.158,2.221,4.472,2.579,10.07,0.9247,0.403,5.91,0.5421,0.2363,29.26,2.6854,1.1703,54.76,5.0259,2.1904,4,,,助手随机1k,2026搜索,2.817,9.27,19,29,14,13,查询对象身份,54.7,这个女的是谁 / 作者是谁 / 关洁老师有哪些代表作品
OUT_OF_DOMAIN_NON_PERSON__3,OUT_OF_DOMAIN_NON_PERSON__3,,129,0.592,66,0.661,0.52,0.84,0.538,52,0.521,0.398,0.682,0.677,8,0.9,0.457,1.766,0.631,3,0.316,0.107,0.924,0.25,27.57,1.1175,1.1029,21.73,0.8805,0.869,37.53,1.521,1.5012,13.17,0.5338,0.5268,4,,,助手头部1k,助手随机1k,0.584,2.85,17,21,20,25,查询中国中央党政军领导成员名单与职务,24.8,演员 / 天皇陛下万歳 / 国总统
NAVIGATE_TO_PERSON_PAGE__1,NAVIGATE_TO_PERSON_PAGE__1,,121,0.555,31,0.311,0.219,0.44,0.202,89,0.892,0.725,1.096,0.725,1,0.112,0.02,0.634,0.053,0,0.0,0.0,0.403,0.0,23.62,0.5596,0.9448,67.82,1.6067,2.7129,8.56,0.2027,0.3423,0.0,0.0,0.0,3,助手随机1k,,2026搜索,助手随机1k,0.892,inf,25,14,27,31,人物资料查询,72.7,陈冠希雁门旧照高清百度网盘 / 肖战 百度百科 / 徐小明新浪博客
PERSON_IMAGE_REQUEST__2,PERSON_IMAGE_REQUEST__2,,121,0.555,55,0.551,0.424,0.716,0.233,45,0.451,0.337,0.603,0.211,6,0.675,0.31,1.465,1.117,15,1.579,0.959,2.589,1.248,16.92,0.9928,0.6769,13.85,0.8124,0.5539,20.73,1.2162,0.8292,48.5,2.8452,1.94,4,,,助手随机1k,2026搜索,1.128,3.5,20,23,22,19,查询人物图片,57.0,照片 / 照片 / 照片
PERSON_ATTRIBUTE_LOOKUP__3,PERSON_ATTRIBUTE_LOOKUP__3,,102,0.468,39,0.391,0.286,0.534,0.156,39,0.391,0.286,0.534,0.159,6,0.675,0.31,1.465,0.616,18,1.895,1.202,2.975,1.997,11.66,0.8351,0.4663,11.66,0.8352,0.4664,20.14,1.4427,0.8056,56.54,4.0503,2.2617,4,,,助手随机1k,2025搜索,1.504,4.85,22,26,22,18,人物年龄及属性查询,59.8,景甜的真实身价是多少 / 梓渝的粉丝群体规模有多大 / 年龄
PERSON_ATTRIBUTE_LOOKUP__2,PERSON_ATTRIBUTE_LOOKUP__2,,82,0.376,28,0.28,0.194,0.405,0.132,54,0.541,0.415,0.705,0.629,0,0.0,0.0,0.43,0.0,0,0.0,0.0,0.403,0.0,34.14,0.7458,1.3658,65.86,1.4385,2.6342,0.0,0.0,0.0,0.0,0.0,0.0,2,助手头部1k / 助手随机1k,,2026搜索,助手头部1k,0.541,inf,26,20,33,31,查询习近平个人资料与讲话,87.8,习近平身高 / 习近平年龄 / 习近平多高
PERSON_ATTRIBUTE_LOOKUP__1,PERSON_ATTRIBUTE_LOOKUP__1,,82,0.376,21,0.21,0.138,0.321,0.089,58,0.581,0.45,0.75,0.369,0,0.0,0.0,0.43,0.0,3,0.316,0.107,0.924,0.25,19.0,0.5593,0.76,52.48,1.545,2.0992,0.0,0.0,0.0,28.52,0.8397,1.1409,3,助手头部1k,,2026搜索,助手头部1k,0.581,inf,30,19,33,25,人物资料查询,57.3,熊出没赵琳身高 / 成员中谁的身高争议最大 / 于朦胧个人简介身高
GROUP_ROSTER_ENUMERATION__3,GROUP_ROSTER_ENUMERATION__3,,65,0.298,3,0.03,0.01,0.088,0.011,62,0.621,0.485,0.795,2.222,0,0.0,0.0,0.43,0.0,0,0.0,0.0,0.403,0.0,4.61,0.1008,0.1846,95.39,2.0835,3.8154,0.0,0.0,0.0,0.0,0.0,0.0,2,助手头部1k / 助手随机1k,,2026搜索,助手头部1k,0.621,inf,35,17,33,31,七一勋章获得者信息查询,98.5,七一勋章获得者 / 七一勋章获得者名单 / 2026年七一勋章获得者是谁
MEME_OR_PHRASE_EXPLAINER__1,MEME_OR_PHRASE_EXPLAINER__1,,48,0.22,16,0.16,0.099,0.26,0.061,13,0.13,0.076,0.223,0.049,12,1.35,0.774,2.344,0.962,7,0.737,0.357,1.513,0.582,6.74,0.728,0.2697,5.48,0.5916,0.2191,56.78,6.1316,2.2713,31.0,3.3471,1.2399,4,,,助手头部1k,2026搜索,1.22,10.36,31,33,15,22,查询人物背景与个人生活,27.1,于龙的个人生活怎么样 / 景甜早期颜值好美 / 朱之文想回家种地
WORK_CONTENT_RETRIEVAL__1,WORK_CONTENT_RETRIEVAL__1,,42,0.193,25,0.25,0.17,0.369,0.179,14,0.14,0.084,0.235,0.155,1,0.112,0.02,0.634,0.089,2,0.211,0.058,0.764,0.166,35.09,1.3001,1.4036,19.65,0.7281,0.7861,15.76,0.584,0.6304,29.5,1.0929,1.1799,4,,,2025搜索,助手头部1k,0.138,2.23,28,32,27,28,查询人物图片,50.0,邵雨薇为艺术做出贡献的片段 / 李娜专题片 / 习近平七一讲话
RELATIONSHIP_AND_FAMILY_STATUS__1,RELATIONSHIP_AND_FAMILY_STATUS__1,,33,0.151,15,0.15,0.091,0.248,0.07,18,0.18,0.114,0.285,0.087,0,0.0,0.0,0.43,0.0,0,0.0,0.0,0.403,0.0,45.45,0.9928,1.8181,54.55,1.1915,2.1819,0.0,0.0,0.0,0.0,0.0,0.0,2,助手头部1k / 助手随机1k,,2026搜索,助手头部1k,0.18,inf,32,30,33,31,查询习近平个人资料与讲话,84.8,赵本山的儿子 / 习近平孩子 / 习近平儿子
PERSON_RECENT_EVENT_LOOKUP__1,PERSON_RECENT_EVENT_LOOKUP__1,,30,0.138,27,0.27,0.186,0.393,0.541,2,0.02,0.005,0.073,0.006,1,0.112,0.02,0.634,0.115,0,0.0,0.0,0.403,0.0,67.11,1.9657,2.6846,4.97,0.1456,0.1989,27.91,0.8175,1.1165,0.0,0.0,0.0,3,助手随机1k,,2025搜索,助手随机1k,0.27,inf,27,35,27,31,查询鹿晗关晓彤近况与感情动态,90.0,鹿晗关晓彤宣布最新消息 / 刘亦菲的小狗也太幸福了 / 关晓彤和鹿晗最新消息
DEFAMATION_AND_SCANDAL__1,DEFAMATION_AND_SCANDAL__1,,28,0.128,11,0.11,0.062,0.197,0.056,2,0.02,0.005,0.073,0.008,11,1.237,0.692,2.202,0.851,4,0.421,0.164,1.078,0.333,6.16,0.858,0.2464,1.12,0.156,0.0448,69.18,9.6354,2.7671,23.54,3.2788,0.9416,4,,,助手头部1k,2026搜索,1.217,61.76,33,35,17,24,查询明星娱乐八卦动态,53.6,自认景甜富豪男友的孙宇晨有多豪 / 孙宇晨小作文太炸裂了 / 孙宇晨的争议事件有哪些
