key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
OUT_OF_DOMAIN_NON_PERSON__1,OUT_OF_DOMAIN_NON_PERSON__1,422,245,0.6793,3.67,28.98,136,0.639,2.94,29.41,9,0.5431,0.0,55.56,32,0.5048,9.38,28.12,助手随机1k,0.1745,0.6502
RELATIONSHIP_AND_FAMILY_STATUS__1,RELATIONSHIP_AND_FAMILY_STATUS__1,33,15,0.6535,6.67,0.0,18,0.7003,0.0,0.0,0,,,,0,,,,,,0.679
RELATIONSHIP_AND_FAMILY_STATUS__2,RELATIONSHIP_AND_FAMILY_STATUS__2,164,81,0.7834,1.23,19.75,35,0.6823,2.86,11.43,21,0.6373,0.0,9.52,27,0.5782,7.41,18.52,助手随机1k,0.2052,0.7093
PERSON_IMAGE_REQUEST__2,PERSON_IMAGE_REQUEST__2,121,55,0.7072,0.0,14.55,45,0.7395,0.0,17.78,6,0.599,0.0,16.67,15,0.7208,0.0,6.67,2025搜索,0.0323,0.7155
OFFICE_HOLDER_LOOKUP__1,OFFICE_HOLDER_LOOKUP__1,293,129,0.7637,1.55,6.98,125,0.7568,0.8,7.2,8,0.7355,12.5,0.0,31,0.5283,6.45,16.13,助手随机1k,0.2354,0.7351
PERSON_ATTRIBUTE_LOOKUP__3,PERSON_ATTRIBUTE_LOOKUP__3,102,39,0.6881,2.56,17.95,39,0.8127,0.0,7.69,6,0.5931,0.0,33.33,18,0.7348,0.0,5.56,2025搜索,0.1246,0.7384
SEXUALIZED_BROWSE_NON_PERSON__1,SEXUALIZED_BROWSE_NON_PERSON__1,222,105,0.7497,2.86,9.52,94,0.7727,1.06,6.38,17,0.6967,0.0,5.88,6,0.7671,0.0,33.33,2025搜索,0.023,0.7558
GROUP_ROSTER_ENUMERATION__3,GROUP_ROSTER_ENUMERATION__3,65,3,0.6109,0.0,33.33,62,0.7641,0.0,0.0,0,,,,0,,,,2026搜索,,0.757
GROUP_ROSTER_ENUMERATION__1,GROUP_ROSTER_ENUMERATION__1,241,108,0.79,0.93,2.78,110,0.8416,0.91,1.82,4,0.7775,0.0,0.0,19,0.6568,5.26,15.79,2025搜索,0.0516,0.8028
BARE_NAME_IDENTITY_LOOKUP__3,BARE_NAME_IDENTITY_LOOKUP__3,4121,2337,0.8605,0.68,41.93,1601,0.8638,0.56,42.41,130,0.8915,0.0,39.23,53,0.5636,5.66,26.42,助手随机1k,0.3279,0.8589
FAN_ENGAGEMENT_ACTION__1,FAN_ENGAGEMENT_ACTION__1,147,11,0.7593,0.0,0.0,135,0.8787,0.0,2.22,1,0.6649,0.0,0.0,0,,,,2026搜索,,0.8683
PERSON_ATTRIBUTE_LOOKUP__2,PERSON_ATTRIBUTE_LOOKUP__2,82,28,0.8256,3.57,0.0,54,0.8977,0.0,1.85,0,,,,0,,,,2025搜索,0.0721,0.8731
OFFICE_HOLDER_LOOKUP__2,OFFICE_HOLDER_LOOKUP__2,248,176,0.8746,0.0,1.14,65,0.9165,0.0,1.54,4,0.8204,0.0,0.0,3,0.7934,0.0,0.0,2025搜索,0.0419,0.8837
BARE_NAME_IDENTITY_LOOKUP__1,BARE_NAME_IDENTITY_LOOKUP__1,1916,1027,0.8925,0.19,30.09,764,0.8983,0.39,29.19,97,0.896,0.0,17.53,28,0.6216,7.14,46.43,助手随机1k,0.2767,0.891
ENTERTAINER_POPULARITY_METRIC_LOOKUP__1,ENTERTAINER_POPULARITY_METRIC_LOOKUP__1,249,0,,,,247,0.9077,0.0,0.4,1,0.9554,0.0,0.0,1,0.6305,0.0,0.0,2026搜索,,0.9068
PERSON_IMAGE_REQUEST__1,PERSON_IMAGE_REQUEST__1,194,22,0.9628,0.0,18.18,170,0.949,0.0,26.47,1,0.2345,100.0,0.0,1,0.9867,0.0,0.0,2026搜索,0.0138,0.947
BIO_PROFILE_LOOKUP__2,BIO_PROFILE_LOOKUP__2,1531,354,0.9705,0.0,15.82,1156,0.9448,0.26,24.39,12,0.8564,8.33,0.0,9,0.5153,0.0,11.11,2026搜索,0.0257,0.9475
BIO_PROFILE_LOOKUP__1,BIO_PROFILE_LOOKUP__1,2625,722,0.9549,0.42,18.42,1825,0.9598,0.33,24.82,36,0.741,5.56,22.22,42,0.6233,7.14,21.43,助手随机1k,0.3365,0.9501
PERSON_ATTRIBUTE_LOOKUP__1,PERSON_ATTRIBUTE_LOOKUP__1,82,21,0.9587,0.0,38.1,58,0.9627,0.0,17.24,0,,,,3,0.8655,0.0,66.67,2025搜索,0.004,0.9581
BARE_NAME_IDENTITY_LOOKUP__2,BARE_NAME_IDENTITY_LOOKUP__2,6421,3549,0.9784,0.03,7.78,2587,0.9766,0.04,7.27,259,0.9802,0.39,4.63,26,0.9583,0.0,11.54,助手随机1k,0.0219,0.9777
