规则,query,source,已被护栏拦下,出现在交付文档里
EXPLICIT,无套肛交只要插进去二分钟都有可能感染艾,mai_2609r,True,False
EXPLICIT,神经压迫腿麻手淫有危害吗,mai_2609r,True,False
EXPLICIT,做爱对健康有利还有害,mai_2609r,True,False
EXPLICIT,做爱的时候放屁是怎么回事？,mai_2609r,True,False
EXPLICIT,使用飞机杯和手淫是一样感觉吗,mai_2609r,True,False
EXPLICIT,做爱射不出来怎么回事,mai_2609r,True,False
EXPLICIT,"做爱为什么越做越想做,越不做就越不想",mai_2609r,True,False
EXPLICIT,为什么自慰时幻听,mai_2609r,True,False
EXPLICIT,手淫解决生理需求舒服吗?,mai_2609r,True,False
EXPLICIT,做宫腔镜检查后自慰了有影响吗,mai_2609r,True,False
EXPLICIT,"做爱做着做着射了,射的时候没感觉,射完还能硬一会",mai_2609r,True,False
EXPLICIT,女生做爱没感觉，是不是身体有病,mai_2609r,True,False
EXPLICIT,放克霉唑阴道片多久可以做爱吗,mai_2609r,True,False
EXPLICIT,中年女性频繁自慰是性欲强吗,mai_2609r,True,False
EXPLICIT,做爱后阴道为什么会痒,mai_2609r,True,False
EXPLICIT,做爱女生会不会疼,mai_2609r,True,False
EXPLICIT,做爱和手淫的性质一样吗,mai_2609r,True,False
EXPLICIT,做爱时疼痛正常吗？,mai_2609r,True,False
EXPLICIT,从八岁到16岁，仅仅只有九岁，那一次是我真真正正的看到的经验，其他的都是有液体要出来的时候，就强行把它变回去，直到现在开始更改自慰方式，才发现自己出来的液体却只是这种乳白色液体,mai_2609r,True,False
EXPLICIT,就昨天自慰的时候发疼后脑勺胀,mai_2609r,True,False
EXPLICIT,"做爱阴道不润滑,阴茎插入皮肤容易挫伤",mai_2609r,True,False
EXPLICIT,手淫之后精液怎么处理？,mai_2609r,True,False
PRIVATE_PII,安庆博爱医院电话号码是多少,msearch_2609r,True,False
NAMED_DOCTOR,精神科罗学荣医生,msearch_2609r,True,False
NAMED_DOCTOR,儿科罗华医生,msearch_2609r,True,False
NAMED_DOCTOR,天津总医院王曦医生,msearch_2609r,True,False
NAMED_DOCTOR,运动医学与成人重建外科徐兴全医生,msearch_2609r,True,False
NAMED_DOCTOR,临汾市中心泌尿科耿新龙医生,msearch_2609r,True,False
NAMED_DOCTOR,耳鼻咽喉科田渡芳医生,msearch_2609r,True,False
NAMED_DOCTOR,李幼生医生,msearch_2609r,True,False
NAMED_DOCTOR,同仁医院董怿然医生,msearch_2609r,True,False
NAMED_DOCTOR,胰胃外科郭春光医生,msearch_2609r,True,False
NAMED_DOCTOR,胸外科刁明强医生,msearch_2609r,True,False
NAMED_DOCTOR,杭州妇产科王昀医生,msearch_2609r,True,False
NAMED_DOCTOR,呼吸内科王志强医生,msearch_2609r,True,False
NAMED_DOCTOR,骨科肖军医生,msearch_2609r,True,False
NAMED_DOCTOR,神经外科刘如恩医生,msearch_2609r,True,False
NAMED_DOCTOR,肾内科陈晓丽医生,msearch_2609r,True,False
NAMED_DOCTOR,血液肿瘤科王友群医生,msearch_2609r,True,False
NAMED_DOCTOR,徐医附院郝静波医生,msearch_2609r,True,False
NAMED_DOCTOR,南昌洪都中医院骨科医生,msearch_2609r,True,False
NAMED_DOCTOR,南宁市邕宁区人民医院体检科有哪个医生,msearch_2609r,True,False
NAMED_DOCTOR,成都肠肛专科医院蓝海波医生,msearch_2609r,True,False
NAMED_DOCTOR,耳鼻咽喉头颈外科姜彦医生,msearch_2609r,True,False
NAMED_DOCTOR,鞍山市眼科最好的大夫,mai_2609r,True,False
